TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.3
               TIME:                   X                   Z
                   0                   0                -0.3
                0.01         1.64297e-06           -0.299924
                0.02         4.38101e-06           -0.299848
                0.03         8.21389e-06           -0.299772
                0.04         1.31413e-05           -0.299697
                0.05         1.91628e-05           -0.299621
                0.06         2.62778e-05           -0.299545
                0.07         3.44859e-05           -0.299469
                0.08         4.37864e-05           -0.299394
                0.09         5.41785e-05           -0.299318
                 0.1         6.56613e-05           -0.299242
                0.11         7.82341e-05           -0.299167
                0.12         9.18957e-05           -0.299091
                0.13         0.000106645           -0.299016
                0.14         0.000122481            -0.29894
                0.15         0.000139403           -0.298865
                0.16         0.000157408            -0.29879
                0.17         0.000176497           -0.298715
                0.18         0.000196666            -0.29864
                0.19         0.000217916           -0.298565
                 0.2         0.000240243            -0.29849
                0.21         0.000263646           -0.298415
                0.22         0.000288124           -0.298341
                0.23         0.000313675           -0.298266
                0.24         0.000340296           -0.298192
                0.25         0.000367985           -0.298117
                0.26         0.000396741           -0.298043
                0.27         0.000426562           -0.297969
                0.28         0.000457444           -0.297896
                0.29         0.000489385           -0.297822
                 0.3         0.000522384           -0.297749
                0.31         0.000556437           -0.297675
                0.32         0.000591543           -0.297602
                0.33         0.000627697           -0.297529
                0.34         0.000664898           -0.297456
                0.35         0.000703143           -0.297384
                0.36         0.000742428           -0.297311
                0.37         0.000782751           -0.297239
                0.38         0.000824109           -0.297167
                0.39         0.000866498           -0.297096
                 0.4         0.000909916           -0.297024
                0.41         0.000954358           -0.296953
                0.42         0.000999822           -0.296882
                0.43           0.0010463           -0.296811
                0.44           0.0010938            -0.29674
                0.45          0.00114231            -0.29667
                0.46          0.00119182             -0.2966
                0.47          0.00124234            -0.29653
                0.48          0.00129386            -0.29646
                0.49          0.00134637           -0.296391
                 0.5          0.00139988           -0.296322
                0.51          0.00145437           -0.296253
                0.52          0.00150985           -0.296184
                0.53           0.0015663           -0.296116
                0.54          0.00162373           -0.296048
                0.55          0.00168213           -0.295981
                0.56           0.0017415           -0.295913
                0.57          0.00180183           -0.295846
                0.58          0.00186312            -0.29578
                0.59          0.00192535           -0.295713
                 0.6          0.00198854           -0.295647
                0.61          0.00205267           -0.295581
                0.62          0.00211774           -0.295516
                0.63          0.00218374           -0.295451
                0.64          0.00225067           -0.295386
                0.65          0.00231852           -0.295322
                0.66          0.00238729           -0.295258
                0.67          0.00245698           -0.295194
                0.68          0.00252757           -0.295131
                0.69          0.00259906           -0.295068
                 0.7          0.00267145           -0.295005
                0.71          0.00274473           -0.294943
                0.72           0.0028189           -0.294881
                0.73          0.00289395            -0.29482
                0.74          0.00296987           -0.294759
                0.75          0.00304666           -0.294698
                0.76          0.00312432           -0.294638
                0.77          0.00320283           -0.294578
                0.78          0.00328219           -0.294519
                0.79           0.0033624            -0.29446
                 0.8          0.00344345           -0.294401
                0.81          0.00352533           -0.294343
                0.82          0.00360804           -0.294285
                0.83          0.00369157           -0.294228
                0.84          0.00377591           -0.294171
                0.85          0.00386107           -0.294114
                0.86          0.00394702           -0.294058
                0.87          0.00403377           -0.294003
                0.88          0.00412131           -0.293948
                0.89          0.00420963           -0.293893
                 0.9          0.00429872           -0.293839
                0.91          0.00438859           -0.293785
                0.92          0.00447922           -0.293732
                0.93           0.0045706           -0.293679
                0.94          0.00466273           -0.293627
                0.95          0.00475561           -0.293575
                0.96          0.00484921           -0.293524
                0.97          0.00494355           -0.293473
                0.98           0.0050386           -0.293423
                0.99          0.00513437           -0.293373
                   1          0.00523085           -0.293323
