TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.2
               TIME:                   X                   Z
                   0                   0                -0.2
                0.01         1.75065e-06           -0.199911
                0.02         4.66819e-06           -0.199822
                0.03         8.75236e-06           -0.199734
                0.04         1.40028e-05           -0.199645
                0.05         2.04192e-05           -0.199556
                0.06          2.8001e-05           -0.199467
                0.07         3.67475e-05           -0.199379
                0.08         4.66582e-05            -0.19929
                0.09         5.77322e-05           -0.199201
                 0.1         6.99687e-05           -0.199113
                0.11         8.33667e-05           -0.199024
                0.12         9.79252e-05           -0.198936
                0.13         0.000113643           -0.198848
                0.14         0.000130519           -0.198759
                0.15         0.000148552           -0.198671
                0.16          0.00016774           -0.198583
                0.17         0.000188083           -0.198495
                0.18         0.000209577           -0.198407
                0.19         0.000232223           -0.198319
                 0.2         0.000256018           -0.198232
                0.21          0.00028096           -0.198144
                0.22         0.000307047           -0.198057
                0.23         0.000334277            -0.19797
                0.24         0.000362649           -0.197883
                0.25          0.00039216           -0.197796
                0.26         0.000422808           -0.197709
                0.27          0.00045459           -0.197622
                0.28         0.000487504           -0.197536
                0.29         0.000521548            -0.19745
                 0.3         0.000556719           -0.197364
                0.31         0.000593014           -0.197278
                0.32          0.00063043           -0.197192
                0.33         0.000668965           -0.197107
                0.34         0.000708616           -0.197022
                0.35          0.00074938           -0.196937
                0.36         0.000791254           -0.196852
                0.37         0.000834233           -0.196767
                0.38         0.000878316           -0.196683
                0.39         0.000923499           -0.196599
                 0.4         0.000969779           -0.196515
                0.41          0.00101715           -0.196432
                0.42          0.00106561           -0.196349
                0.43          0.00111516           -0.196266
                0.44          0.00116579           -0.196183
                0.45           0.0012175             -0.1961
                0.46          0.00127028           -0.196018
                0.47          0.00132413           -0.195937
                0.48          0.00137905           -0.195855
                0.49          0.00143502           -0.195774
                 0.5          0.00149206           -0.195693
                0.51          0.00155015           -0.195612
                0.52          0.00160929           -0.195532
                0.53          0.00166948           -0.195452
                0.54           0.0017307           -0.195373
                0.55          0.00179296           -0.195293
                0.56          0.00185625           -0.195214
                0.57          0.00192056           -0.195136
                0.58           0.0019859           -0.195058
                0.59          0.00205225            -0.19498
                 0.6          0.00211962           -0.194903
                0.61          0.00218799           -0.194826
                0.62          0.00225736           -0.194749
                0.63          0.00232772           -0.194673
                0.64          0.00239908           -0.194597
                0.65          0.00247142           -0.194522
                0.66          0.00254474           -0.194447
                0.67          0.00261903           -0.194372
                0.68           0.0026943           -0.194298
                0.69          0.00277052           -0.194224
                 0.7           0.0028477           -0.194151
                0.71          0.00292584           -0.194078
                0.72          0.00300492           -0.194005
                0.73          0.00308493           -0.193933
                0.74          0.00316589           -0.193862
                0.75          0.00324776           -0.193791
                0.76          0.00333056            -0.19372
                0.77          0.00341428            -0.19365
                0.78           0.0034989           -0.193581
                0.79          0.00358443           -0.193511
                 0.8          0.00367085           -0.193443
                0.81          0.00375816           -0.193375
                0.82          0.00384635           -0.193307
                0.83          0.00393542            -0.19324
                0.84          0.00402536           -0.193173
                0.85          0.00411616           -0.193107
                0.86          0.00420781           -0.193041
                0.87          0.00430032           -0.192976
                0.88          0.00439367           -0.192912
                0.89          0.00448785           -0.192848
                 0.9          0.00458286           -0.192784
                0.91          0.00467869           -0.192721
                0.92          0.00477533           -0.192659
                0.93          0.00487279           -0.192597
                0.94          0.00497104           -0.192536
                0.95          0.00507008           -0.192475
                0.96           0.0051699           -0.192415
                0.97          0.00527051           -0.192355
                0.98          0.00537188           -0.192296
                0.99          0.00547401           -0.192238
                   1           0.0055769            -0.19218
                1.01          0.00568054           -0.192123
                1.02          0.00578491           -0.192066
                1.03          0.00589002            -0.19201
                1.04          0.00599584           -0.191955
                1.05          0.00610238             -0.1919
                1.06          0.00620963           -0.191846
                1.07          0.00631758           -0.191792
                1.08          0.00642622           -0.191739
                1.09          0.00653554           -0.191687
                 1.1          0.00664554           -0.191635
                1.11           0.0067562           -0.191584
                1.12          0.00686752           -0.191533
                1.13           0.0069795           -0.191483
                1.14          0.00709211           -0.191434
                1.15          0.00720536           -0.191386
                1.16          0.00731923           -0.191338
                1.17          0.00743371           -0.191291
                1.18          0.00754881           -0.191244
                1.19           0.0076645           -0.191198
                 1.2          0.00778078           -0.191153
                1.21          0.00789765           -0.191108
                1.22          0.00801509           -0.191064
                1.23          0.00813309           -0.191021
                1.24          0.00825165           -0.190978
                1.25          0.00837075           -0.190937
                1.26           0.0084904           -0.190895
                1.27          0.00861057           -0.190855
                1.28          0.00873126           -0.190815
                1.29          0.00885246           -0.190776
                 1.3          0.00897417           -0.190738
                1.31          0.00909636             -0.1907
                1.32          0.00921904           -0.190663
                1.33           0.0093422           -0.190626
                1.34          0.00946582           -0.190591
                1.35          0.00958989           -0.190556
                1.36          0.00971441           -0.190522
                1.37          0.00983937           -0.190488
                1.38          0.00996476           -0.190456
                1.39           0.0100906           -0.190424
                 1.4           0.0102168           -0.190392
                1.41           0.0103434           -0.190362
                1.42           0.0104704           -0.190332
                1.43           0.0105978           -0.190303
                1.44           0.0107256           -0.190274
                1.45           0.0108537           -0.190247
                1.46           0.0109822            -0.19022
                1.47            0.011111           -0.190194
                1.48           0.0112401           -0.190168
                1.49           0.0113696           -0.190143
                 1.5           0.0114994            -0.19012
                1.51           0.0116295           -0.190096
                1.52           0.0117599           -0.190074
                1.53           0.0118906           -0.190052
                1.54           0.0120215           -0.190031
                1.55           0.0121527           -0.190011
                1.56           0.0122842           -0.189992
                1.57           0.0124159           -0.189973
                1.58           0.0125479           -0.189955
                1.59           0.0126801           -0.189938
                 1.6           0.0128125           -0.189922
                1.61           0.0129451           -0.189906
                1.62           0.0130779           -0.189891
                1.63           0.0132109           -0.189877
                1.64            0.013344           -0.189864
                1.65           0.0134774           -0.189851
                1.66           0.0136109           -0.189839
                1.67           0.0137445           -0.189828
                1.68           0.0138783           -0.189818
                1.69           0.0140122           -0.189808
                 1.7           0.0141462             -0.1898
                1.71           0.0142803           -0.189792
                1.72           0.0144146           -0.189785
                1.73           0.0145489           -0.189778
                1.74           0.0146833           -0.189772
                1.75           0.0148177           -0.189768
                1.76           0.0149523           -0.189764
                1.77           0.0150868            -0.18976
                1.78           0.0152214           -0.189758
                1.79           0.0153561           -0.189756
                 1.8           0.0154907           -0.189755
                1.81           0.0156254           -0.189755
                1.82             0.01576           -0.189755
                1.83           0.0158947           -0.189757
                1.84           0.0160293           -0.189759
                1.85           0.0161639           -0.189762
                1.86           0.0162984           -0.189765
                1.87           0.0164329            -0.18977
                1.88           0.0165674           -0.189775
                1.89           0.0167017           -0.189781
                 1.9            0.016836           -0.189788
                1.91           0.0169702           -0.189795
                1.92           0.0171043           -0.189803
                1.93           0.0172383           -0.189812
                1.94           0.0173721           -0.189822
                1.95           0.0175058           -0.189833
                1.96           0.0176394           -0.189844
                1.97           0.0177728           -0.189856
