TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.9
               TIME:                   X                   Z
                   0                   0                -0.9
                0.01         1.31549e-06            -0.89999
                0.02         3.50773e-06            -0.89998
                0.03         6.57646e-06            -0.89997
                0.04         1.05214e-05            -0.89996
                0.05         1.53421e-05            -0.89995
                0.06         2.10381e-05            -0.89994
                0.07          2.7609e-05            -0.89993
                0.08          3.5054e-05            -0.89992
                0.09         4.33727e-05            -0.89991
                 0.1         5.25642e-05             -0.8999
                0.11         6.26278e-05            -0.89989
                0.12         7.35626e-05            -0.89988
                0.13         8.53678e-05            -0.89987
                0.14         9.80422e-05            -0.89986
                0.15         0.000111585            -0.89985
                0.16         0.000125995            -0.89984
                0.17         0.000141271            -0.89983
                0.18         0.000157411            -0.89982
                0.19         0.000174416           -0.899811
                 0.2         0.000192282           -0.899801
                0.21         0.000211008           -0.899791
                0.22         0.000230594           -0.899781
                0.23         0.000251038           -0.899771
                0.24         0.000272337           -0.899761
                0.25         0.000294491           -0.899751
                0.26         0.000317497           -0.899742
                0.27         0.000341354           -0.899732
                0.28         0.000366059           -0.899722
                0.29         0.000391611           -0.899713
                 0.3         0.000418008           -0.899703
                0.31         0.000445248           -0.899693
                0.32         0.000473328           -0.899684
                0.33         0.000502247           -0.899674
                0.34         0.000532002           -0.899664
                0.35          0.00056259           -0.899655
                0.36          0.00059401           -0.899645
                0.37         0.000626259           -0.899636
                0.38         0.000659334           -0.899626
                0.39         0.000693233           -0.899617
                 0.4         0.000727954           -0.899607
                0.41         0.000763492           -0.899598
                0.42         0.000799847           -0.899588
                0.43         0.000837014           -0.899579
                0.44         0.000874992            -0.89957
                0.45         0.000913776           -0.899561
                0.46         0.000953365           -0.899551
                0.47         0.000993754           -0.899542
                0.48          0.00103494           -0.899533
                0.49          0.00107692           -0.899524
                 0.5           0.0011197           -0.899515
                0.51          0.00116326           -0.899506
                0.52          0.00120761           -0.899497
                0.53          0.00125273           -0.899488
                0.54          0.00129864           -0.899479
                0.55          0.00134532            -0.89947
                0.56          0.00139277           -0.899461
                0.57          0.00144099           -0.899452
                0.58          0.00148997           -0.899443
                0.59          0.00153972           -0.899434
                 0.6          0.00159021           -0.899426
                0.61          0.00164146           -0.899417
                0.62          0.00169346           -0.899408
                0.63           0.0017462             -0.8994
                0.64          0.00179969           -0.899391
                0.65           0.0018539           -0.899383
                0.66          0.00190885           -0.899374
                0.67          0.00196453           -0.899366
                0.68          0.00202093           -0.899358
                0.69          0.00207805           -0.899349
                 0.7          0.00213589           -0.899341
                0.71          0.00219444           -0.899333
                0.72          0.00225369           -0.899325
                0.73          0.00231364           -0.899317
                0.74          0.00237429           -0.899309
                0.75          0.00243563           -0.899301
                0.76          0.00249767           -0.899293
                0.77          0.00256038           -0.899285
                0.78          0.00262377           -0.899277
                0.79          0.00268783           -0.899269
                 0.8          0.00275257           -0.899261
                0.81          0.00281796           -0.899254
                0.82          0.00288402           -0.899246
                0.83          0.00295073           -0.899239
                0.84          0.00301809           -0.899231
                0.85          0.00308609           -0.899224
                0.86          0.00315473           -0.899216
                0.87            0.003224           -0.899209
                0.88           0.0032939           -0.899202
                0.89          0.00336442           -0.899195
                 0.9          0.00343556           -0.899187
                0.91          0.00350732            -0.89918
                0.92          0.00357967           -0.899173
                0.93          0.00365263           -0.899166
                0.94          0.00372619            -0.89916
                0.95          0.00380033           -0.899153
                0.96          0.00387506           -0.899146
                0.97          0.00395037           -0.899139
                0.98          0.00402625           -0.899133
                0.99           0.0041027           -0.899126
                   1          0.00417971            -0.89912
                1.01          0.00425728           -0.899113
                1.02           0.0043354           -0.899107
                1.03          0.00441406           -0.899101
                1.04          0.00449326           -0.899094
                1.05          0.00457299           -0.899088
                1.06          0.00465324           -0.899082
                1.07          0.00473402           -0.899076
                1.08          0.00481531            -0.89907
                1.09          0.00489711           -0.899064
                 1.1          0.00497941           -0.899058
                1.11          0.00506221           -0.899053
                1.12           0.0051455           -0.899047
                1.13          0.00522927           -0.899041
                1.14          0.00531351           -0.899036
                1.15          0.00539823            -0.89903
                1.16          0.00548341           -0.899025
                1.17          0.00556905            -0.89902
                1.18          0.00565514           -0.899015
                1.19          0.00574168           -0.899009
                 1.2          0.00582865           -0.899004
                1.21          0.00591606           -0.898999
                1.22          0.00600389           -0.898994
                1.23          0.00609214            -0.89899
                1.24          0.00618081           -0.898985
                1.25          0.00626987            -0.89898
                1.26          0.00635934           -0.898976
                1.27           0.0064492           -0.898971
                1.28          0.00653945           -0.898967
                1.29          0.00663007           -0.898962
                 1.3          0.00672107           -0.898958
                1.31          0.00681243           -0.898954
                1.32          0.00690415            -0.89895
                1.33          0.00699622           -0.898945
                1.34          0.00708864           -0.898941
                1.35          0.00718139           -0.898938
                1.36          0.00727448           -0.898934
                1.37          0.00736789            -0.89893
                1.38          0.00746162           -0.898926
                1.39          0.00755565           -0.898923
                 1.4          0.00764999           -0.898919
                1.41          0.00774463           -0.898916
                1.42          0.00783955           -0.898913
                1.43          0.00793475           -0.898909
                1.44          0.00803023           -0.898906
                1.45          0.00812598           -0.898903
                1.46          0.00822199             -0.8989
                1.47          0.00831825           -0.898897
                1.48          0.00841476           -0.898894
                1.49           0.0085115           -0.898892
                 1.5          0.00860848           -0.898889
                1.51          0.00870568           -0.898886
                1.52           0.0088031           -0.898884
                1.53          0.00890073           -0.898881
                1.54          0.00899856           -0.898879
                1.55          0.00909659           -0.898877
                1.56           0.0091948           -0.898875
                1.57           0.0092932           -0.898873
                1.58          0.00939177           -0.898871
                1.59           0.0094905           -0.898869
                 1.6           0.0095894           -0.898867
                1.61          0.00968844           -0.898865
                1.62          0.00978763           -0.898864
                1.63          0.00988696           -0.898862
                1.64          0.00998641           -0.898861
                1.65            0.010086           -0.898859
                1.66           0.0101857           -0.898858
                1.67           0.0102855           -0.898857
                1.68           0.0103854           -0.898856
                1.69           0.0104854           -0.898855
                 1.7           0.0105854           -0.898854
                1.71           0.0106856           -0.898853
                1.72           0.0107858           -0.898852
                1.73           0.0108861           -0.898851
                1.74           0.0109864           -0.898851
                1.75           0.0110868            -0.89885
                1.76           0.0111872            -0.89885
                1.77           0.0112877           -0.898849
                1.78           0.0113882           -0.898849
                1.79           0.0114887           -0.898849
                 1.8           0.0115892           -0.898849
                1.81           0.0116897           -0.898849
                1.82           0.0117902           -0.898849
                1.83           0.0118907           -0.898849
                1.84           0.0119912            -0.89885
                1.85           0.0120916            -0.89885
                1.86            0.012192            -0.89885
                1.87           0.0122924           -0.898851
                1.88           0.0123927           -0.898852
                1.89            0.012493           -0.898852
                 1.9           0.0125932           -0.898853
                1.91           0.0126933           -0.898854
                1.92           0.0127933           -0.898855
                1.93           0.0128933           -0.898856
                1.94           0.0129932           -0.898857
                1.95           0.0130929           -0.898858
                1.96           0.0131926            -0.89886
                1.97           0.0132921           -0.898861
                1.98           0.0133915           -0.898863
                1.99           0.0134908           -0.898864
                   2           0.0135899           -0.898866
                2.01           0.0136889           -0.898868
                2.02           0.0137878           -0.898869
                2.03           0.0138865           -0.898871
                2.04            0.013985           -0.898873
                2.05           0.0140833           -0.898875
                2.06           0.0141814           -0.898878
                2.07           0.0142794            -0.89888
                2.08           0.0143772           -0.898882
                2.09           0.0144747           -0.898885
                 2.1           0.0145721           -0.898887
                2.11           0.0146692            -0.89889
                2.12           0.0147661           -0.898893
                2.13           0.0148628           -0.898895
                2.14           0.0149592           -0.898898
                2.15           0.0150554           -0.898901
                2.16           0.0151513           -0.898904
                2.17           0.0152469           -0.898907
                2.18           0.0153423            -0.89891
                2.19           0.0154374           -0.898914
                 2.2           0.0155322           -0.898917
                2.21           0.0156268           -0.898921
                2.22            0.015721           -0.898924
                2.23           0.0158149           -0.898928
                2.24           0.0159086           -0.898931
                2.25           0.0160018           -0.898935
                2.26           0.0160948           -0.898939
                2.27           0.0161875           -0.898943
                2.28           0.0162798           -0.898947
                2.29           0.0163717           -0.898951
                 2.3           0.0164633           -0.898955
                2.31           0.0165545           -0.898959
                2.32           0.0166454           -0.898964
                2.33           0.0167359           -0.898968
                2.34            0.016826           -0.898973
                2.35           0.0169157           -0.898977
                2.36           0.0170051           -0.898982
                2.37            0.017094           -0.898987
                2.38           0.0171825           -0.898991
                2.39           0.0172706           -0.898996
                 2.4           0.0173583           -0.899001
                2.41           0.0174456           -0.899006
                2.42           0.0175324           -0.899011
                2.43           0.0176188           -0.899016
                2.44           0.0177047           -0.899022
                2.45           0.0177902           -0.899027
                2.46           0.0178752           -0.899032
                2.47           0.0179598           -0.899038
                2.48           0.0180438           -0.899043
                2.49           0.0181274           -0.899049
                 2.5           0.0182106           -0.899055
                2.51           0.0182932            -0.89906
                2.52           0.0183753           -0.899066
                2.53           0.0184569           -0.899072
                2.54            0.018538           -0.899078
                2.55           0.0186186           -0.899084
                2.56           0.0186987            -0.89909
                2.57           0.0187783           -0.899096
                2.58           0.0188573           -0.899103
                2.59           0.0189357           -0.899109
                 2.6           0.0190137           -0.899115
                2.61            0.019091           -0.899122
                2.62           0.0191679           -0.899128
                2.63           0.0192441           -0.899135
                2.64           0.0193198           -0.899142
                2.65           0.0193949           -0.899148
                2.66           0.0194694           -0.899155
                2.67           0.0195434           -0.899162
                2.68           0.0196167           -0.899169
                2.69           0.0196895           -0.899176
                 2.7           0.0197616           -0.899183
                2.71           0.0198332            -0.89919
                2.72           0.0199041           -0.899197
                2.73           0.0199744           -0.899204
                2.74           0.0200441           -0.899212
                2.75           0.0201131           -0.899219
                2.76           0.0201815           -0.899226
                2.77           0.0202493           -0.899234
                2.78           0.0203164           -0.899241
                2.79           0.0203829           -0.899249
                 2.8           0.0204488           -0.899256
                2.81           0.0205139           -0.899264
                2.82           0.0205784           -0.899272
                2.83           0.0206423            -0.89928
                2.84           0.0207054           -0.899288
                2.85           0.0207679           -0.899295
                2.86           0.0208297           -0.899303
                2.87           0.0208908           -0.899311
                2.88           0.0209512           -0.899319
                2.89           0.0210109           -0.899328
                 2.9           0.0210699           -0.899336
                2.91           0.0211282           -0.899344
                2.92           0.0211858           -0.899352
                2.93           0.0212427           -0.899361
                2.94           0.0212988           -0.899369
                2.95           0.0213542           -0.899377
                2.96           0.0214089           -0.899386
                2.97           0.0214629           -0.899394
                2.98           0.0215161           -0.899403
                2.99           0.0215686           -0.899411
                   3           0.0216203            -0.89942
                3.01           0.0216713           -0.899429
                3.02           0.0217216           -0.899437
                3.03            0.021771           -0.899446
                3.04           0.0218198           -0.899455
                3.05           0.0218677           -0.899464
                3.06           0.0219149           -0.899473
                3.07           0.0219613           -0.899482
                3.08           0.0220069           -0.899491
                3.09           0.0220518             -0.8995
                 3.1           0.0220959           -0.899509
                3.11           0.0221392           -0.899518
                3.12           0.0221816           -0.899527
                3.13           0.0222234           -0.899536
                3.14           0.0222643           -0.899545
                3.15           0.0223044           -0.899554
                3.16           0.0223437           -0.899564
                3.17           0.0223822           -0.899573
                3.18           0.0224199           -0.899582
                3.19           0.0224568           -0.899592
                 3.2           0.0224928           -0.899601
                3.21           0.0225281           -0.899611
                3.22           0.0225625            -0.89962
                3.23           0.0225961           -0.899629
                3.24           0.0226289           -0.899639
                3.25           0.0226609           -0.899648
                3.26            0.022692           -0.899658
                3.27           0.0227223           -0.899668
                3.28           0.0227518           -0.899677
                3.29           0.0227804           -0.899687
                 3.3           0.0228082           -0.899697
