TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.5
               TIME:                   X                   Z
                   0                   0                -0.5
                0.01         1.47601e-06           -0.499948
                0.02         3.93578e-06           -0.499896
                0.03         7.37907e-06           -0.499844
                0.04         1.18055e-05           -0.499792
                0.05         1.72148e-05            -0.49974
                0.06         2.36064e-05           -0.499687
                0.07         3.09797e-05           -0.499635
                0.08         3.93342e-05           -0.499583
                0.09         4.86691e-05           -0.499531
                 0.1         5.89837e-05           -0.499479
                0.11         7.02771e-05           -0.499428
                0.12         8.25485e-05           -0.499376
                0.13         9.57967e-05           -0.499324
                0.14         0.000110021           -0.499272
                0.15          0.00012522            -0.49922
                0.16         0.000141392           -0.499169
                0.17         0.000158536           -0.499117
                0.18         0.000176651           -0.499066
                0.19         0.000195736           -0.499014
                 0.2         0.000215789           -0.498963
                0.21         0.000236807           -0.498911
                0.22         0.000258791            -0.49886
                0.23         0.000281737           -0.498809
                0.24         0.000305645           -0.498758
                0.25         0.000330512           -0.498707
                0.26         0.000356336           -0.498656
                0.27         0.000383115           -0.498605
                0.28         0.000410848           -0.498555
                0.29         0.000439531           -0.498504
                 0.3         0.000469163           -0.498454
                0.31         0.000499742           -0.498403
                0.32         0.000531265           -0.498353
                0.33          0.00056373           -0.498303
                0.34         0.000597134           -0.498253
                0.35         0.000631474           -0.498203
                0.36         0.000666749           -0.498154
                0.37         0.000702954           -0.498104
                0.38         0.000740088           -0.498055
                0.39         0.000778148           -0.498005
                 0.4          0.00081713           -0.497956
                0.41         0.000857032           -0.497907
                0.42          0.00089785           -0.497858
                0.43         0.000939582            -0.49781
                0.44         0.000982224           -0.497761
                0.45          0.00102577           -0.497713
                0.46          0.00107023           -0.497665
                0.47          0.00111558           -0.497617
                0.48          0.00116183           -0.497569
                0.49          0.00120897           -0.497522
                 0.5            0.001257           -0.497474
                0.51          0.00130592           -0.497427
                0.52          0.00135572            -0.49738
                0.53           0.0014064           -0.497333
                0.54          0.00145795           -0.497286
                0.55          0.00151038            -0.49724
                0.56          0.00156367           -0.497194
                0.57          0.00161782           -0.497148
                0.58          0.00167283           -0.497102
                0.59           0.0017287           -0.497056
                 0.6          0.00178541           -0.497011
                0.61          0.00184297           -0.496966
