TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.1
               TIME:                   X                   Z
                1.73           0.0156056          -0.0881725
                1.74           0.0157499          -0.0881659
                1.75           0.0158942          -0.0881602
                1.76           0.0160386          -0.0881553
                1.77            0.016183          -0.0881514
                1.78           0.0163275          -0.0881483
                1.79            0.016472          -0.0881462
                 1.8           0.0166165          -0.0881449
                1.81            0.016761          -0.0881445
                1.82           0.0169056           -0.088145
                1.83           0.0170501          -0.0881465
                1.84           0.0171946          -0.0881488
                1.85            0.017339           -0.088152
                1.86           0.0174835          -0.0881561
                1.87           0.0176278          -0.0881611
                1.88           0.0177721           -0.088167
                1.89           0.0179164          -0.0881738
                 1.9           0.0180605          -0.0881815
                1.91           0.0182045            -0.08819
                1.92           0.0183485          -0.0881995
                1.93           0.0184923          -0.0882099
                1.94            0.018636          -0.0882211
                1.95           0.0187795          -0.0882333
                1.96           0.0189229          -0.0882463
                1.97           0.0190661          -0.0882602
                1.98           0.0192092           -0.088275
                1.99           0.0193521          -0.0882907
                   2           0.0194948          -0.0883073
                2.01           0.0196373          -0.0883247
                2.02           0.0197795          -0.0883431
                2.03           0.0199216          -0.0883623
                2.04           0.0200634          -0.0883824
                2.05           0.0202049          -0.0884034
                2.06           0.0203462          -0.0884252
                2.07           0.0204873          -0.0884479
                2.08            0.020628          -0.0884715
                2.09           0.0207685           -0.088496
                 2.1           0.0209086          -0.0885214
                2.11           0.0210485          -0.0885476
                2.12            0.021188          -0.0885746
                2.13           0.0213273          -0.0886026
                2.14           0.0214661          -0.0886314
                2.15           0.0216046           -0.088661
                2.16           0.0217428          -0.0886915
                2.17           0.0218806          -0.0887229
                2.18            0.022018          -0.0887551
                2.19            0.022155          -0.0887882
                 2.2           0.0222916          -0.0888221
                2.21           0.0224278          -0.0888568
                2.22           0.0225636          -0.0888924
                2.23           0.0226989          -0.0889289
                2.24           0.0228338          -0.0889661
                2.25           0.0229683          -0.0890042
                2.26           0.0231023          -0.0890432
                2.27           0.0232358          -0.0890829
                2.28           0.0233688          -0.0891235
                2.29           0.0235014          -0.0891649
                 2.3           0.0236334          -0.0892071
                2.31           0.0237649          -0.0892502
                2.32           0.0238959           -0.089294
                2.33           0.0240264          -0.0893387
                2.34           0.0241564          -0.0893842
                2.35           0.0242857          -0.0894304
                2.36           0.0244146          -0.0894775
                2.37           0.0245428          -0.0895253
                2.38           0.0246705           -0.089574
                2.39           0.0247976          -0.0896234
                 2.4            0.024924          -0.0896736
                2.41           0.0250499          -0.0897246
                2.42           0.0251752          -0.0897764
                2.43           0.0252998           -0.089829
                2.44           0.0254238          -0.0898823
                2.45           0.0255472          -0.0899363
                2.46           0.0256699          -0.0899912
                2.47           0.0257919          -0.0900468
                2.48           0.0259132          -0.0901031
                2.49           0.0260339          -0.0901602
                 2.5           0.0261539           -0.090218
                2.51           0.0262732          -0.0902766
                2.52           0.0263918          -0.0903359
                2.53           0.0265096          -0.0903959
                2.54           0.0266268          -0.0904567
                2.55           0.0267432          -0.0905181
                2.56           0.0268588          -0.0905803
                2.57           0.0269737          -0.0906432
                2.58           0.0270879          -0.0907068
                2.59           0.0272012          -0.0907711
                 2.6           0.0273138          -0.0908361
                2.61           0.0274256          -0.0909018
                2.62           0.0275367          -0.0909682
                2.63           0.0276469          -0.0910352
                2.64           0.0277563           -0.091103
                2.65           0.0278649          -0.0911714
                2.66           0.0279726          -0.0912404
                2.67           0.0280795          -0.0913102
                2.68           0.0281856          -0.0913805
                2.69           0.0282908          -0.0914516
                 2.7           0.0283952          -0.0915232
                2.71           0.0284987          -0.0915956
                2.72           0.0286013          -0.0916685
                2.73            0.028703          -0.0917421
                2.74           0.0288039          -0.0918163
                2.75           0.0289038          -0.0918911
                2.76           0.0290029          -0.0919665
                2.77            0.029101          -0.0920425
                2.78           0.0291982          -0.0921192
                2.79           0.0292945          -0.0921964
                 2.8           0.0293899          -0.0922742
                2.81           0.0294843          -0.0923526
                2.82           0.0295777          -0.0924315
                2.83           0.0296702          -0.0925111
                2.84           0.0297618          -0.0925911
                2.85           0.0298524          -0.0926718
