TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.7
               TIME:                   X                   Z
                   0                   0                -0.7
                0.01         1.36829e-06            -0.69997
                0.02         3.64853e-06           -0.699939
                0.03         6.84047e-06           -0.699909
                0.04         1.09438e-05           -0.699878
                0.05         1.59581e-05           -0.699848
                0.06         2.18829e-05           -0.699817
                0.07         2.87177e-05           -0.699787
                0.08         3.64619e-05           -0.699757
                0.09         4.51148e-05           -0.699726
                 0.1         5.46758e-05           -0.699696
                0.11         6.51439e-05           -0.699666
                0.12         7.65183e-05           -0.699635
                0.13         8.87981e-05           -0.699605
                0.14         0.000101982           -0.699575
                0.15          0.00011607           -0.699544
                0.16         0.000131059           -0.699514
                0.17          0.00014695           -0.699484
                0.18          0.00016374           -0.699454
                0.19         0.000181428           -0.699424
                 0.2         0.000200014           -0.699394
                0.21         0.000219494           -0.699364
                0.22         0.000239869           -0.699334
                0.23         0.000261135           -0.699304
                0.24         0.000283293           -0.699274
                0.25         0.000306338           -0.699244
                0.26         0.000330271           -0.699215
                0.27         0.000355089           -0.699185
                0.28          0.00038079           -0.699155
                0.29         0.000407373           -0.699126
                 0.3         0.000434834           -0.699096
                0.31         0.000463172           -0.699067
                0.32         0.000492384           -0.699038
                0.33         0.000522469           -0.699008
                0.34         0.000553424           -0.698979
                0.35         0.000585247            -0.69895
                0.36         0.000617934           -0.698921
                0.37         0.000651484           -0.698892
                0.38         0.000685894           -0.698863
                0.39         0.000721162           -0.698835
                 0.4         0.000757284           -0.698806
                0.41         0.000794257           -0.698777
                0.42          0.00083208           -0.698749
                0.43         0.000870748            -0.69872
                0.44          0.00091026           -0.698692
                0.45         0.000950611           -0.698664
                0.46         0.000991799           -0.698636
                0.47          0.00103382           -0.698608
                0.48          0.00107667            -0.69858
                0.49          0.00112035           -0.698552
                 0.5          0.00116486           -0.698524
                0.51          0.00121018           -0.698497
                0.52          0.00125632           -0.698469
                0.53          0.00130327           -0.698442
                0.54          0.00135104           -0.698415
                0.55          0.00139961           -0.698387
                0.56          0.00144898            -0.69836
                0.57          0.00149915           -0.698334
                0.58          0.00155011           -0.698307
                0.59          0.00160187            -0.69828
                 0.6          0.00165441           -0.698254
                0.61          0.00170773           -0.698227
                0.62          0.00176184           -0.698201
                0.63          0.00181672           -0.698175
                0.64          0.00187237           -0.698149
                0.65          0.00192878           -0.698123
                0.66          0.00198596           -0.698098
                0.67          0.00204389           -0.698072
                0.68          0.00210258           -0.698047
                0.69          0.00216202           -0.698022
                 0.7           0.0022222           -0.697996
                0.71          0.00228312           -0.697972
                0.72          0.00234477           -0.697947
                0.73          0.00240716           -0.697922
                0.74          0.00247027           -0.697898
                0.75           0.0025341           -0.697873
                0.76          0.00259865           -0.697849
                0.77          0.00266391           -0.697825
                0.78          0.00272987           -0.697801
                0.79          0.00279654           -0.697778
                 0.8           0.0028639           -0.697754
                0.81          0.00293195           -0.697731
                0.82          0.00300069           -0.697708
                0.83          0.00307011           -0.697685
                0.84           0.0031402           -0.697662
                0.85          0.00321096            -0.69764
                0.86          0.00328239           -0.697617
                0.87          0.00335448           -0.697595
                0.88          0.00342722           -0.697573
                0.89          0.00350061           -0.697551
                 0.9          0.00357464           -0.697529
                0.91          0.00364931           -0.697508
                0.92          0.00372461           -0.697486
                0.93          0.00380054           -0.697465
                0.94          0.00387709           -0.697444
                0.95          0.00395425           -0.697424
                0.96          0.00403202           -0.697403
                0.97          0.00411039           -0.697383
                0.98          0.00418936           -0.697363
                0.99          0.00426892           -0.697343
                   1          0.00434907           -0.697323
                1.01          0.00442979           -0.697303
                1.02          0.00451109           -0.697284
                1.03          0.00459295           -0.697265
                1.04          0.00467538           -0.697246
                1.05          0.00475836           -0.697227
                1.06          0.00484188           -0.697209
                1.07          0.00492595            -0.69719
                1.08          0.00501056           -0.697172
                1.09          0.00509569           -0.697154
                 1.1          0.00518134           -0.697137
                1.11          0.00526752           -0.697119
                1.12           0.0053542           -0.697102
                1.13          0.00544138           -0.697085
                1.14          0.00552907           -0.697068
                1.15          0.00561724           -0.697052
                1.16          0.00570589           -0.697035
                1.17          0.00579503           -0.697019
                1.18          0.00588463           -0.697003
                1.19           0.0059747           -0.696988
                 1.2          0.00606522           -0.696972
                1.21           0.0061562           -0.696957
                1.22          0.00624761           -0.696942
                1.23          0.00633947           -0.696927
                1.24          0.00643175           -0.696913
                1.25          0.00652446           -0.696899
                1.26          0.00661758           -0.696885
                1.27          0.00671111           -0.696871
                1.28          0.00680504           -0.696857
                1.29          0.00689937           -0.696844
                 1.3          0.00699408           -0.696831
                1.31          0.00708918           -0.696818
                1.32          0.00718464           -0.696805
                1.33          0.00728048           -0.696793
                1.34          0.00737667           -0.696781
                1.35          0.00747322           -0.696769
                1.36          0.00757011           -0.696758
                1.37          0.00766734           -0.696746
                1.38           0.0077649           -0.696735
                1.39          0.00786278           -0.696724
                 1.4          0.00796098           -0.696713
                1.41          0.00805948           -0.696703
                1.42          0.00815829           -0.696693
                1.43          0.00825739           -0.696683
                1.44          0.00835678           -0.696673
                1.45          0.00845644           -0.696664
                1.46          0.00855638           -0.696655
                1.47          0.00865658           -0.696646
                1.48          0.00875704           -0.696637
                1.49          0.00885775           -0.696629
                 1.5           0.0089587           -0.696621
                1.51          0.00905988           -0.696613
                1.52          0.00916129           -0.696606
                1.53          0.00926292           -0.696598
                1.54          0.00936476           -0.696591
                1.55           0.0094668           -0.696584
                1.56          0.00956904           -0.696578
                1.57          0.00967147           -0.696571
                1.58          0.00977407           -0.696565
                1.59          0.00987686            -0.69656
                 1.6           0.0099798           -0.696554
                1.61           0.0100829           -0.696549
                1.62           0.0101862           -0.696544
                1.63           0.0102896           -0.696539
                1.64           0.0103931           -0.696535
                1.65           0.0104968            -0.69653
                1.66           0.0106005           -0.696527
                1.67           0.0107044           -0.696523
                1.68           0.0108084           -0.696519
                1.69           0.0109125           -0.696516
                 1.7           0.0110167           -0.696513
                1.71            0.011121           -0.696511
                1.72           0.0112253           -0.696508
                1.73           0.0113297           -0.696506
                1.74           0.0114341           -0.696504
                1.75           0.0115387           -0.696503
                1.76           0.0116432           -0.696502
                1.77           0.0117478           -0.696501
                1.78           0.0118524             -0.6965
                1.79            0.011957           -0.696499
                 1.8           0.0120617           -0.696499
                1.81           0.0121663           -0.696499
                1.82           0.0122709           -0.696499
                1.83           0.0123756             -0.6965
                1.84           0.0124802           -0.696501
                1.85           0.0125847           -0.696502
                1.86           0.0126893           -0.696503
                1.87           0.0127938           -0.696505
                1.88           0.0128982           -0.696507
                1.89           0.0130026           -0.696509
                 1.9           0.0131069           -0.696511
                1.91           0.0132112           -0.696514
                1.92           0.0133153           -0.696517
                1.93           0.0134194            -0.69652
                1.94           0.0135234           -0.696524
                1.95           0.0136272           -0.696527
                1.96            0.013731           -0.696531
                1.97           0.0138346           -0.696536
                1.98           0.0139381            -0.69654
                1.99           0.0140415           -0.696545
                   2           0.0141447            -0.69655
                2.01           0.0142478           -0.696555
                2.02           0.0143507           -0.696561
                2.03           0.0144534           -0.696567
                2.04            0.014556           -0.696573
                2.05           0.0146584           -0.696579
                2.06           0.0147605           -0.696586
                2.07           0.0148625           -0.696593
                2.08           0.0149643             -0.6966
                2.09           0.0150659           -0.696607
                 2.1           0.0151673           -0.696615
                2.11           0.0152684           -0.696623
                2.12           0.0153693           -0.696631
                2.13           0.0154699           -0.696639
                2.14           0.0155703           -0.696648
                2.15           0.0156705           -0.696657
                2.16           0.0157703           -0.696666
                2.17           0.0158699           -0.696676
                2.18           0.0159693           -0.696685
                2.19           0.0160683           -0.696695
                 2.2            0.016167           -0.696706
                2.21           0.0162655           -0.696716
                2.22           0.0163636           -0.696727
                2.23           0.0164614           -0.696738
                2.24           0.0165589           -0.696749
                2.25            0.016656            -0.69676
                2.26           0.0167528           -0.696772
                2.27           0.0168493           -0.696784
                2.28           0.0169454           -0.696796
                2.29           0.0170412           -0.696808
                 2.3           0.0171365           -0.696821
                2.31           0.0172315           -0.696834
                2.32           0.0173262           -0.696847
                2.33           0.0174204           -0.696861
