TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.4
               TIME:                   X                   Z
                   0                   0                -0.4
                0.01         1.55172e-06           -0.399936
                0.02         4.13769e-06           -0.399873
                0.03         7.75765e-06           -0.399809
                0.04         1.24113e-05           -0.399745
                0.05         1.80982e-05           -0.399682
                0.06         2.48178e-05           -0.399618
                0.07         3.25697e-05           -0.399555
                0.08         4.13532e-05           -0.399491
                0.09         5.11675e-05           -0.399428
                 0.1         6.20119e-05           -0.399364
                0.11         7.38854e-05           -0.399301
                0.12         8.67872e-05           -0.399237
                0.13         0.000100716           -0.399174
                0.14         0.000115671           -0.399111
                0.15         0.000131651           -0.399047
                0.16         0.000148655           -0.398984
                0.17         0.000166681           -0.398921
                0.18         0.000185728           -0.398858
                0.19         0.000205794           -0.398795
                 0.2         0.000226878           -0.398733
                0.21         0.000248978            -0.39867
                0.22         0.000272093           -0.398607
                0.23          0.00029622           -0.398545
                0.24         0.000321358           -0.398482
                0.25         0.000347505            -0.39842
                0.26         0.000374658           -0.398358
                0.27         0.000402816           -0.398296
                0.28         0.000431977           -0.398234
                0.29         0.000462138           -0.398172
                 0.3         0.000493297           -0.398111
                0.31         0.000525451           -0.398049
                0.32         0.000558599           -0.397988
                0.33         0.000592736           -0.397927
                0.34         0.000627862           -0.397866
                0.35         0.000663973           -0.397805
                0.36         0.000701066           -0.397744
                0.37         0.000739138           -0.397683
                0.38         0.000778188           -0.397623
                0.39          0.00081821           -0.397563
                 0.4         0.000859204           -0.397503
                0.41         0.000901164           -0.397443
                0.42         0.000944089           -0.397383
                0.43         0.000987974           -0.397324
                0.44          0.00103282           -0.397265
                0.45          0.00107861           -0.397206
                0.46          0.00112536           -0.397147
                0.47          0.00117306           -0.397088
                0.48           0.0012217            -0.39703
                0.49          0.00127127           -0.396972
                 0.5          0.00132179           -0.396914
                0.51          0.00137323           -0.396856
                0.52          0.00142561           -0.396798
                0.53           0.0014789           -0.396741
                0.54          0.00153312           -0.396684
                0.55          0.00158826           -0.396627
                0.56           0.0016443           -0.396571
                0.57          0.00170125           -0.396515
                0.58          0.00175911           -0.396459
                0.59          0.00181787           -0.396403
                 0.6          0.00187752           -0.396348
                0.61          0.00193805           -0.396292
                0.62          0.00199948           -0.396238
                0.63          0.00206178           -0.396183
                0.64          0.00212496           -0.396129
                0.65          0.00218901           -0.396075
                0.66          0.00225393           -0.396021
                0.67          0.00231971           -0.395968
                0.68          0.00238635           -0.395914
                0.69          0.00245383           -0.395862
                 0.7          0.00252216           -0.395809
                0.71          0.00259134           -0.395757
                0.72          0.00266135           -0.395705
                0.73          0.00273219           -0.395654
                0.74          0.00280385           -0.395602
                0.75          0.00287633           -0.395552
                0.76          0.00294963           -0.395501
                0.77          0.00302374           -0.395451
                0.78          0.00309865           -0.395401
                0.79          0.00317436           -0.395352
                 0.8          0.00325086           -0.395302
                0.81          0.00332814           -0.395254
                0.82          0.00340621           -0.395205
                0.83          0.00348504           -0.395157
                0.84          0.00356465           -0.395109
                0.85          0.00364502           -0.395062
                0.86          0.00372615           -0.395015
                0.87          0.00380802           -0.394968
                0.88          0.00389064           -0.394922
                0.89            0.003974           -0.394876
                 0.9          0.00405809           -0.394831
                0.91           0.0041429           -0.394786
                0.92          0.00422844           -0.394741
                0.93          0.00431468           -0.394697
                0.94          0.00440163           -0.394653
                0.95          0.00448928            -0.39461
                0.96          0.00457763           -0.394567
                0.97          0.00466665           -0.394524
                0.98          0.00475636           -0.394482
                0.99          0.00484674            -0.39444
                   1          0.00493779           -0.394399
                1.01           0.0050295           -0.394358
                1.02          0.00512186           -0.394317
                1.03          0.00521486           -0.394277
                1.04           0.0053085           -0.394238
                1.05          0.00540277           -0.394198
                1.06          0.00549767            -0.39416
                1.07          0.00559319           -0.394121
                1.08          0.00568931           -0.394083
                1.09          0.00578604           -0.394046
                 1.1          0.00588336           -0.394009
                1.11          0.00598127           -0.393972
                1.12          0.00607976           -0.393936
                1.13          0.00617882           -0.393901
                1.14          0.00627846           -0.393865
                1.15          0.00637865           -0.393831
                1.16          0.00647939           -0.393796
                1.17          0.00658067           -0.393763
                1.18          0.00668249           -0.393729
                1.19          0.00678484           -0.393697
                 1.2          0.00688771           -0.393664
                1.21          0.00699109           -0.393632
                1.22          0.00709498           -0.393601
                1.23          0.00719936            -0.39357
                1.24          0.00730424            -0.39354
                1.25          0.00740959            -0.39351
                1.26          0.00751542            -0.39348
                1.27          0.00762172           -0.393451
                1.28          0.00772848           -0.393423
                1.29          0.00783568           -0.393395
                 1.3          0.00794333           -0.393368
                1.31          0.00805141           -0.393341
                1.32          0.00815992           -0.393314
                1.33          0.00826884           -0.393288
                1.34          0.00837818           -0.393263
                1.35          0.00848792           -0.393238
                1.36          0.00859805           -0.393214
                1.37          0.00870857            -0.39319
                1.38          0.00881946           -0.393166
                1.39          0.00893072           -0.393143
                 1.4          0.00904234           -0.393121
                1.41          0.00915432           -0.393099
                1.42          0.00926664           -0.393078
                1.43          0.00937929           -0.393057
                1.44          0.00949227           -0.393037
                1.45          0.00960557           -0.393017
                1.46          0.00971918           -0.392998
                1.47           0.0098331           -0.392979
                1.48           0.0099473           -0.392961
                1.49           0.0100618           -0.392944
                 1.5           0.0101766           -0.392927
                1.51           0.0102916            -0.39291
                1.52           0.0104069           -0.392894
                1.53           0.0105224           -0.392879
                1.54           0.0106382           -0.392864
                1.55           0.0107542           -0.392849
                1.56           0.0108705           -0.392836
                1.57           0.0109869           -0.392822
                1.58           0.0111036            -0.39281
                1.59           0.0112205           -0.392797
                 1.6           0.0113375           -0.392786
                1.61           0.0114548           -0.392775
                1.62           0.0115722           -0.392764
                1.63           0.0116897           -0.392754
                1.64           0.0118075           -0.392745
                1.65           0.0119253           -0.392736
                1.66           0.0120434           -0.392728
                1.67           0.0121615            -0.39272
                1.68           0.0122798           -0.392712
                1.69           0.0123981           -0.392706
                 1.7           0.0125166             -0.3927
                1.71           0.0126352           -0.392694
                1.72           0.0127538           -0.392689
                1.73           0.0128725           -0.392685
                1.74           0.0129913           -0.392681
                1.75           0.0131102           -0.392677
                1.76           0.0132291           -0.392674
                1.77            0.013348           -0.392672
