TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -1
               TIME:                   X                   Z
                2.06           0.0141096                  -1
                2.07           0.0142071                  -1
                2.08           0.0143043                  -1
                2.09           0.0144014                  -1
                 2.1           0.0144983                  -1
                2.11           0.0145949                  -1
                2.12           0.0146913                  -1
                2.13           0.0147875                  -1
                2.14           0.0148834                  -1
                2.15           0.0149791                  -1
                2.16           0.0150745                  -1
                2.17           0.0151697                  -1
                2.18           0.0152646                  -1
                2.19           0.0153592                  -1
                 2.2           0.0154535                  -1
                2.21           0.0155476                  -1
                2.22           0.0156413                  -1
                2.23           0.0157348                  -1
                2.24           0.0158279                  -1
                2.25           0.0159207                  -1
                2.26           0.0160132                  -1
                2.27           0.0161054                  -1
                2.28           0.0161972                  -1
                2.29           0.0162887                  -1
                 2.3           0.0163798                  -1
                2.31           0.0164706                  -1
                2.32            0.016561                  -1
                2.33            0.016651                  -1
                2.34           0.0167407                  -1
                2.35           0.0168299                  -1
                2.36           0.0169188                  -1
                2.37           0.0170073                  -1
                2.38           0.0170953                  -1
                2.39            0.017183                  -1
                 2.4           0.0172702                  -1
                2.41            0.017357                  -1
                2.42           0.0174434                  -1
                2.43           0.0175293                  -1
                2.44           0.0176148                  -1
                2.45           0.0176999                  -1
                2.46           0.0177845                  -1
                2.47           0.0178686                  -1
                2.48           0.0179522                  -1
                2.49           0.0180354                  -1
                 2.5           0.0181181                  -1
                2.51           0.0182003                  -1
                2.52            0.018282                  -1
                2.53           0.0183632                  -1
                2.54           0.0184439                  -1
                2.55           0.0185241                  -1
                2.56           0.0186038                  -1
                2.57           0.0186829                  -1
                2.58           0.0187615                  -1
                2.59           0.0188396                  -1
                 2.6           0.0189171                  -1
                2.61           0.0189941                  -1
                2.62           0.0190705                  -1
                2.63           0.0191463                  -1
                2.64           0.0192216                  -1
                2.65           0.0192964                  -1
                2.66           0.0193705                  -1
                2.67           0.0194441                  -1
                2.68            0.019517                  -1
                2.69           0.0195894                  -1
                 2.7           0.0196612                  -1
                2.71           0.0197323                  -1
                2.72           0.0198029                  -1
                2.73           0.0198729                  -1
                2.74           0.0199422                  -1
                2.75           0.0200109                  -1
                2.76           0.0200789                  -1
                2.77           0.0201464                  -1
                2.78           0.0202131                  -1
                2.79           0.0202793                  -1
                 2.8           0.0203448                  -1
                2.81           0.0204096                  -1
