TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.6
               TIME:                   X                   Z
                   0                   0                -0.6
                0.01         1.41507e-06           -0.599959
                0.02         3.77327e-06           -0.599918
                0.03         7.07436e-06           -0.599877
                0.04          1.1318e-05           -0.599836
                0.05         1.65038e-05           -0.599795
                0.06         2.26313e-05           -0.599754
                0.07            2.97e-05           -0.599713
                0.08         3.77092e-05           -0.599672
                0.09         4.66583e-05           -0.599631
                 0.1         5.65465e-05            -0.59959
                0.11          6.7373e-05           -0.599549
                0.12         7.91369e-05           -0.599508
                0.13         9.18372e-05           -0.599467
                0.14         0.000105473           -0.599426
                0.15         0.000120043           -0.599386
                0.16         0.000135546           -0.599345
                0.17         0.000151981           -0.599304
                0.18         0.000169347           -0.599263
                0.19         0.000187641           -0.599223
                 0.2         0.000206864           -0.599182
                0.21         0.000227012           -0.599142
                0.22         0.000248085           -0.599102
                0.23         0.000270082           -0.599061
                0.24         0.000292999           -0.599021
                0.25         0.000316835           -0.598981
                0.26          0.00034159           -0.598941
                0.27         0.000367259           -0.598901
                0.28         0.000393842           -0.598861
                0.29         0.000421337           -0.598821
                 0.3         0.000449741           -0.598781
                0.31         0.000479052           -0.598742
                0.32         0.000509268           -0.598702
                0.33         0.000540386           -0.598663
                0.34         0.000572404           -0.598623
                0.35          0.00060532           -0.598584
                0.36         0.000639131           -0.598545
                0.37         0.000673834           -0.598506
                0.38         0.000709427           -0.598467
                0.39         0.000745907           -0.598428
                 0.4         0.000783271           -0.598389
                0.41         0.000821516           -0.598351
                0.42         0.000860639           -0.598312
                0.43         0.000900638           -0.598274
                0.44         0.000941509           -0.598236
                0.45         0.000983249           -0.598198
                0.46          0.00102585            -0.59816
                0.47          0.00106932           -0.598122
                0.48          0.00111365           -0.598084
                0.49          0.00115883           -0.598047
                 0.5          0.00120487           -0.598009
                0.51          0.00125175           -0.597972
                0.52          0.00129948           -0.597935
                0.53          0.00134805           -0.597898
                0.54          0.00139746           -0.597861
                0.55           0.0014477           -0.597825
                0.56          0.00149878           -0.597788
                0.57          0.00155068           -0.597752
                0.58           0.0016034           -0.597716
                0.59          0.00165694            -0.59768
                 0.6          0.00171129           -0.597644
                0.61          0.00176646           -0.597609
                0.62          0.00182243           -0.597573
                0.63           0.0018792           -0.597538
                0.64          0.00193677           -0.597503
                0.65          0.00199513           -0.597468
                0.66          0.00205428           -0.597434
                0.67          0.00211421           -0.597399
                0.68          0.00217493           -0.597365
                0.69          0.00223642           -0.597331
                 0.7          0.00229867           -0.597297
                0.71           0.0023617           -0.597264
                0.72          0.00242548            -0.59723
                0.73          0.00249002           -0.597197
                0.74          0.00255531           -0.597164
                0.75          0.00262135           -0.597131
                0.76          0.00268813           -0.597099
                0.77          0.00275564           -0.597066
                0.78          0.00282389           -0.597034
                0.79          0.00289286           -0.597002
                 0.8          0.00296255           -0.596971
                0.81          0.00303295           -0.596939
