TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.8
               TIME:                   X                   Z
                   0                   0                -0.8
                0.01         1.33521e-06            -0.79998
                0.02         3.56031e-06            -0.79996
                0.03         6.67505e-06            -0.79994
                0.04         1.06791e-05           -0.799919
                0.05         1.55721e-05           -0.799899
                0.06         2.13536e-05           -0.799879
                0.07          2.8023e-05           -0.799859
                0.08         3.55798e-05           -0.799839
                0.09         4.40233e-05           -0.799819
                 0.1         5.33527e-05           -0.799799
                0.11         6.35674e-05           -0.799779
                0.12         7.46664e-05           -0.799759
                0.13         8.66488e-05           -0.799739
                0.14         9.95136e-05           -0.799719
                0.15          0.00011326           -0.799699
                0.16         0.000127886           -0.799679
                0.17         0.000143392           -0.799659
                0.18         0.000159775           -0.799639
                0.19         0.000177034           -0.799619
                 0.2         0.000195169           -0.799599
                0.21         0.000214177           -0.799579
                0.22         0.000234058            -0.79956
                0.23         0.000254809            -0.79954
                0.24         0.000276428            -0.79952
                0.25         0.000298915           -0.799501
                0.26         0.000322267           -0.799481
                0.27         0.000346483           -0.799461
                0.28          0.00037156           -0.799442
                0.29         0.000397497           -0.799422
                 0.3         0.000424291           -0.799403
                0.31         0.000451941           -0.799383
                0.32         0.000480444           -0.799364
                0.33         0.000509799           -0.799344
                0.34         0.000540002           -0.799325
                0.35         0.000571051           -0.799306
                0.36         0.000602944           -0.799287
                0.37         0.000635679           -0.799268
                0.38         0.000669253           -0.799249
                0.39         0.000703663           -0.799229
                 0.4         0.000738906           -0.799211
                0.41         0.000774981           -0.799192
                0.42         0.000811884           -0.799173
                0.43         0.000849612           -0.799154
                0.44         0.000888162           -0.799135
                0.45         0.000927531           -0.799117
                0.46         0.000967717           -0.799098
                0.47          0.00100872           -0.799079
                0.48          0.00105053           -0.799061
                0.49          0.00109314           -0.799043
                 0.5          0.00113656           -0.799024
                0.51          0.00118078           -0.799006
                0.52           0.0012258           -0.798988
                0.53          0.00127161            -0.79897
                0.54          0.00131821           -0.798952
                0.55          0.00136559           -0.798934
                0.56          0.00141376           -0.798916
                0.57          0.00146271           -0.798898
                0.58          0.00151243           -0.798881
                0.59          0.00156292           -0.798863
                 0.6          0.00161419           -0.798846
                0.61          0.00166621           -0.798828
                0.62            0.001719           -0.798811
                0.63          0.00177254           -0.798794
                0.64          0.00182683           -0.798776
                0.65          0.00188187           -0.798759
                0.66          0.00193765           -0.798742
                0.67          0.00199417           -0.798726
                0.68          0.00205142           -0.798709
                0.69          0.00210941           -0.798692
                 0.7          0.00216812           -0.798675
                0.71          0.00222755           -0.798659
                0.72           0.0022877           -0.798643
                0.73          0.00234856           -0.798626
                0.74          0.00241013            -0.79861
                0.75           0.0024724           -0.798594
                0.76          0.00253537           -0.798578
                0.77          0.00259904           -0.798562
                0.78          0.00266339           -0.798547
                0.79          0.00272843           -0.798531
                 0.8          0.00279414           -0.798515
                0.81          0.00286053             -0.7985
                0.82          0.00292759           -0.798485
                0.83          0.00299531            -0.79847
                0.84          0.00306369           -0.798455
                0.85          0.00313272            -0.79844
                0.86           0.0032024           -0.798425
                0.87          0.00327272            -0.79841
                0.88          0.00334368           -0.798395
                0.89          0.00341528           -0.798381
                 0.9           0.0034875           -0.798367
                0.91          0.00356034           -0.798352
                0.92           0.0036338           -0.798338
                0.93          0.00370786           -0.798324
                0.94          0.00378254           -0.798311
                0.95          0.00385781           -0.798297
                0.96          0.00393367           -0.798283
                0.97          0.00401013            -0.79827
                0.98          0.00408716           -0.798256
                0.99          0.00416477           -0.798243
                   1          0.00424295            -0.79823
                1.01           0.0043217           -0.798217
                1.02            0.004401           -0.798205
                1.03          0.00448086           -0.798192
                1.04          0.00456126           -0.798179
                1.05          0.00464221           -0.798167
                1.06          0.00472368           -0.798155
                1.07          0.00480569           -0.798143
                1.08          0.00488822           -0.798131
                1.09          0.00497126           -0.798119
                 1.1          0.00505482           -0.798107
                1.11          0.00513887           -0.798096
                1.12          0.00522343           -0.798084
                1.13          0.00530847           -0.798073
                1.14            0.005394           -0.798062
                1.15          0.00548001           -0.798051
                1.16          0.00556649            -0.79804
                1.17          0.00565343            -0.79803
                1.18          0.00574083           -0.798019
                1.19          0.00582869           -0.798009
                 1.2          0.00591699           -0.797999
                1.21          0.00600573           -0.797989
                1.22           0.0060949           -0.797979
                1.23          0.00618449           -0.797969
                1.24          0.00627451           -0.797959
                1.25          0.00636494            -0.79795
                1.26          0.00645577           -0.797941
                1.27            0.006547           -0.797932
                1.28          0.00663862           -0.797923
                1.29          0.00673063           -0.797914
                 1.3          0.00682301           -0.797905
                1.31          0.00691577           -0.797897
                1.32          0.00700889           -0.797888
                1.33          0.00710236            -0.79788
                1.34          0.00719619           -0.797872
                1.35          0.00729036           -0.797864
                1.36          0.00738487           -0.797857
                1.37           0.0074797           -0.797849
                1.38          0.00757486           -0.797842
                1.39          0.00767033           -0.797835
                 1.4          0.00776611           -0.797828
                1.41          0.00786219           -0.797821
                1.42          0.00795857           -0.797814
                1.43          0.00805523           -0.797807
                1.44          0.00815216           -0.797801
                1.45          0.00824937           -0.797795
                1.46          0.00834685           -0.797789
                1.47          0.00844458           -0.797783
                1.48          0.00854256           -0.797777
                1.49          0.00864079           -0.797772
                 1.5          0.00873925           -0.797766
                1.51          0.00883794           -0.797761
                1.52          0.00893685           -0.797756
                1.53          0.00903597           -0.797751
                1.54           0.0091353           -0.797747
                1.55          0.00923482           -0.797742
                1.56          0.00933454           -0.797738
                1.57          0.00943444           -0.797734
                1.58          0.00953452            -0.79773
                1.59          0.00963476           -0.797726
                 1.6          0.00973517           -0.797722
                1.61          0.00983573           -0.797719
                1.62          0.00993644           -0.797716
                1.63           0.0100373           -0.797712
                1.64           0.0101383           -0.797709
                1.65           0.0102394           -0.797707
                1.66           0.0103406           -0.797704
                1.67           0.0104419           -0.797702
                1.68           0.0105433           -0.797699
                1.69           0.0106449           -0.797697
                 1.7           0.0107465           -0.797695
                1.71           0.0108481           -0.797694
                1.72           0.0109499           -0.797692
                1.73           0.0110517           -0.797691
                1.74           0.0111536            -0.79769
                1.75           0.0112555           -0.797689
