TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.8
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         1.09529e-05         0.000529753
                0.02         2.92104e-05          0.00105986
                0.03         5.47752e-05          0.00159023
                0.04         8.76489e-05          0.00212078
                0.05         0.000127832          0.00265141
                0.06         0.000175323          0.00318204
                0.07         0.000230119          0.00371257
                0.08         0.000292219          0.00424292
                0.09         0.000361616            0.004773
                 0.1         0.000438306          0.00530272
                0.11         0.000522281          0.00583199
                0.12         0.000613532          0.00636072
                0.13         0.000712051          0.00688882
                0.14         0.000817826           0.0074162
                0.15         0.000930846          0.00794278
                0.16           0.0010511          0.00846846
                0.17          0.00117857          0.00899315
                0.18          0.00131324          0.00951678
                0.19          0.00145509           0.0100392
                 0.2          0.00160411           0.0105605
                0.21          0.00176028           0.0110803
                0.22          0.00192358           0.0115988
                0.23          0.00209399           0.0121157
                0.24          0.00227147           0.0126311
                0.25          0.00245602           0.0131448
                0.26           0.0026476           0.0136566
                0.27          0.00284619           0.0141667
                0.28          0.00305176           0.0146748
                0.29          0.00326428           0.0151808
                 0.3          0.00348372           0.0156848
                0.31          0.00371006           0.0161865
                0.32          0.00394326            0.016686
                0.33          0.00418328           0.0171831
                0.34          0.00443009           0.0176777
                0.35          0.00468367           0.0181698
                0.36          0.00494396           0.0186593
                0.37          0.00521094           0.0191461
                0.38          0.00548456           0.0196301
                0.39          0.00576478           0.0201113
                 0.4          0.00605157           0.0205895
                0.41          0.00634488           0.0210647
                0.42          0.00664467           0.0215367
                0.43           0.0069509           0.0220056
                0.44          0.00726351           0.0224713
                0.45          0.00758247           0.0229335
                0.46          0.00790772           0.0233924
                0.47          0.00823922           0.0238478
                0.48          0.00857692           0.0242996
                0.49          0.00892077           0.0247477
                 0.5          0.00927072           0.0251921
                0.51          0.00962671           0.0256328
                0.52          0.00998869           0.0260695
                0.53           0.0103566           0.0265023
                0.54           0.0107304           0.0269311
                0.55             0.01111           0.0273558
                0.56           0.0114954           0.0277763
                0.57           0.0118865           0.0281926
                0.58           0.0122833           0.0286046
                0.59           0.0126856           0.0290122
                 0.6           0.0130935           0.0294153
                0.61           0.0135069            0.029814
                0.62           0.0139256           0.0302081
                0.63           0.0143497           0.0305975
                0.64           0.0147791           0.0309822
                0.65           0.0152137           0.0313622
                0.66           0.0156534           0.0317373
                0.67           0.0160982           0.0321075
                0.68            0.016548           0.0324728
                0.69           0.0170028            0.032833
                 0.7           0.0174624           0.0331881
                0.71           0.0179269           0.0335381
                0.72            0.018396           0.0338829
                0.73           0.0188699           0.0342224
                0.74           0.0193483           0.0345566
                0.75           0.0198312           0.0348855
                0.76           0.0203186           0.0352089
                0.77           0.0208103           0.0355268
                0.78           0.0213064           0.0358392
                0.79           0.0218066            0.036146
                 0.8            0.022311           0.0364471
                0.81           0.0228194           0.0367426
                0.82           0.0233319           0.0370323
                0.83           0.0238482           0.0373162
                0.84           0.0243683           0.0375942
                0.85           0.0248922           0.0378664
                0.86           0.0254198           0.0381327
                0.87           0.0259509            0.038393
                0.88           0.0264855           0.0386472
                0.89           0.0270236           0.0388954
                 0.9            0.027565           0.0391375
                0.91           0.0281096           0.0393734
                0.92           0.0286574           0.0396032
                0.93           0.0292083           0.0398267
                0.94           0.0297621            0.040044
                0.95           0.0303189            0.040255
                0.96           0.0308785           0.0404596
                0.97           0.0314409           0.0406579
                0.98           0.0320059           0.0408497
                0.99           0.0325734           0.0410352
                   1           0.0331435           0.0412141
                1.01           0.0337159           0.0413866
                1.02           0.0342906           0.0415526
                1.03           0.0348675            0.041712
                1.04           0.0354466           0.0418648
                1.05           0.0360277            0.042011
                1.06           0.0366107           0.0421506
                1.07           0.0371956           0.0422835
                1.08           0.0377822           0.0424097
                1.09           0.0383705           0.0425293
                 1.1           0.0389604           0.0426421
                1.11           0.0395518           0.0427482
                1.12           0.0401445           0.0428476
                1.13           0.0407386           0.0429402
                1.14           0.0413339            0.043026
                1.15           0.0419303            0.043105
                1.16           0.0425277           0.0431771
                1.17           0.0431261           0.0432425
                1.18           0.0437253            0.043301
                1.19           0.0443252           0.0433527
                 1.2           0.0449258           0.0433975
                1.21            0.045527           0.0434354
                1.22           0.0461286           0.0434665
                1.23           0.0467307           0.0434907
                1.24           0.0473329           0.0435081
                1.25           0.0479354           0.0435185
                1.26            0.048538           0.0435221
                1.27           0.0491406           0.0435188
                1.28           0.0497431           0.0435086
                1.29           0.0503454           0.0434915
                 1.3           0.0509474           0.0434675
                1.31            0.051549           0.0434367
