TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         0.6
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         6.05624e-07         3.81986e-05
                0.02         1.61496e-06         7.63964e-05
                0.03         3.02797e-06         0.000114592
                0.04          4.8446e-06         0.000152784
                0.05         7.06479e-06         0.000190972
                0.06         9.68845e-06         0.000229154
                0.07         1.27155e-05          0.00026733
                0.08         1.61458e-05         0.000305497
                0.09         1.99793e-05         0.000343654
                 0.1         2.42158e-05         0.000381801
                0.11         2.88552e-05         0.000419936
                0.12         3.38974e-05         0.000458058
                0.13          3.9342e-05         0.000496165
                0.14         4.51891e-05         0.000534257
                0.15         5.14384e-05         0.000572332
                0.16         5.80896e-05         0.000610389
                0.17         6.51426e-05         0.000648427
                0.18         7.25971e-05         0.000686444
                0.19         8.04529e-05         0.000724439
                 0.2         8.87097e-05         0.000762412
                0.21         9.73672e-05          0.00080036
                0.22         0.000106425         0.000838283
                0.23         0.000115883          0.00087618
                0.24         0.000125741         0.000914048
                0.25         0.000135999         0.000951888
                0.26         0.000146655         0.000989697
                0.27         0.000157711          0.00102747
                0.28         0.000169165          0.00106522
                0.29         0.000181017          0.00110293
                 0.3         0.000193267          0.00114061
                0.31         0.000205914          0.00117825
                0.32         0.000218958          0.00121585
                0.33         0.000232398          0.00125341
                0.34         0.000246235          0.00129094
                0.35         0.000260467          0.00132842
                0.36         0.000275094          0.00136586
                0.37         0.000290116          0.00140325
                0.38         0.000305532           0.0014406
                0.39         0.000321341          0.00147791
                 0.4         0.000337544          0.00151517
                0.41         0.000354139          0.00155238
                0.42         0.000371127          0.00158954
                0.43         0.000388506          0.00162665
                0.44         0.000406275           0.0016637
                0.45         0.000424436          0.00170071
                0.46         0.000442986          0.00173766
                0.47         0.000461925          0.00177455
                0.48         0.000481252          0.00181139
                0.49         0.000500968          0.00184817
                 0.5         0.000521071          0.00188489
                0.51          0.00054156          0.00192155
                0.52         0.000562436          0.00195815
                0.53         0.000583697          0.00199468
                0.54         0.000605342          0.00203115
                0.55         0.000627371          0.00206756
                0.56         0.000649784           0.0021039
                0.57         0.000672579          0.00214017
                0.58         0.000695756          0.00217638
                0.59         0.000719313          0.00221251
                 0.6         0.000743251          0.00224858
                0.61         0.000767568          0.00228457
                0.62         0.000792264          0.00232049
                0.63         0.000817338          0.00235633
                0.64         0.000842789           0.0023921
                0.65         0.000868616          0.00242779
                0.66         0.000894819          0.00246341
                0.67         0.000921396          0.00249894
                0.68         0.000948347           0.0025344
                0.69          0.00097567          0.00256977
                 0.7          0.00100337          0.00260506
                0.71          0.00103143          0.00264027
                0.72          0.00105987          0.00267539
                0.73          0.00108867          0.00271043
                0.74          0.00111785          0.00274538
                0.75          0.00114739          0.00278024
                0.76           0.0011773          0.00281502
                0.77          0.00120757           0.0028497
                0.78          0.00123821          0.00288429
                0.79          0.00126921          0.00291879
                 0.8          0.00130057          0.00295319
                0.81           0.0013323          0.00298751
                0.82          0.00136438          0.00302172
                0.83          0.00139683          0.00305584
                0.84          0.00142963          0.00308986
                0.85          0.00146279          0.00312378
                0.86          0.00149631           0.0031576
                0.87          0.00153018          0.00319132
                0.88          0.00156441          0.00322493
                0.89          0.00159899          0.00325845
                 0.9          0.00163392          0.00329186
                0.91           0.0016692          0.00332516
                0.92          0.00170483          0.00335835
                0.93          0.00174081          0.00339144
                0.94          0.00177714          0.00342442
                0.95          0.00181381          0.00345729
                0.96          0.00185083          0.00349005
                0.97          0.00188819           0.0035227
                0.98          0.00192589          0.00355523
                0.99          0.00196394          0.00358765
                   1          0.00200233          0.00361995
                1.01          0.00204105          0.00365214
                1.02          0.00208011          0.00368421
                1.03          0.00211951          0.00371616
                1.04          0.00215924            0.003748
                1.05          0.00219931          0.00377971
                1.06          0.00223971           0.0038113
                1.07          0.00228044          0.00384277
                1.08           0.0023215          0.00387411
                1.09          0.00236289          0.00390533
                 1.1          0.00240461          0.00393643
                1.11          0.00244665           0.0039674
                1.12          0.00248902          0.00399824
                1.13          0.00253171          0.00402895
                1.14          0.00257472          0.00405954
                1.15          0.00261806          0.00408999
                1.16          0.00266171          0.00412031
                1.17          0.00270568           0.0041505
                1.18          0.00274997          0.00418056
                1.19          0.00279457          0.00421048
                 1.2          0.00283948          0.00424027
                1.21          0.00288471          0.00426992
                1.22          0.00293025          0.00429943
                1.23          0.00297609           0.0043288
                1.24          0.00302225          0.00435804
                1.25          0.00306871          0.00438714
                1.26          0.00311547          0.00441609
                1.27          0.00316254           0.0044449
                1.28          0.00320991          0.00447357
