TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.3
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         4.06755e-06         0.000220798
                0.02         1.08465e-05         0.000441619
                0.03         2.03366e-05         0.000662441
                0.04         3.25372e-05         0.000883236
                0.05         4.74473e-05          0.00110398
                0.06         6.50658e-05          0.00132465
                0.07         8.53911e-05          0.00154523
                0.08         0.000108421          0.00176567
                0.09         0.000134154          0.00198597
                 0.1         0.000162588           0.0022061
                0.11         0.000193719          0.00242603
                0.12         0.000227545          0.00264573
                0.13         0.000264062          0.00286519
                0.14         0.000303267          0.00308438
                0.15         0.000345155          0.00330327
                0.16         0.000389724          0.00352184
                0.17         0.000436967          0.00374006
                0.18          0.00048688          0.00395792
                0.19         0.000539458          0.00417538
                 0.2         0.000594696          0.00439243
                0.21         0.000652588          0.00460903
                0.22         0.000713128          0.00482516
                0.23         0.000776309          0.00504081
                0.24         0.000842126          0.00525594
                0.25          0.00091057          0.00547053
                0.26         0.000981636          0.00568455
                0.27          0.00105532          0.00589799
                0.28           0.0011316          0.00611082
                0.29          0.00121048          0.00632302
                 0.3          0.00129196          0.00653456
                0.31          0.00137601          0.00674541
                0.32          0.00146263          0.00695556
                0.33          0.00155182          0.00716498
                0.34          0.00164356          0.00737365
                0.35          0.00173785          0.00758154
                0.36          0.00183467          0.00778863
                0.37          0.00193401           0.0079949
                0.38          0.00203586          0.00820033
                0.39          0.00214022          0.00840489
                 0.4          0.00224707          0.00860855
                0.41          0.00235639          0.00881131
                0.42          0.00246819          0.00901312
                0.43          0.00258244          0.00921398
                0.44          0.00269913          0.00941385
                0.45          0.00281825          0.00961273
                0.46           0.0029398          0.00981057
                0.47          0.00306375           0.0100074
                0.48          0.00319009           0.0102031
                0.49          0.00331881           0.0103977
                 0.5          0.00344989           0.0105913
                0.51          0.00358332           0.0107836
                0.52          0.00371909           0.0109749
                0.53          0.00385719           0.0111649
                0.54          0.00399759           0.0113538
                0.55          0.00414028           0.0115414
                0.56          0.00428525           0.0117278
                0.57          0.00443248           0.0119129
                0.58          0.00458195           0.0120967
                0.59          0.00473366           0.0122793
                 0.6          0.00488757           0.0124605
                0.61          0.00504369           0.0126404
                0.62          0.00520198           0.0128189
                0.63          0.00536244            0.012996
                0.64          0.00552504           0.0131717
                0.65          0.00568977            0.013346
                0.66          0.00585661           0.0135188
                0.67          0.00602554           0.0136902
                0.68          0.00619655           0.0138601
                0.69          0.00636961           0.0140285
                 0.7          0.00654471           0.0141954
                0.71          0.00672183           0.0143607
                0.72          0.00690094           0.0145245
                0.73          0.00708204           0.0146867
                0.74           0.0072651           0.0148474
                0.75           0.0074501           0.0150064
                0.76          0.00763702           0.0151637
                0.77          0.00782584           0.0153195
                0.78          0.00801654           0.0154735
                0.79           0.0082091           0.0156259
                 0.8           0.0084035           0.0157766
                0.81          0.00859971           0.0159256
                0.82          0.00879773           0.0160728
                0.83          0.00899752           0.0162183
                0.84          0.00919907            0.016362
                0.85          0.00940235           0.0165039
                0.86          0.00960733           0.0166441
                0.87          0.00981401           0.0167824
                0.88           0.0100224           0.0169189
                0.89           0.0102323           0.0170536
                 0.9            0.010444           0.0171864
                0.91           0.0106572           0.0173173
                0.92           0.0108719           0.0174464
                0.93           0.0110883           0.0175735
                0.94           0.0113062           0.0176987
                0.95           0.0115255            0.017822
                0.96           0.0117464           0.0179434
                0.97           0.0119687           0.0180628
                0.98           0.0121924           0.0181802
                0.99           0.0124176           0.0182956
                   1           0.0126441           0.0184091
                1.01           0.0128721           0.0185205
                1.02           0.0131013           0.0186299
                1.03           0.0133319           0.0187373
                1.04           0.0135637           0.0188426
                1.05           0.0137968           0.0189459
                1.06           0.0140312           0.0190471
                1.07           0.0142667           0.0191462
                1.08           0.0145035           0.0192432
                1.09           0.0147414           0.0193381
                 1.1           0.0149804           0.0194309
                1.11           0.0152206           0.0195216
                1.12           0.0154618           0.0196102
                1.13           0.0157041           0.0196966
                1.14           0.0159474           0.0197808
                1.15           0.0161918           0.0198629
                1.16           0.0164371           0.0199428
                1.17           0.0166834           0.0200206
                1.18           0.0169306           0.0200961
                1.19           0.0171787           0.0201695
                 1.2           0.0174276           0.0202406
                1.21           0.0176775           0.0203095
                1.22           0.0179281           0.0203762
                1.23           0.0181795           0.0204407
                1.24           0.0184317           0.0205029
                1.25           0.0186847           0.0205629
                1.26           0.0189383           0.0206207
                1.27           0.0191927           0.0206762
                1.28           0.0194476           0.0207294
                1.29           0.0197033           0.0207803
                 1.3           0.0199595            0.020829
