TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.7
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         9.09451e-06         0.000449858
                0.02         2.42533e-05         0.000899941
                0.03         4.54777e-05          0.00135018
                0.04         7.27681e-05           0.0018005
                0.05         0.000106124          0.00225083
                0.06         0.000145544           0.0027011
                0.07         0.000191025          0.00315125
                0.08         0.000242563          0.00360119
                0.09         0.000300156          0.00405086
                 0.1         0.000363796          0.00450019
                0.11         0.000433479           0.0049491
                0.12         0.000509196          0.00539753
                0.13         0.000590939           0.0058454
                0.14           0.0006787          0.00629265
                0.15         0.000772468           0.0067392
                0.16         0.000872232          0.00718498
                0.17         0.000977981          0.00762993
                0.18           0.0010897          0.00807397
                0.19          0.00120738          0.00851703
                 0.2            0.001331          0.00895905
                0.21          0.00146054          0.00939994
                0.22            0.001596          0.00983965
                0.23          0.00173735           0.0102781
                0.24          0.00188458           0.0107152
                0.25          0.00203766            0.011151
                0.26          0.00219657           0.0115852
                0.27           0.0023613            0.012018
                0.28          0.00253183           0.0124491
                0.29          0.00270812           0.0128786
                 0.3          0.00289015           0.0133063
                0.31          0.00307791           0.0137323
                0.32          0.00327135           0.0141563
                0.33          0.00347047           0.0145785
                0.34          0.00367523           0.0149986
                0.35           0.0038856           0.0154166
                0.36          0.00410155           0.0158326
                0.37          0.00432306           0.0162463
                0.38          0.00455009           0.0166577
                0.39          0.00478261           0.0170669
                 0.4          0.00502059           0.0174736
                0.41          0.00526399           0.0178778
                0.42          0.00551278           0.0182796
                0.43          0.00576693           0.0186787
                0.44           0.0060264           0.0190752
                0.45          0.00629115            0.019469
                0.46          0.00656115           0.0198601
                0.47          0.00683635           0.0202482
                0.48          0.00711672           0.0206335
                0.49          0.00740222           0.0210158
                 0.5           0.0076928           0.0213952
                0.51          0.00798843           0.0217714
                0.52          0.00828907           0.0221445
                0.53          0.00859466           0.0225144
                0.54          0.00890517            0.022881
                0.55          0.00922055           0.0232443
                0.56          0.00954076           0.0236043
                0.57          0.00986575           0.0239608
                0.58           0.0101955           0.0243139
                0.59           0.0105299           0.0246634
                 0.6           0.0108689           0.0250093
                0.61           0.0112126           0.0253516
                0.62           0.0115607           0.0256901
                0.63           0.0119134           0.0260249
                0.64           0.0122705           0.0263559
                0.65            0.012632           0.0266831
                0.66           0.0129978           0.0270063
                0.67           0.0133679           0.0273256
                0.68           0.0137423           0.0276408
                0.69           0.0141208            0.027952
                 0.7           0.0145034           0.0282591
                0.71           0.0148901            0.028562
                0.72           0.0152808           0.0288607
                0.73           0.0156754           0.0291552
                0.74           0.0160739           0.0294453
                0.75           0.0164763           0.0297311
                0.76           0.0168825           0.0300126
                0.77           0.0172923           0.0302895
                0.78           0.0177058            0.030562
                0.79           0.0181229             0.03083
                 0.8           0.0185436           0.0310934
                0.81           0.0189677           0.0313522
                0.82           0.0193952           0.0316064
                0.83           0.0198261           0.0318558
                0.84           0.0202603           0.0321006
                0.85           0.0206977           0.0323405
                0.86           0.0211382           0.0325757
                0.87           0.0215819            0.032806
                0.88           0.0220286           0.0330315
                0.89           0.0224782            0.033252
                 0.9           0.0229307           0.0334676
                0.91           0.0233861           0.0336782
                0.92           0.0238442           0.0338838
                0.93           0.0243051           0.0340843
                0.94           0.0247686           0.0342798
                0.95           0.0252346           0.0344702
                0.96           0.0257031           0.0346554
                0.97           0.0261741           0.0348354
                0.98           0.0266474           0.0350103
                0.99            0.027123           0.0351799
                   1           0.0276008           0.0353443
                1.01           0.0280808           0.0355034
                1.02           0.0285628           0.0356572
                1.03           0.0290469           0.0358056
                1.04           0.0295329           0.0359488
                1.05           0.0300207           0.0360865
                1.06           0.0305103           0.0362189
                1.07           0.0310017           0.0363458
                1.08           0.0314947           0.0364673
                1.09           0.0319893           0.0365833
                 1.1           0.0324854           0.0366939
                1.11            0.032983            0.036799
                1.12           0.0334818           0.0368986
                1.13            0.033982           0.0369926
                1.14           0.0344834           0.0370812
                1.15           0.0349859           0.0371641
                1.16           0.0354895           0.0372415
                1.17           0.0359941           0.0373134
                1.18           0.0364996           0.0373796
                1.19           0.0370059           0.0374403
                 1.2            0.037513           0.0374953
                1.21           0.0380208           0.0375447
                1.22           0.0385293           0.0375885
                1.23           0.0390382           0.0376267
                1.24           0.0395476           0.0376592
                1.25           0.0400575           0.0376861
                1.26           0.0405676           0.0377073
                1.27            0.041078           0.0377229
                1.28           0.0415886           0.0377329
                1.29           0.0420992           0.0377371
                 1.3           0.0426099           0.0377358
                1.31           0.0431205           0.0377287
