TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.4
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         5.02848e-06          0.00026662
                0.02         1.34091e-05         0.000533286
                0.03         2.51416e-05         0.000799966
                0.04         4.02254e-05          0.00106663
                0.05         5.86594e-05          0.00133323
                0.06         8.04421e-05          0.00159976
                0.07         0.000105572          0.00186616
                0.08         0.000134046          0.00213241
                0.09         0.000165862          0.00239848
                 0.1         0.000201016          0.00266433
                0.11         0.000239506          0.00292993
                0.12         0.000281327          0.00319525
                0.13         0.000326475          0.00346025
                0.14         0.000374945          0.00372491
                0.15         0.000426732          0.00398918
                0.16          0.00048183          0.00425304
                0.17         0.000540234          0.00451645
                0.18         0.000601937          0.00477938
                0.19         0.000666932           0.0050418
                 0.2         0.000735212          0.00530368
                0.21         0.000806769          0.00556498
                0.22         0.000881596          0.00582568
                0.23         0.000959684          0.00608573
                0.24          0.00104102          0.00634511
                0.25          0.00112561          0.00660378
                0.26          0.00121342          0.00686172
                0.27          0.00130446          0.00711889
                0.28          0.00139872          0.00737525
                0.29          0.00149617          0.00763079
                 0.3          0.00159682          0.00788546
                0.31          0.00170065          0.00813923
                0.32          0.00180764          0.00839208
                0.33          0.00191779          0.00864397
                0.34          0.00203108          0.00889487
                0.35          0.00214751          0.00914475
                0.36          0.00226704          0.00939358
                0.37          0.00238969          0.00964133
                0.38          0.00251541          0.00988797
                0.39          0.00264422           0.0101335
                 0.4          0.00277608           0.0103778
                0.41          0.00291098           0.0106209
                0.42          0.00304891           0.0108628
                0.43          0.00318986           0.0111034
                0.44           0.0033338           0.0113427
                0.45          0.00348071           0.0115807
                0.46          0.00363059           0.0118174
                0.47          0.00378341           0.0120526
                0.48          0.00393916           0.0122865
                0.49          0.00409781           0.0125189
                 0.5          0.00425936           0.0127499
                0.51          0.00442377           0.0129793
                0.52          0.00459104           0.0132072
                0.53          0.00476113           0.0134336
                0.54          0.00493404           0.0136584
                0.55          0.00510974           0.0138816
                0.56          0.00528821           0.0141031
                0.57          0.00546942            0.014323
                0.58          0.00565337           0.0145412
                0.59          0.00584002           0.0147577
                 0.6          0.00602936           0.0149724
                0.61          0.00622136           0.0151854
                0.62            0.006416           0.0153965
                0.63          0.00661325           0.0156058
                0.64           0.0068131           0.0158133
                0.65          0.00701552           0.0160189
                0.66          0.00722049           0.0162226
                0.67          0.00742797           0.0164244
                0.68          0.00763796           0.0166243
                0.69          0.00785042           0.0168221
                 0.7          0.00806532            0.017018
                0.71          0.00828265           0.0172118
                0.72          0.00850238           0.0174036
                0.73          0.00872447           0.0175933
                0.74          0.00894891           0.0177809
                0.75          0.00917567           0.0179664
                0.76          0.00940473           0.0181497
                0.77          0.00963604           0.0183309
                0.78           0.0098696           0.0185099
                0.79           0.0101054           0.0186867
                 0.8           0.0103433           0.0188613
                0.81           0.0105834           0.0190336
                0.82           0.0108256           0.0192036
                0.83           0.0110699           0.0193714
                0.84           0.0113163           0.0195368
                0.85           0.0115648           0.0196999
                0.86           0.0118152           0.0198606
                0.87           0.0120676            0.020019
                0.88            0.012322           0.0201749
                0.89           0.0125783           0.0203285
                 0.9           0.0128365           0.0204796
                0.91           0.0130965           0.0206283
                0.92           0.0133584           0.0207745
                0.93            0.013622           0.0209182
                0.94           0.0138875           0.0210594
                0.95           0.0141546            0.021198
                0.96           0.0144235           0.0213342
                0.97            0.014694           0.0214677
                0.98           0.0149662           0.0215987
                0.99             0.01524           0.0217271
                   1           0.0155154           0.0218529
                1.01           0.0157923           0.0219761
                1.02           0.0160707           0.0220967
                1.03           0.0163506           0.0222146
                1.04            0.016632           0.0223298
                1.05           0.0169147           0.0224423
                1.06           0.0171988           0.0225522
                1.07           0.0174843           0.0226593
                1.08           0.0177711           0.0227637
                1.09           0.0180592           0.0228654
                 1.1           0.0183485           0.0229643
                1.11            0.018639           0.0230605
                1.12           0.0189307           0.0231539
                1.13           0.0192235           0.0232445
                1.14           0.0195174           0.0233324
                1.15           0.0198124           0.0234174
                1.16           0.0201085           0.0234996
                1.17           0.0204055            0.023579
                1.18           0.0207035           0.0236555
                1.19           0.0210025           0.0237292
                 1.2           0.0213023              0.0238
                1.21            0.021603            0.023868
                1.22           0.0219045           0.0239331
                1.23           0.0222068           0.0239954
                1.24           0.0225098           0.0240547
                1.25           0.0228136           0.0241112
                1.26           0.0231181           0.0241647
                1.27           0.0234232           0.0242154
                1.28           0.0237289           0.0242631
                1.29           0.0240351           0.0243079
                 1.3            0.024342           0.0243498
                1.31           0.0246493           0.0243887
