TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         2.58326e-06         0.000146921
                0.02         6.88844e-06         0.000293846
                0.03         1.29153e-05         0.000440761
                0.04         2.06633e-05         0.000587655
                0.05          3.0132e-05         0.000734514
                0.06         4.13205e-05         0.000881324
                0.07         5.42281e-05          0.00102807
                0.08         6.88536e-05          0.00117475
                0.09          8.5196e-05          0.00132134
                 0.1         0.000103254          0.00146783
                0.11         0.000123025          0.00161421
                0.12          0.00014451          0.00176046
                0.13         0.000167704          0.00190657
                0.14         0.000192607          0.00205254
                0.15         0.000219217          0.00219834
                0.16         0.000247531          0.00234396
                0.17         0.000277547          0.00248939
                0.18         0.000309262          0.00263462
                0.19         0.000342674          0.00277964
                 0.2          0.00037778          0.00292442
                0.21         0.000414577          0.00306897
                0.22         0.000453061          0.00321327
                0.23          0.00049323          0.00335729
                0.24          0.00053508          0.00350104
                0.25         0.000578607           0.0036445
                0.26         0.000623808          0.00378765
                0.27         0.000670679          0.00393049
                0.28         0.000719216            0.004073
                0.29         0.000769415          0.00421517
                 0.3         0.000821271          0.00435698
                0.31         0.000874781          0.00449842
                0.32         0.000929939          0.00463949
                0.33          0.00098674          0.00478017
                0.34          0.00104518          0.00492044
                0.35          0.00110525          0.00506029
                0.36          0.00116696          0.00519972
                0.37          0.00123028          0.00533871
                0.38          0.00129523          0.00547724
                0.39          0.00136179          0.00561531
                 0.4          0.00142995           0.0057529
                0.41          0.00149971             0.00589
                0.42          0.00157107           0.0060266
                0.43          0.00164402          0.00616268
                0.44          0.00171855          0.00629824
                0.45          0.00179466          0.00643327
                0.46          0.00187234          0.00656774
                0.47          0.00195157          0.00670165
                0.48          0.00203237          0.00683499
                0.49          0.00211471          0.00696775
                 0.5           0.0021986           0.0070999
                0.51          0.00228402          0.00723145
                0.52          0.00237097          0.00736239
                0.53          0.00245944          0.00749269
                0.54          0.00254942          0.00762234
                0.55          0.00264091          0.00775135
                0.56          0.00273389          0.00787968
                0.57          0.00282836          0.00800735
                0.58          0.00292432          0.00813432
                0.59          0.00302174          0.00826059
                 0.6          0.00312063          0.00838616
                0.61          0.00322098            0.008511
                0.62          0.00332277          0.00863511
                0.63            0.003426          0.00875848
                0.64          0.00353066           0.0088811
                0.65          0.00363674          0.00900295
                0.66          0.00374423          0.00912402
                0.67          0.00385312          0.00924431
                0.68          0.00396341           0.0093638
                0.69          0.00407508          0.00948248
                 0.7          0.00418812          0.00960035
                0.71          0.00430253          0.00971739
                0.72          0.00441829          0.00983359
                0.73           0.0045354          0.00994894
                0.74          0.00465384           0.0100634
                0.75           0.0047736           0.0101771
                0.76          0.00489468           0.0102898
                0.77          0.00501706           0.0104017
                0.78          0.00514073           0.0105126
                0.79          0.00526569           0.0106227
                 0.8          0.00539191           0.0107318
                0.81           0.0055194             0.01084
                0.82          0.00564814           0.0109473
                0.83          0.00577811           0.0110536
                0.84          0.00590932            0.011159
                0.85          0.00604174           0.0112634
                0.86          0.00617536           0.0113668
                0.87          0.00631018           0.0114692
                0.88          0.00644618           0.0115707
                0.89          0.00658334           0.0116711
                 0.9          0.00672167           0.0117706
                0.91          0.00686115            0.011869
                0.92          0.00700175           0.0119664
                0.93          0.00714349           0.0120627
                0.94          0.00728633           0.0121581
                0.95          0.00743027           0.0122523
                0.96          0.00757529           0.0123455
                0.97          0.00772139           0.0124376
                0.98          0.00786855           0.0125287
                0.99          0.00801675           0.0126187
                   1            0.008166           0.0127075
                1.01          0.00831626           0.0127953
                1.02          0.00846754            0.012882
                1.03          0.00861981           0.0129675
                1.04          0.00877306           0.0130519
                1.05          0.00892729           0.0131352
                1.06          0.00908247           0.0132174
                1.07           0.0092386           0.0132984
                1.08          0.00939566           0.0133782
                1.09          0.00955363           0.0134569
                 1.1          0.00971251           0.0135344
                1.11          0.00987228           0.0136108
                1.12           0.0100329           0.0136859
                1.13           0.0101944           0.0137599
                1.14           0.0103568           0.0138327
                1.15             0.01052           0.0139043
                1.16            0.010684           0.0139747
                1.17           0.0108488           0.0140438
                1.18           0.0110144           0.0141118
                1.19           0.0111808           0.0141785
                 1.2            0.011348            0.014244
                1.21           0.0115159           0.0143082
                1.22           0.0116845           0.0143712
                1.23           0.0118539            0.014433
                1.24           0.0120239           0.0144935
                1.25           0.0121947           0.0145528
                1.26           0.0123661           0.0146108
                1.27           0.0125382           0.0146675
                1.28            0.012711           0.0147229
                1.29           0.0128844           0.0147771
                 1.3           0.0130584             0.01483
