TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.5
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         6.16707e-06         0.000319426
                0.02         1.64456e-05         0.000638934
                0.03         3.08355e-05         0.000958482
                0.04         4.93363e-05          0.00127803
                0.05         7.19468e-05          0.00159752
                0.06         9.86654e-05          0.00191693
                0.07          0.00012949           0.0022362
                0.08         0.000164418           0.0025553
                0.09         0.000203445          0.00287417
                 0.1         0.000246568          0.00319278
                0.11         0.000293783          0.00351109
                0.12         0.000345084          0.00382905
                0.13         0.000400466          0.00414661
                0.14         0.000459923          0.00446374
                0.15         0.000523449           0.0047804
                0.16         0.000591035          0.00509653
                0.17         0.000662675          0.00541209
                0.18          0.00073836          0.00572705
                0.19         0.000818081          0.00604137
                 0.2          0.00090183          0.00635499
                0.21         0.000989595          0.00666787
                0.22          0.00108137          0.00697998
                0.23          0.00117714          0.00729128
                0.24          0.00127689          0.00760171
                0.25          0.00138061          0.00791124
                0.26           0.0014883          0.00821982
                0.27          0.00159993          0.00852742
                0.28          0.00171549          0.00883399
                0.29          0.00183497          0.00913949
                 0.3          0.00195836          0.00944389
                0.31          0.00208564          0.00974713
                0.32          0.00221679           0.0100492
                0.33          0.00235179             0.01035
                0.34          0.00249064           0.0106495
                0.35          0.00263331           0.0109478
                0.36          0.00277979           0.0112446
                0.37          0.00293005           0.0115401
                0.38          0.00308409           0.0118341
                0.39          0.00324187           0.0121267
                 0.4          0.00340338           0.0124177
                0.41           0.0035686           0.0127072
                0.42          0.00373751           0.0129951
                0.43          0.00391009           0.0132814
                0.44          0.00408631            0.013566
                0.45          0.00426616           0.0138489
                0.46          0.00444961           0.0141301
                0.47          0.00463664           0.0144094
                0.48          0.00482722            0.014687
                0.49          0.00502133           0.0149626
                 0.5          0.00521894           0.0152364
                0.51          0.00542004           0.0155082
                0.52          0.00562459           0.0157781
                0.53          0.00583258            0.016046
                0.54          0.00604396           0.0163118
                0.55          0.00625872           0.0165755
                0.56          0.00647683           0.0168372
                0.57          0.00669827           0.0170966
                0.58          0.00692299           0.0173539
                0.59          0.00715098            0.017609
                 0.6          0.00738221           0.0178618
                0.61          0.00761664           0.0181123
                0.62          0.00785425           0.0183605
                0.63            0.008095           0.0186063
                0.64          0.00833887           0.0188498
                0.65          0.00858583           0.0190908
                0.66          0.00883583           0.0193293
                0.67          0.00908886           0.0195654
                0.68          0.00934488            0.019799
                0.69          0.00960385             0.02003
                 0.7          0.00986575           0.0202584
                0.71           0.0101305           0.0204842
                0.72           0.0103982           0.0207073
                0.73           0.0106686           0.0209278
                0.74           0.0109419           0.0211456
                0.75           0.0112179           0.0213607
                0.76           0.0114966           0.0215729
                0.77            0.011778           0.0217824
                0.78           0.0120621           0.0219891
                0.79           0.0123487           0.0221929
                 0.8           0.0126379           0.0223939
                0.81           0.0129297           0.0225919
                0.82            0.013224            0.022787
                0.83           0.0135207           0.0229792
                0.84           0.0138198           0.0231684
                0.85           0.0141214           0.0233545
                0.86           0.0144252           0.0235377
                0.87           0.0147314           0.0237177
                0.88           0.0150399           0.0238947
                0.89           0.0153505           0.0240686
                 0.9           0.0156634           0.0242394
                0.91           0.0159784            0.024407
                0.92           0.0162955           0.0245714
                0.93           0.0166147           0.0247327
                0.94           0.0169359           0.0248907
                0.95           0.0172591           0.0250455
                0.96           0.0175843            0.025197
                0.97           0.0179113           0.0253452
                0.98           0.0182402           0.0254901
                0.99           0.0185709           0.0256317
                   1           0.0189034             0.02577
                1.01           0.0192377           0.0259049
                1.02           0.0195736           0.0260365
                1.03           0.0199111           0.0261646
                1.04           0.0202503           0.0262893
                1.05            0.020591           0.0264106
                1.06           0.0209333           0.0265285
                1.07            0.021277           0.0266428
                1.08           0.0216221           0.0267537
                1.09           0.0219687           0.0268612
                 1.1           0.0223165           0.0269651
                1.11           0.0226657           0.0270655
                1.12           0.0230161           0.0271623
                1.13           0.0233677           0.0272556
                1.14           0.0237205           0.0273454
                1.15           0.0240744           0.0274315
                1.16           0.0244294           0.0275141
                1.17           0.0247854           0.0275931
                1.18           0.0251423           0.0276685
                1.19           0.0255002           0.0277403
                 1.2            0.025859           0.0278084
                1.21           0.0262186           0.0278729
                1.22           0.0265791           0.0279338
                1.23           0.0269402            0.027991
                1.24           0.0273021           0.0280445
                1.25           0.0276646           0.0280944
                1.26           0.0280278           0.0281406
                1.27           0.0283915           0.0281832
                1.28           0.0287557            0.028222
                1.29           0.0291203           0.0282572
                 1.3           0.0294855           0.0282886
                1.31           0.0298509           0.0283164
