TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.6
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01          7.5116e-06         0.000380151
                0.02         2.00314e-05         0.000760441
                0.03           3.756e-05          0.00114081
                0.04         6.00969e-05          0.00152121
                0.05         8.76413e-05          0.00190159
                0.06         0.000120191          0.00228187
                0.07         0.000157745          0.00266202
                0.08         0.000200298          0.00304198
                0.09         0.000247848          0.00342168
                 0.1         0.000300389          0.00380107
                0.11         0.000357916           0.0041801
                0.12         0.000420423          0.00455872
                0.13         0.000487904          0.00493685
                0.14          0.00056035          0.00531446
                0.15         0.000637753          0.00569149
                0.16         0.000720105          0.00606788
                0.17         0.000807396          0.00644357
                0.18         0.000899614          0.00681851
                0.19          0.00099675          0.00719264
                 0.2          0.00109879          0.00756592
                0.21          0.00120572          0.00793828
                0.22          0.00131754          0.00830967
                0.23          0.00143422          0.00868003
                0.24          0.00155575          0.00904932
                0.25          0.00168211          0.00941748
                0.26          0.00181329          0.00978445
                0.27          0.00194928           0.0101502
                0.28          0.00209005           0.0105146
                0.29          0.00223559           0.0108777
                 0.3          0.00238587           0.0112394
                0.31          0.00254089           0.0115996
                0.32          0.00270061           0.0119584
                0.33          0.00286502           0.0123155
                0.34           0.0030341           0.0126711
                0.35          0.00320781            0.013025
                0.36          0.00338615           0.0133772
                0.37          0.00356909           0.0137276
                0.38           0.0037566           0.0140762
                0.39          0.00394866           0.0144229
                 0.4          0.00414523           0.0147677
                0.41          0.00434631           0.0151105
                0.42          0.00455185           0.0154513
                0.43          0.00476184           0.0157901
                0.44          0.00497624           0.0161267
                0.45          0.00519502           0.0164612
                0.46          0.00541816           0.0167934
                0.47          0.00564563           0.0171234
                0.48          0.00587739            0.017451
                0.49          0.00611341           0.0177763
                 0.5          0.00635367           0.0180992
                0.51          0.00659812           0.0184196
                0.52          0.00684674           0.0187375
                0.53          0.00709949           0.0190528
                0.54          0.00735635           0.0193656
                0.55          0.00761726           0.0196757
                0.56           0.0078822           0.0199831
                0.57          0.00815114           0.0202878
                0.58          0.00842403           0.0205897
                0.59          0.00870084           0.0208888
                 0.6          0.00898153            0.021185
                0.61          0.00926606           0.0214783
                0.62           0.0095544           0.0217686
                0.63           0.0098465            0.022056
                0.64           0.0101423           0.0223403
                0.65           0.0104418           0.0226215
                0.66            0.010745           0.0228996
                0.67           0.0110517           0.0231746
                0.68           0.0113621           0.0234463
                0.69           0.0116759           0.0237148
                 0.7           0.0119932             0.02398
                0.71           0.0123139           0.0242419
                0.72           0.0126381           0.0245004
                0.73           0.0129655           0.0247556
                0.74           0.0132963           0.0250073
                0.75           0.0136303           0.0252555
                0.76           0.0139675           0.0255002
                0.77           0.0143079           0.0257414
                0.78           0.0146514            0.025979
                0.79            0.014998            0.026213
                 0.8           0.0153476           0.0264433
                0.81           0.0157002             0.02667
                0.82           0.0160556           0.0268929
                0.83            0.016414           0.0271121
                0.84           0.0167752           0.0273275
                0.85           0.0171391           0.0275391
                0.86           0.0175058           0.0277468
                0.87           0.0178752           0.0279507
                0.88           0.0182472           0.0281507
                0.89           0.0186217           0.0283467
                 0.9           0.0189988           0.0285388
                0.91           0.0193783           0.0287269
                0.92           0.0197603           0.0289109
                0.93           0.0201446            0.029091
                0.94           0.0205313           0.0292669
                0.95           0.0209202           0.0294388
                0.96           0.0213113           0.0296065
                0.97           0.0217045           0.0297701
                0.98           0.0220999           0.0299295
                0.99           0.0224973           0.0300848
                   1           0.0228967           0.0302358
                1.01            0.023298           0.0303826
                1.02           0.0237012           0.0305251
                1.03           0.0241062           0.0306633
                1.04            0.024513           0.0307972
                1.05           0.0249215           0.0309268
                1.06           0.0253316           0.0310521
                1.07           0.0257433            0.031173
                1.08           0.0261566           0.0312896
                1.09           0.0265714           0.0314017
                 1.1           0.0269876           0.0315094
                1.11           0.0274052           0.0316128
                1.12            0.027824           0.0317116
                1.13           0.0282442            0.031806
                1.14           0.0286655            0.031896
                1.15           0.0290879           0.0319814
                1.16           0.0295115           0.0320624
                1.17            0.029936           0.0321389
                1.18           0.0303616           0.0322108
                1.19            0.030788           0.0322782
                 1.2           0.0312153           0.0323411
                1.21           0.0316433           0.0323995
                1.22           0.0320721           0.0324532
                1.23           0.0325016           0.0325025
                1.24           0.0329316           0.0325471
                1.25           0.0333623           0.0325872
                1.26           0.0337934           0.0326227
                1.27           0.0342249           0.0326535
                1.28           0.0346568           0.0326799
                1.29            0.035089           0.0327016
                 1.3           0.0355215           0.0327187
                1.31           0.0359541           0.0327312
