TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.2
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         3.25962e-06         0.000181138
                0.02         8.69205e-06         0.000362287
                0.03         1.62969e-05         0.000543428
                0.04         2.60738e-05         0.000724545
                0.05         3.80218e-05         0.000905618
                0.06         5.21401e-05          0.00108663
                0.07         6.84273e-05          0.00126756
                0.08         8.68822e-05           0.0014484
                0.09         0.000107503          0.00162912
                 0.1         0.000130288           0.0018097
                0.11         0.000155235          0.00199014
                0.12         0.000182342           0.0021704
                0.13         0.000211607          0.00235048
                0.14         0.000243026          0.00253035
                0.15         0.000276597          0.00270999
                0.16         0.000312316           0.0028894
                0.17         0.000350181          0.00306854
                0.18         0.000390188          0.00324741
                0.19         0.000432332          0.00342599
                 0.2         0.000476611          0.00360424
                0.21         0.000523019          0.00378217
                0.22         0.000571553          0.00395975
                0.23         0.000622208          0.00413697
                0.24         0.000674979          0.00431379
                0.25         0.000729861          0.00449022
                0.26         0.000786849          0.00466623
                0.27         0.000845937           0.0048418
                0.28         0.000907119          0.00501691
                0.29         0.000970391          0.00519156
                 0.3          0.00103575          0.00536571
                0.31          0.00110318          0.00553936
                0.32          0.00117268          0.00571248
                0.33          0.00124424          0.00588506
                0.34          0.00131786          0.00605708
                0.35          0.00139353          0.00622853
                0.36          0.00147125          0.00639938
                0.37          0.00155099          0.00656962
                0.38          0.00163277          0.00673924
                0.39          0.00171656          0.00690821
                 0.4          0.00180236          0.00707651
                0.41          0.00189017          0.00724415
                0.42          0.00197997          0.00741108
                0.43          0.00207176          0.00757731
                0.44          0.00216552           0.0077428
                0.45          0.00226126          0.00790756
                0.46          0.00235895          0.00807155
                0.47          0.00245859          0.00823476
                0.48          0.00256016          0.00839718
                0.49          0.00266367          0.00855879
                 0.5           0.0027691          0.00871958
                0.51          0.00287644          0.00887952
                0.52          0.00298567           0.0090386
                0.53           0.0030968          0.00919681
                0.54           0.0032098          0.00935413
                0.55          0.00332467          0.00951055
                0.56          0.00344139          0.00966604
                0.57          0.00355996          0.00982059
                0.58          0.00368036           0.0099742
                0.59          0.00380259           0.0101268
                 0.6          0.00392662           0.0102785
                0.61          0.00405245           0.0104291
                0.62          0.00418007           0.0105788
                0.63          0.00430945           0.0107274
                0.64           0.0044406            0.010875
                0.65           0.0045735           0.0110215
                0.66          0.00470813           0.0111669
                0.67          0.00484448           0.0113113
                0.68          0.00498254           0.0114545
                0.69           0.0051223           0.0115967
                 0.7          0.00526373           0.0117377
                0.71          0.00540684           0.0118776
                0.72           0.0055516           0.0120163
                0.73            0.005698           0.0121538
                0.74          0.00584602           0.0122902
                0.75          0.00599566           0.0124253
                0.76          0.00614689           0.0125592
                0.77          0.00629971            0.012692
                0.78          0.00645409           0.0128234
                0.79          0.00661003           0.0129537
                 0.8           0.0067675           0.0130826
                0.81           0.0069265           0.0132103
                0.82            0.007087           0.0133367
                0.83          0.00724899           0.0134618
                0.84          0.00741246           0.0135855
                0.85          0.00757739            0.013708
                0.86          0.00774377           0.0138291
                0.87          0.00791157           0.0139488
                0.88          0.00808078           0.0140672
                0.89          0.00825139           0.0141842
                 0.9          0.00842337           0.0142998
                0.91          0.00859672           0.0144141
                0.92          0.00877141           0.0145269
                0.93          0.00894743           0.0146382
                0.94          0.00912477           0.0147482
                0.95          0.00930339           0.0148567
                0.96          0.00948329           0.0149638
                0.97          0.00966446           0.0150693
                0.98          0.00984686           0.0151734
                0.99           0.0100305           0.0152761
                   1           0.0102153           0.0153772
                1.01           0.0104013           0.0154768
                1.02           0.0105885           0.0155749
                1.03           0.0107769           0.0156715
                1.04           0.0109664           0.0157665
                1.05            0.011157             0.01586
                1.06           0.0113486           0.0159519
                1.07           0.0115414           0.0160423
                1.08           0.0117352           0.0161311
                1.09           0.0119301           0.0162183
                 1.1            0.012126           0.0163039
                1.11           0.0123229            0.016388
                1.12           0.0125208           0.0164704
                1.13           0.0127196           0.0165512
                1.14           0.0129194           0.0166303
                1.15           0.0131202           0.0167079
                1.16           0.0133218           0.0167838
                1.17           0.0135243            0.016858
                1.18           0.0137277           0.0169306
                1.19           0.0139319           0.0170016
                 1.2            0.014137           0.0170708
                1.21           0.0143429           0.0171384
                1.22           0.0145495           0.0172043
                1.23           0.0147569           0.0172685
                1.24           0.0149651            0.017331
                1.25            0.015174           0.0173918
                1.26           0.0153836            0.017451
                1.27           0.0155939           0.0175083
                1.28           0.0158049            0.017564
                1.29           0.0160165            0.017618
                 1.3           0.0162288           0.0176702
                1.31           0.0164416           0.0177206
