TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         0.8
X0:          0
Z0:          0
               TIME:                   X                   Z
                1.81           0.0111376          0.00947412
                1.82           0.0112418          0.00949187
                1.83           0.0113462          0.00950912
                1.84           0.0114507          0.00952586
                1.85           0.0115555           0.0095421
                1.86           0.0116604          0.00955784
                1.87           0.0117655          0.00957307
                1.88           0.0118708           0.0095878
                1.89           0.0119762          0.00960202
                 1.9           0.0120818          0.00961573
                1.91           0.0121875          0.00962893
                1.92           0.0122933          0.00964163
                1.93           0.0123993          0.00965381
                1.94           0.0125054          0.00966548
                1.95           0.0126117          0.00967665
                1.96           0.0127181           0.0096873
                1.97           0.0128245          0.00969744
                1.98           0.0129311          0.00970706
                1.99           0.0130378          0.00971618
                   2           0.0131446          0.00972478
                2.01           0.0132514          0.00973286
                2.02           0.0133584          0.00974043
                2.03           0.0134654          0.00974749
                2.04           0.0135725          0.00975403
                2.05           0.0136797          0.00976005
                2.06           0.0137869          0.00976556
                2.07           0.0138942          0.00977055
                2.08           0.0140016          0.00977503
                2.09            0.014109          0.00977898
                 2.1           0.0142164          0.00978242
                2.11           0.0143239          0.00978535
                2.12           0.0144314          0.00978776
                2.13           0.0145389          0.00978964
                2.14           0.0146464          0.00979102
                2.15            0.014754          0.00979187
                2.16           0.0148615           0.0097922
                2.17           0.0149691          0.00979202
                2.18           0.0150766          0.00979132
                2.19           0.0151841          0.00979011
                 2.2           0.0152917          0.00978837
                2.21           0.0153992          0.00978612
                2.22           0.0155066          0.00978335
                2.23           0.0156141          0.00978006
                2.24           0.0157215          0.00977626
                2.25           0.0158289          0.00977193
                2.26           0.0159362           0.0097671
                2.27           0.0160434          0.00976174
                2.28           0.0161506          0.00975587
                2.29           0.0162577          0.00974948
                 2.3           0.0163648          0.00974258
                2.31           0.0164718          0.00973516
                2.32           0.0165787          0.00972723
                2.33           0.0166855          0.00971879
                2.34           0.0167922          0.00970983
                2.35           0.0168988          0.00970035
                2.36           0.0170053          0.00969037
                2.37           0.0171117          0.00967987
                2.38            0.017218          0.00966886
                2.39           0.0173241          0.00965733
                 2.4           0.0174302           0.0096453
                2.41            0.017536          0.00963276
                2.42           0.0176418          0.00961971
                2.43           0.0177474          0.00960615
                2.44           0.0178529          0.00959208
                2.45           0.0179582           0.0095775
                2.46           0.0180633          0.00956242
                2.47           0.0181683          0.00954683
                2.48           0.0182731          0.00953074
                2.49           0.0183778          0.00951415
                 2.5           0.0184822          0.00949705
                2.51           0.0185865          0.00947945
                2.52           0.0186905          0.00946134
                2.53           0.0187944          0.00944274
                2.54           0.0188981          0.00942364
                2.55           0.0190015          0.00940404
                2.56           0.0191048          0.00938394
                2.57           0.0192078          0.00936335
                2.58           0.0193106          0.00934226
                2.59           0.0194131          0.00932068
                 2.6           0.0195155           0.0092986
                2.61           0.0196175          0.00927604
                2.62           0.0197194          0.00925298
                2.63            0.019821          0.00922943
                2.64           0.0199223           0.0092054
                2.65           0.0200234          0.00918088
                2.66           0.0201242          0.00915587
                2.67           0.0202247          0.00913038
                2.68           0.0203249          0.00910441
                2.69           0.0204249          0.00907796
                 2.7           0.0205245          0.00905102
                2.71           0.0206239          0.00902361
                2.72            0.020723          0.00899572
                2.73           0.0208218          0.00896736
                2.74           0.0209202          0.00893852
                2.75           0.0210184          0.00890921
                2.76           0.0211162          0.00887943
                2.77           0.0212137          0.00884918
                2.78           0.0213108          0.00881846
                2.79           0.0214077          0.00878728
                 2.8           0.0215042          0.00875563
                2.81           0.0216003          0.00872351
                2.82           0.0216961          0.00869094
                2.83           0.0217915          0.00865791
                2.84           0.0218866          0.00862442
                2.85           0.0219813          0.00859048
                2.86           0.0220757          0.00855608
                2.87           0.0221696          0.00852122
                2.88           0.0222632          0.00848592
                2.89           0.0223564          0.00845017
                 2.9           0.0224492          0.00841398
                2.91           0.0225416          0.00837734
                2.92           0.0226336          0.00834025
                2.93           0.0227252          0.00830273
                2.94           0.0228164          0.00826476
                2.95           0.0229072          0.00822636
                2.96           0.0229976          0.00818753
                2.97           0.0230875          0.00814826
                2.98            0.023177          0.00810857
                2.99           0.0232661          0.00806844
                   3           0.0233547          0.00802789
                3.01           0.0234429          0.00798691
                3.02           0.0235307          0.00794551
                3.03            0.023618           0.0079037
                3.04           0.0237048          0.00786146
                3.05           0.0237912          0.00781881
                3.06           0.0238771          0.00777575
                3.07           0.0239626          0.00773227
                3.08           0.0240475          0.00768839
                3.09            0.024132           0.0076441
                 3.1            0.024216          0.00759941
                3.11           0.0242996          0.00755432
                3.12           0.0243826          0.00750883
                3.13           0.0244651          0.00746294
                3.14           0.0245472          0.00741665
                3.15           0.0246287          0.00736998
                3.16           0.0247097          0.00732292
                3.17           0.0247902          0.00727547
                3.18           0.0248702          0.00722763
                3.19           0.0249496          0.00717942
                 3.2           0.0250286          0.00713082
                3.21            0.025107          0.00708185
                3.22           0.0251849           0.0070325
                3.23           0.0252622          0.00698279
                3.24            0.025339           0.0069327
                3.25           0.0254152          0.00688225
                3.26           0.0254909          0.00683144
                3.27           0.0255661          0.00678026
                3.28           0.0256406          0.00672873
                3.29           0.0257147          0.00667684
                 3.3           0.0257881           0.0066246
                3.31            0.025861          0.00657201
                3.32           0.0259333          0.00651908
                3.33            0.026005           0.0064658
                3.34           0.0260762          0.00641218
                3.35           0.0261467          0.00635822
                3.36           0.0262167          0.00630392
                3.37           0.0262861           0.0062493
                3.38           0.0263549          0.00619434
                3.39           0.0264231          0.00613906
                 3.4           0.0264906          0.00608345
                3.41           0.0265576          0.00602752
                3.42            0.026624          0.00597127
                3.43           0.0266897          0.00591471
                3.44           0.0267549          0.00585784
                3.45           0.0268194          0.00580066
                3.46           0.0268833          0.00574317
                3.47           0.0269465          0.00568538
                3.48           0.0270091          0.00562729
                3.49           0.0270711          0.00556891
                 3.5           0.0271325          0.00551023
                3.51           0.0271932          0.00545126
                3.52           0.0272533            0.005392
                3.53           0.0273127          0.00533246
                3.54           0.0273715          0.00527264
                3.55           0.0274296          0.00521254
                3.56            0.027487          0.00515216
                3.57           0.0275438          0.00509152
                3.58              0.0276           0.0050306
                3.59           0.0276555          0.00496942
                 3.6           0.0277103          0.00490798
                3.61           0.0277644          0.00484628
                3.62           0.0278179          0.00478433
                3.63           0.0278706          0.00472213
                3.64           0.0279228          0.00465967
                3.65           0.0279742          0.00459697
                3.66           0.0280249          0.00453403
                3.67            0.028075          0.00447085
                3.68           0.0281243          0.00440744
                3.69            0.028173          0.00434379
                 3.7           0.0282209          0.00427991
                3.71           0.0282682          0.00421581
                3.72           0.0283148          0.00415149
                3.73           0.0283607          0.00408695
                3.74           0.0284058           0.0040222
                3.75           0.0284503          0.00395723
                3.76            0.028494          0.00389206
                3.77            0.028537          0.00382668
                3.78           0.0285793           0.0037611
                3.79           0.0286209          0.00369533
                 3.8           0.0286618          0.00362935
                3.81            0.028702          0.00356319
                3.82           0.0287414          0.00349685
                3.83           0.0287801          0.00343031
                3.84           0.0288181           0.0033636
                3.85           0.0288553          0.00329672
                3.86           0.0288919          0.00322966
                3.87           0.0289276          0.00316243
                3.88           0.0289627          0.00309503
                3.89            0.028997          0.00302747
                 3.9           0.0290306          0.00295976
                3.91           0.0290634          0.00289189
                3.92           0.0290955          0.00282387
                3.93           0.0291268           0.0027557
                3.94           0.0291574          0.00268738
