TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1.9
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         1.31294e-05         0.000621203
                0.02         3.50163e-05          0.00124295
                0.03          6.5666e-05          0.00186512
                0.04         0.000105082          0.00248762
                0.05         0.000153265          0.00311032
                0.06         0.000210217          0.00373313
                0.07         0.000275936          0.00435591
                0.08          0.00035042          0.00497858
                0.09         0.000433663            0.005601
                 0.1          0.00052566          0.00622308
                0.11         0.000626404           0.0068447
                0.12         0.000735885          0.00746575
                0.13         0.000854094          0.00808612
                0.14         0.000981017          0.00870569
                0.15          0.00111664          0.00932437
                0.16          0.00126095          0.00994203
                0.17          0.00141393           0.0105586
                0.18          0.00157556           0.0111739
                0.19          0.00174582           0.0117878
                 0.2           0.0019247           0.0124003
                0.21          0.00211215           0.0130113
                0.22          0.00230818           0.0136206
                0.23          0.00251273            0.014228
                0.24           0.0027258           0.0148336
                0.25          0.00294735           0.0154373
                0.26          0.00317735           0.0160388
                0.27          0.00341577            0.016638
                0.28          0.00366257            0.017235
                0.29          0.00391772           0.0178296
                 0.3          0.00418119           0.0184216
                0.31          0.00445293           0.0190109
                0.32          0.00473291           0.0195976
                0.33          0.00502108           0.0201813
                0.34          0.00531741           0.0207622
                0.35          0.00562186             0.02134
                0.36          0.00593436           0.0219146
                0.37          0.00625489           0.0224859
                0.38          0.00658339           0.0230539
                0.39          0.00691981           0.0236184
                 0.4           0.0072641           0.0241794
                0.41          0.00761622           0.0247367
                0.42           0.0079761           0.0252902
                0.43          0.00834369           0.0258399
                0.44          0.00871894           0.0263856
                0.45          0.00910179           0.0269272
                0.46          0.00949218           0.0274647
                0.47          0.00989005           0.0279979
                0.48           0.0102953           0.0285268
                0.49            0.010708           0.0290513
                 0.5           0.0111279           0.0295712
                0.51           0.0115551           0.0300864
                0.52           0.0119894            0.030597
                0.53           0.0124309           0.0311028
                0.54           0.0128793           0.0316036
                0.55           0.0133347           0.0320995
                0.56            0.013797           0.0325902
                0.57           0.0142661           0.0330759
                0.58           0.0147419           0.0335562
                0.59           0.0152245           0.0340312
                 0.6           0.0157135           0.0345008
                0.61           0.0162091           0.0349649
                0.62           0.0167112           0.0354234
                0.63           0.0172196           0.0358762
                0.64           0.0177342           0.0363233
                0.65           0.0182551           0.0367646
                0.66            0.018782           0.0371999
                0.67            0.019315           0.0376292
                0.68           0.0198539           0.0380525
                0.69           0.0203987           0.0384696
                 0.7           0.0209492           0.0388805
                0.71           0.0215055           0.0392852
                0.72           0.0220673           0.0396834
                0.73           0.0226346           0.0400753
                0.74           0.0232073           0.0404606
                0.75           0.0237854           0.0408394
                0.76           0.0243686           0.0412115
                0.77            0.024957           0.0415769
                0.78           0.0255505           0.0419356
                0.79           0.0261489           0.0422874
                 0.8           0.0267521           0.0426323
                0.81           0.0273601           0.0429703
                0.82           0.0279727           0.0433013
                0.83           0.0285899           0.0436251
                0.84           0.0292116           0.0439419
                0.85           0.0298376           0.0442514
                0.86           0.0304679           0.0445537
                0.87           0.0311023           0.0448487
                0.88           0.0317407           0.0451364
                0.89           0.0323832           0.0454166
                 0.9           0.0330294           0.0456894
                0.91           0.0336794           0.0459547
                0.92            0.034333           0.0462125
                0.93           0.0349902           0.0464626
                0.94           0.0356508           0.0467051
                0.95           0.0363147           0.0469399
                0.96           0.0369818            0.047167
                0.97            0.037652           0.0473864
                0.98           0.0383253           0.0475979
                0.99           0.0390014           0.0478016
                   1           0.0396802           0.0479974
                1.01           0.0403618           0.0481853
                1.02           0.0410459           0.0483652
                1.03           0.0417324           0.0485372
                1.04           0.0424213           0.0487012
                1.05           0.0431124           0.0488571
                1.06           0.0438056           0.0490049
                1.07           0.0445008           0.0491447
                1.08           0.0451979           0.0492763
                1.09           0.0458967           0.0493998
                 1.1           0.0465973           0.0495152
                1.11           0.0472993           0.0496223
                1.12           0.0480028           0.0497213
                1.13           0.0487076            0.049812
                1.14           0.0494136           0.0498945
                1.15           0.0501207           0.0499687
                1.16           0.0508288           0.0500347
                1.17           0.0515378           0.0500924
                1.18           0.0522474           0.0501418
                1.19           0.0529577           0.0501829
                 1.2           0.0536686           0.0502157
                1.21           0.0543798           0.0502402
                1.22           0.0550913           0.0502564
                1.23            0.055803           0.0502643
                1.24           0.0565147           0.0502639
                1.25           0.0572263           0.0502551
                1.26           0.0579378            0.050238
                1.27            0.058649           0.0502126
                1.28           0.0593598           0.0501789
                1.29             0.06007           0.0501369
                 1.3           0.0607796           0.0500866
                1.31           0.0614885           0.0500281
