TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         0.7
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01          8.5719e-07         5.30999e-05
                0.02         2.28578e-06         0.000106199
                0.03         4.28569e-06         0.000159294
                0.04         6.85683e-06         0.000212383
                0.05         9.99909e-06         0.000265465
                0.06         1.37123e-05         0.000318536
                0.07         1.79964e-05         0.000371595
                0.08          2.2851e-05         0.000424639
                0.09         2.82761e-05         0.000477666
                 0.1         3.42713e-05         0.000530674
                0.11         4.08364e-05         0.000583661
                0.12         4.79711e-05         0.000636623
                0.13         5.56751e-05          0.00068956
                0.14         6.39481e-05         0.000742469
                0.15         7.27897e-05         0.000795348
                0.16         8.21996e-05         0.000848194
                0.17         9.21772e-05         0.000901005
                0.18         0.000102722         0.000953778
                0.19         0.000113834          0.00100651
                 0.2         0.000125513          0.00105921
                0.21         0.000137757          0.00111186
                0.22         0.000150567          0.00116446
                0.23         0.000163941          0.00121701
                0.24          0.00017788          0.00126952
                0.25         0.000192383          0.00132197
                0.26         0.000207449          0.00137437
                0.27         0.000223077          0.00142671
                0.28         0.000239267          0.00147899
                0.29         0.000256018          0.00153121
                 0.3          0.00027333          0.00158336
                0.31         0.000291201          0.00163545
                0.32          0.00030963          0.00168747
                0.33         0.000328618          0.00173942
                0.34         0.000348164           0.0017913
                0.35         0.000368265           0.0018431
                0.36         0.000388923          0.00189483
                0.37         0.000410135          0.00194648
                0.38           0.0004319          0.00199804
                0.39         0.000454219          0.00204953
                 0.4         0.000477089          0.00210092
                0.41         0.000500511          0.00215223
                0.42         0.000524482          0.00220345
                0.43         0.000549003          0.00225458
                0.44         0.000574071          0.00230561
                0.45         0.000599686          0.00235655
                0.46         0.000625847          0.00240738
                0.47         0.000652552          0.00245812
                0.48         0.000679801          0.00250875
                0.49         0.000707592          0.00255928
                 0.5         0.000735925           0.0026097
                0.51         0.000764797          0.00266001
                0.52         0.000794208          0.00271021
                0.53         0.000824157           0.0027603
                0.54         0.000854642          0.00281027
                0.55         0.000885662          0.00286012
                0.56         0.000917215          0.00290986
                0.57         0.000949301          0.00295947
                0.58         0.000981917          0.00300896
                0.59          0.00101506          0.00305832
                 0.6          0.00104874          0.00310755
                0.61          0.00108294          0.00315665
                0.62          0.00111767          0.00320562
                0.63          0.00115292          0.00325445
                0.64          0.00118869          0.00330315
                0.65          0.00122498          0.00335171
                0.66          0.00126179          0.00340013
                0.67          0.00129912          0.00344841
                0.68          0.00133697          0.00349654
                0.69          0.00137533          0.00354452
                 0.7           0.0014142          0.00359236
                0.71          0.00145359          0.00364004
                0.72          0.00149348          0.00368757
                0.73          0.00153389          0.00373495
                0.74           0.0015748          0.00378217
                0.75          0.00161621          0.00382923
                0.76          0.00165813          0.00387613
                0.77          0.00170054          0.00392286
                0.78          0.00174346          0.00396943
                0.79          0.00178687          0.00401584
                 0.8          0.00183078          0.00406207
                0.81          0.00187518          0.00410814
                0.82          0.00192008          0.00415403
                0.83          0.00196546          0.00419975
                0.84          0.00201134          0.00424529
                0.85           0.0020577          0.00429065
                0.86          0.00210454          0.00433583
                0.87          0.00215186          0.00438083
                0.88          0.00219967          0.00442565
                0.89          0.00224795          0.00447028
                 0.9          0.00229671          0.00451472
                0.91          0.00234595          0.00455897
                0.92          0.00239565          0.00460303
                0.93          0.00244583          0.00464689
                0.94          0.00249647          0.00469056
                0.95          0.00254758          0.00473404
                0.96          0.00259915          0.00477731
                0.97          0.00265119          0.00482038
                0.98          0.00270368          0.00486325
                0.99          0.00275663          0.00490592
                   1          0.00281004          0.00494837
                1.01           0.0028639          0.00499062
                1.02           0.0029182          0.00503266
                1.03          0.00297296          0.00507449
                1.04          0.00302816          0.00511611
                1.05          0.00308381           0.0051575
                1.06          0.00313989          0.00519869
                1.07          0.00319642          0.00523965
                1.08          0.00325338          0.00528039
                1.09          0.00331077          0.00532091
                 1.1           0.0033686          0.00536121
                1.11          0.00342685          0.00540128
                1.12          0.00348554          0.00544112
                1.13          0.00354464          0.00548073
                1.14          0.00360417          0.00552011
                1.15          0.00366412          0.00555927
                1.16          0.00372448          0.00559818
                1.17          0.00378526          0.00563686
                1.18          0.00384645           0.0056753
                1.19          0.00390805          0.00571351
                 1.2          0.00397005          0.00575147
                1.21          0.00403246          0.00578919
                1.22          0.00409527          0.00582667
                1.23          0.00415848           0.0058639
                1.24          0.00422208          0.00590088
                1.25          0.00428608          0.00593762
                1.26          0.00435047          0.00597411
                1.27          0.00441524          0.00601034
                1.28          0.00448041          0.00604632
