TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         0.9
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01          1.5533e-06         9.23849e-05
                0.02         4.14198e-06         0.000184769
                0.03         7.76588e-06         0.000277145
                0.04         1.24248e-05         0.000369509
                0.05         1.81184e-05         0.000461853
                0.06         2.48463e-05         0.000554173
                0.07         3.26081e-05         0.000646461
                0.08         4.14033e-05         0.000738713
                0.09         5.12314e-05         0.000830922
                 0.1         6.20916e-05         0.000923082
                0.11         7.39834e-05          0.00101519
                0.12          8.6906e-05          0.00110723
                0.13         0.000100858          0.00119921
                0.14          0.00011584          0.00129112
                0.15         0.000131849          0.00138294
                0.16         0.000148886          0.00147468
                0.17         0.000166949          0.00156634
                0.18         0.000186036          0.00165789
                0.19         0.000206147          0.00174935
                 0.2          0.00022728          0.00184069
                0.21         0.000249434          0.00193193
                0.22         0.000272608          0.00202304
                0.23           0.0002968          0.00211403
                0.24         0.000322008          0.00220488
                0.25         0.000348231           0.0022956
                0.26         0.000375467          0.00238617
                0.27         0.000403715           0.0024766
                0.28         0.000432972          0.00256687
                0.29         0.000463237          0.00265698
                 0.3         0.000494508          0.00274693
                0.31         0.000526783           0.0028367
                0.32         0.000560059          0.00292629
                0.33         0.000594335           0.0030157
                0.34         0.000629609          0.00310492
                0.35         0.000665877          0.00319395
                0.36         0.000703139          0.00328277
                0.37         0.000741391          0.00337139
                0.38         0.000780631          0.00345979
                0.39         0.000820856          0.00354798
                 0.4         0.000862065          0.00363594
                0.41         0.000904253          0.00372368
                0.42          0.00094742          0.00381117
                0.43         0.000991561          0.00389843
                0.44          0.00103667          0.00398544
                0.45          0.00108276           0.0040722
                0.46           0.0011298           0.0041587
                0.47          0.00117782          0.00424494
                0.48          0.00122679          0.00433091
                0.49          0.00127672           0.0044166
                 0.5           0.0013276          0.00450202
                0.51          0.00137943          0.00458714
                0.52          0.00143221          0.00467198
                0.53          0.00148594          0.00475652
                0.54           0.0015406          0.00484077
                0.55           0.0015962           0.0049247
                0.56          0.00165274          0.00500832
                0.57           0.0017102          0.00509162
                0.58           0.0017686           0.0051746
                0.59          0.00182791          0.00525725
                 0.6          0.00188814          0.00533957
                0.61          0.00194929          0.00542154
                0.62          0.00201135          0.00550318
                0.63          0.00207431          0.00558446
                0.64          0.00213818          0.00566539
                0.65          0.00220295          0.00574595
                0.66          0.00226861          0.00582615
                0.67          0.00233516          0.00590598
                0.68           0.0024026          0.00598544
                0.69          0.00247092          0.00606451
                 0.7          0.00254012           0.0061432
                0.71          0.00261019           0.0062215
                0.72          0.00268113           0.0062994
                0.73          0.00275293           0.0063769
                0.74          0.00282559          0.00645399
                0.75          0.00289911          0.00653067
                0.76          0.00297348          0.00660694
                0.77           0.0030487          0.00668278
                0.78          0.00312475           0.0067582
                0.79          0.00320165          0.00683319
                 0.8          0.00327937          0.00690774
                0.81          0.00335792          0.00698186
                0.82          0.00343729          0.00705552
                0.83          0.00351748          0.00712874
                0.84          0.00359847           0.0072015
                0.85          0.00368028           0.0072738
                0.86          0.00376288          0.00734564
                0.87          0.00384628          0.00741701
                0.88          0.00393047          0.00748791
                0.89          0.00401545          0.00755833
                 0.9           0.0041012          0.00762827
                0.91          0.00418773          0.00769772
                0.92          0.00427503          0.00776668
                0.93          0.00436309          0.00783514
                0.94           0.0044519           0.0079031
                0.95          0.00454147          0.00797056
                0.96          0.00463179          0.00803751
                0.97          0.00472284          0.00810395
                0.98          0.00481463          0.00816987
                0.99          0.00490715          0.00823526
                   1          0.00500039          0.00830013
                1.01          0.00509435          0.00836447
                1.02          0.00518902          0.00842828
                1.03          0.00528439          0.00849155
                1.04          0.00538046          0.00855428
                1.05          0.00547723          0.00861645
                1.06          0.00557468          0.00867808
                1.07          0.00567282          0.00873916
                1.08          0.00577162          0.00879967
                1.09           0.0058711          0.00885963
                 1.1          0.00597123          0.00891901
                1.11          0.00607203          0.00897783
                1.12          0.00617347          0.00903607
                1.13          0.00627555          0.00909374
                1.14          0.00637827          0.00915082
                1.15          0.00648162          0.00920732
                1.16          0.00658559          0.00926324
                1.17          0.00669018          0.00931855
                1.18          0.00679538          0.00937328
                1.19          0.00690118           0.0094274
                 1.2          0.00700758          0.00948092
                1.21          0.00711457          0.00953384
                1.22          0.00722214          0.00958614
                1.23          0.00733028          0.00963783
                1.24            0.007439          0.00968891
                1.25          0.00754828          0.00973936
                1.26          0.00765811           0.0097892
                1.27          0.00776849           0.0098384
                1.28          0.00787942          0.00988698
                1.29          0.00799088          0.00993493
