TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.1
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                1.94            0.211587            0.163867
                1.95            0.213339            0.163978
                1.96            0.215092             0.16408
                1.97            0.216846            0.164171
                1.98            0.218601            0.164252
                1.99            0.220357            0.164324
                   2            0.222114            0.164385
                2.01            0.223871            0.164436
                2.02            0.225628            0.164477
                2.03            0.227386            0.164508
                2.04            0.229144            0.164528
                2.05            0.230902            0.164539
                2.06             0.23266             0.16454
                2.07            0.234419             0.16453
                2.08            0.236177            0.164511
                2.09            0.237934            0.164481
                 2.1            0.239692            0.164442
                2.11            0.241449            0.164392
                2.12            0.243205            0.164332
                2.13            0.244961            0.164262
                2.14            0.246716            0.164183
                2.15            0.248471            0.164093
                2.16            0.250224            0.163993
                2.17            0.251976            0.163883
                2.18            0.253727            0.163763
                2.19            0.255477            0.163632
                 2.2            0.257226            0.163492
                2.21            0.258973            0.163342
                2.22            0.260719            0.163182
                2.23            0.262462            0.163012
                2.24            0.264205            0.162832
                2.25            0.265945            0.162642
                2.26            0.267683            0.162442
                2.27             0.26942            0.162232
                2.28            0.271154            0.162012
                2.29            0.272886            0.161783
                 2.3            0.274616            0.161543
                2.31            0.276343            0.161294
                2.32            0.278068            0.161034
                2.33             0.27979            0.160765
                2.34            0.281509            0.160486
                2.35            0.283226            0.160198
                2.36             0.28494            0.159899
                2.37             0.28665            0.159591
                2.38            0.288358            0.159273
                2.39            0.290062            0.158945
                 2.4            0.291763            0.158608
                2.41            0.293461            0.158261
                2.42            0.295155            0.157904
                2.43            0.296845            0.157538
                2.44            0.298532            0.157162
                2.45            0.300215            0.156777
                2.46            0.301894            0.156382
                2.47            0.303569            0.155978
                2.48             0.30524            0.155564
                2.49            0.306907            0.155141
                 2.5            0.308569            0.154708
                2.51            0.310228            0.154266
                2.52            0.311881            0.153814
                2.53            0.313531            0.153354
                2.54            0.315175            0.152883
                2.55            0.316815            0.152404
                2.56             0.31845            0.151916
                2.57             0.32008            0.151418
                2.58            0.321705            0.150911
                2.59            0.323325            0.150395
                 2.6            0.324939             0.14987
                2.61            0.326549            0.149336
                2.62            0.328153            0.148793
                2.63            0.329751            0.148241
                2.64            0.331344             0.14768
                2.65            0.332931             0.14711
                2.66            0.334513            0.146532
                2.67            0.336088            0.145944
                2.68            0.337658            0.145348
                2.69            0.339221            0.144743
                 2.7            0.340779             0.14413
                2.71             0.34233            0.143507
                2.72            0.343875            0.142877
                2.73            0.345414            0.142237
                2.74            0.346946            0.141589
                2.75            0.348471            0.140933
                2.76             0.34999            0.140268
                2.77            0.351502            0.139595
                2.78            0.353008            0.138914
                2.79            0.354506            0.138224
                 2.8            0.355997            0.137527
                2.81            0.357481            0.136821
                2.82            0.358958            0.136107
                2.83            0.360428            0.135385
                2.84            0.361891            0.134654
                2.85            0.363346            0.133916
                2.86            0.364793             0.13317
                2.87            0.366233            0.132417
                2.88            0.367665            0.131655
                2.89             0.36909            0.130886
                 2.9            0.370506            0.130109
                2.91            0.371915            0.129324
                2.92            0.373315            0.128532
                2.93            0.374708            0.127732
                2.94            0.376092            0.126925
                2.95            0.377468             0.12611
                2.96            0.378836            0.125288
                2.97            0.380195            0.124459
                2.98            0.381546            0.123622
                2.99            0.382888            0.122779
                   3            0.384222            0.121928
                3.01            0.385547             0.12107
                3.02            0.386863            0.120206
