TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.08
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         1.61567e-05         0.000940658
                0.02         4.30813e-05          0.00188234
                0.03         8.07741e-05          0.00282496
                0.04         0.000129234          0.00376847
                0.05          0.00018846          0.00471279
                0.06          0.00025845          0.00565785
                0.07         0.000339201          0.00660359
                0.08         0.000430709          0.00754992
                0.09         0.000532969          0.00849679
                 0.1         0.000645976          0.00944412
                0.11         0.000769725           0.0103918
                0.12         0.000904207           0.0113399
                0.13          0.00104942           0.0122882
                0.14          0.00120534           0.0132367
                0.15          0.00137198           0.0141853
                0.16          0.00154932           0.0151339
                0.17          0.00173734           0.0160825
                0.18          0.00193604            0.017031
                0.19          0.00214541           0.0179794
                 0.2          0.00236543           0.0189275
                0.21          0.00259608           0.0198753
                0.22          0.00283737           0.0208227
                0.23          0.00308926           0.0217697
                0.24          0.00335174           0.0227162
                0.25           0.0036248           0.0236621
                0.26          0.00390842           0.0246073
                0.27          0.00420259           0.0255518
                0.28          0.00450727           0.0264955
                0.29          0.00482246           0.0274383
                 0.3          0.00514814           0.0283803
                0.31          0.00548427           0.0293212
                0.32          0.00583085            0.030261
                0.33          0.00618785           0.0311997
                0.34          0.00655524           0.0321372
                0.35            0.006933           0.0330734
                0.36          0.00732112           0.0340083
                0.37          0.00771955           0.0349417
                0.38          0.00812829           0.0358737
                0.39           0.0085473           0.0368041
                 0.4          0.00897655           0.0377329
                0.41          0.00941602             0.03866
                0.42          0.00986567           0.0395853
                0.43           0.0103255           0.0405088
                0.44           0.0107954           0.0414304
                0.45           0.0112755           0.0423501
                0.46           0.0117656           0.0432677
                0.47           0.0122657           0.0441833
                0.48           0.0127759           0.0450966
                0.49            0.013296           0.0460077
                 0.5           0.0138261           0.0469166
                0.51           0.0143661            0.047823
                0.52           0.0149159           0.0487271
                0.53           0.0154756           0.0496286
                0.54           0.0160451           0.0505276
                0.55           0.0166243           0.0514239
                0.56           0.0172132           0.0523175
                0.57           0.0178119           0.0532084
                0.58           0.0184202           0.0540965
                0.59           0.0190381           0.0549816
                 0.6           0.0196656           0.0558638
                0.61           0.0203025            0.056743
                0.62            0.020949           0.0576191
                0.63            0.021605            0.058492
                0.64           0.0222703           0.0593617
                0.65            0.022945           0.0602281
                0.66            0.023629           0.0610912
                0.67           0.0243223           0.0619509
                0.68           0.0250248           0.0628071
                0.69           0.0257365           0.0636598
                 0.7           0.0264574           0.0645089
                0.71           0.0271873           0.0653543
                0.72           0.0279263            0.066196
                0.73           0.0286743           0.0670339
                0.74           0.0294312            0.067868
                0.75           0.0301971           0.0686982
                0.76           0.0309718           0.0695244
                0.77           0.0317553           0.0703466
                0.78           0.0325476           0.0711647
                0.79           0.0333485           0.0719786
                 0.8           0.0341582           0.0727883
                0.81           0.0349764           0.0735938
                0.82           0.0358032            0.074395
                0.83           0.0366385           0.0751917
                0.84           0.0374822            0.075984
                0.85           0.0383343           0.0767719
                0.86           0.0391948           0.0775551
                0.87           0.0400635           0.0783338
                0.88           0.0409405           0.0791077
                0.89           0.0418256            0.079877
                 0.9           0.0427189           0.0806414
                0.91           0.0436202            0.081401
                0.92           0.0445296           0.0821558
                0.93           0.0454468           0.0829055
                0.94            0.046372           0.0836503
                0.95            0.047305             0.08439
                0.96           0.0482458           0.0851245
                0.97           0.0491943           0.0858539
                0.98           0.0501504           0.0865781
                0.99           0.0511142            0.087297
                   1           0.0520855           0.0880106
                1.01           0.0530642           0.0887187
                1.02           0.0540504           0.0894215
                1.03           0.0550439           0.0901188
                1.04           0.0560447           0.0908105
                1.05           0.0570527           0.0914966
                1.06           0.0580679           0.0921771
                1.07           0.0590902           0.0928519
                1.08           0.0601195            0.093521
                1.09           0.0611558           0.0941843
                 1.1            0.062199           0.0948418
                1.11           0.0632491           0.0954933
                1.12           0.0643059            0.096139
                1.13           0.0653694           0.0967786
                1.14           0.0664396           0.0974123
                1.15           0.0675164           0.0980398
                1.16           0.0685996           0.0986613
                1.17           0.0696893           0.0992765
                1.18           0.0707854           0.0998856
                1.19           0.0718878            0.100488
                 1.2           0.0729964            0.101085
                1.21           0.0741112            0.101675
                1.22           0.0752321            0.102259
                1.23            0.076359            0.102836
                1.24           0.0774919            0.103407
                1.25           0.0786307            0.103972
                1.26           0.0797753            0.104529
                1.27           0.0809257            0.105081
                1.28           0.0820817            0.105625
                1.29           0.0832434            0.106163
                 1.3           0.0844105            0.106694
                1.31           0.0855832            0.107219
                1.32           0.0867612            0.107737
                1.33           0.0879446            0.108248
