TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.05
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         1.00985e-05         0.000587775
                0.02         2.69278e-05          0.00117591
                0.03         5.04874e-05          0.00176437
                0.04         8.07764e-05          0.00235311
                0.05         0.000117793          0.00294208
                0.06         0.000161536          0.00353123
                0.07         0.000212003          0.00412053
                0.08          0.00026919          0.00470993
                0.09         0.000333094          0.00529938
                 0.1         0.000403712          0.00588884
                0.11         0.000481038          0.00647826
                0.12         0.000565069          0.00706761
                0.13         0.000655798          0.00765684
                0.14         0.000753219          0.00824589
                0.15         0.000857327          0.00883474
                0.16         0.000968114          0.00942333
                0.17          0.00108557           0.0100116
                0.18           0.0012097           0.0105996
                0.19          0.00134047           0.0111871
                 0.2           0.0014779           0.0117742
                0.21          0.00162196           0.0123609
                0.22          0.00177265            0.012947
                0.23          0.00192996           0.0135326
                0.24          0.00209388           0.0141175
                0.25          0.00226439           0.0147018
                0.26          0.00244148           0.0152854
                0.27          0.00262515           0.0158683
                0.28          0.00281537           0.0164504
                0.29          0.00301215           0.0170316
                 0.3          0.00321545            0.017612
                0.31          0.00342527           0.0181915
                0.32           0.0036416             0.01877
                0.33          0.00386441           0.0193474
                0.34           0.0040937           0.0199239
                0.35          0.00432945           0.0204993
                0.36          0.00457164           0.0210735
                0.37          0.00482025           0.0216465
                0.38          0.00507527           0.0222184
                0.39          0.00533668           0.0227889
                 0.4          0.00560446           0.0233582
                0.41           0.0058786           0.0239261
                0.42          0.00615906           0.0244927
                0.43          0.00644585           0.0250578
                0.44          0.00673892           0.0256214
                0.45          0.00703828           0.0261835
                0.46          0.00734388            0.026744
                0.47          0.00765572           0.0273029
                0.48          0.00797377           0.0278602
                0.49          0.00829801           0.0284158
                 0.5          0.00862841           0.0289697
                0.51          0.00896496           0.0295218
                0.52          0.00930763           0.0300721
                0.53          0.00965639           0.0306206
                0.54           0.0100112           0.0311671
                0.55           0.0103721           0.0317118
                0.56            0.010739           0.0322544
                0.57           0.0111119            0.032795
                0.58           0.0114908           0.0333336
                0.59           0.0118756           0.0338701
                 0.6           0.0122664           0.0344044
                0.61            0.012663           0.0349365
                0.62           0.0130655           0.0354665
                0.63           0.0134738           0.0359942
                0.64            0.013888           0.0365195
                0.65           0.0143079           0.0370426
                0.66           0.0147335           0.0375632
                0.67           0.0151649           0.0380815
                0.68            0.015602           0.0385973
                0.69           0.0160448           0.0391106
                 0.7           0.0164931           0.0396214
                0.71           0.0169471           0.0401296
                0.72           0.0174067           0.0406352
                0.73           0.0178717           0.0411381
                0.74           0.0183423           0.0416384
                0.75           0.0188184           0.0421359
                0.76           0.0192999           0.0426307
                0.77           0.0197868           0.0431227
                0.78           0.0202791           0.0436118
                0.79           0.0207767           0.0440981
                 0.8           0.0212796           0.0445815
                0.81           0.0217878           0.0450619
                0.82           0.0223013           0.0455394
                0.83           0.0228199           0.0460138
                0.84           0.0233437           0.0464852
                0.85           0.0238726           0.0469535
                0.86           0.0244067           0.0474187
                0.87           0.0249458           0.0478807
                0.88           0.0254899           0.0483395
                0.89           0.0260389           0.0487952
                 0.9            0.026593           0.0492475
                0.91           0.0271519           0.0496966
                0.92           0.0277157           0.0501423
                0.93           0.0282844           0.0505847
                0.94           0.0288578           0.0510236
                0.95            0.029436           0.0514592
                0.96           0.0300189           0.0518913
                0.97           0.0306065           0.0523199
                0.98           0.0311987           0.0527449
                0.99           0.0317955           0.0531665
                   1           0.0323969           0.0535844
                1.01           0.0330027           0.0539987
                1.02           0.0336131           0.0544094
                1.03           0.0342279           0.0548163
                1.04            0.034847           0.0552196
                1.05           0.0354705           0.0556191
                1.06           0.0360983           0.0560149
                1.07           0.0367304           0.0564068
                1.08           0.0373667           0.0567949
                1.09           0.0380072           0.0571792
                 1.1           0.0386518           0.0575596
                1.11           0.0393005            0.057936
                1.12           0.0399532           0.0583085
                1.13           0.0406099            0.058677
                1.14           0.0412706           0.0590416
                1.15           0.0419352           0.0594021
                1.16           0.0426037           0.0597585
                1.17            0.043276           0.0601109
                1.18           0.0439521           0.0604591
                1.19           0.0446318           0.0608032
                 1.2           0.0453153           0.0611432
                1.21           0.0460024            0.061479
                1.22           0.0466932           0.0618105
                1.23           0.0473874           0.0621378
                1.24           0.0480852           0.0624609
                1.25           0.0487864           0.0627797
                1.26            0.049491           0.0630941
                1.27            0.050199           0.0634043
                1.28           0.0509102             0.06371
                1.29           0.0516248           0.0640114
                 1.3           0.0523425           0.0643084
                1.31           0.0530634            0.064601
