TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.06
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01          1.2118e-05         0.000705385
                0.02         3.23126e-05          0.00141132
                0.03         6.05834e-05          0.00211774
                0.04         9.69297e-05          0.00282461
                0.05          0.00014135          0.00353186
                0.06         0.000193842          0.00423945
                0.07         0.000254402          0.00494732
                0.08         0.000323029          0.00565542
                0.09         0.000399718          0.00636369
                 0.1         0.000484463          0.00707209
                0.11         0.000577261          0.00778056
                0.12         0.000678106          0.00848904
                0.13         0.000786991          0.00919749
                0.14          0.00090391          0.00990586
                0.15          0.00102885           0.0106141
                0.16          0.00116182           0.0113221
                0.17          0.00130279           0.0120299
                0.18          0.00145176           0.0127374
                0.19          0.00160873           0.0134445
                 0.2          0.00177367           0.0141512
                0.21          0.00194659           0.0148575
                0.22          0.00212746           0.0155632
                0.23          0.00231628           0.0162684
                0.24          0.00251303           0.0169729
                0.25           0.0027177           0.0176768
                0.26          0.00293028             0.01838
                0.27          0.00315075           0.0190824
                0.28           0.0033791            0.019784
                0.29          0.00361531           0.0204847
                 0.3          0.00385937           0.0211844
                0.31          0.00411126           0.0218832
                0.32          0.00437096           0.0225809
                0.33          0.00463846           0.0232776
                0.34          0.00491374           0.0239731
                0.35          0.00519677           0.0246674
                0.36          0.00548754           0.0253604
                0.37          0.00578604           0.0260522
                0.38          0.00609223           0.0267426
                0.39          0.00640611           0.0274316
                 0.4          0.00672764           0.0281192
                0.41          0.00705681           0.0288053
                0.42          0.00739359           0.0294898
                0.43          0.00773796           0.0301727
                0.44           0.0080899           0.0308539
                0.45          0.00844938           0.0315334
                0.46          0.00881639           0.0322112
                0.47          0.00919089           0.0328872
                0.48          0.00957285           0.0335613
                0.49          0.00996227           0.0342335
                 0.5           0.0103591           0.0349037
                0.51           0.0107633            0.035572
                0.52           0.0111749           0.0362381
                0.53           0.0115938           0.0369022
                0.54             0.01202           0.0375641
                0.55           0.0124535           0.0382238
                0.56           0.0128943           0.0388812
                0.57           0.0133422           0.0395363
                0.58           0.0137974           0.0401891
                0.59           0.0142597           0.0408395
                 0.6           0.0147291           0.0414874
                0.61           0.0152057           0.0421328
                0.62           0.0156893           0.0427757
                0.63           0.0161799           0.0434159
                0.64           0.0166775           0.0440535
                0.65           0.0171821           0.0446885
                0.66           0.0176936           0.0453206
                0.67            0.018212             0.04595
                0.68           0.0187373           0.0465766
                0.69           0.0192694           0.0472003
                 0.7           0.0198083            0.047821
                0.71           0.0203539           0.0484388
                0.72           0.0209062           0.0490535
                0.73           0.0214653           0.0496652
                0.74           0.0220309           0.0502738
                0.75           0.0226032           0.0508792
                0.76            0.023182           0.0514814
                0.77           0.0237674           0.0520803
                0.78           0.0243593            0.052676
                0.79           0.0249576           0.0532683
                 0.8           0.0255623           0.0538573
                0.81           0.0261733           0.0544428
                0.82           0.0267907           0.0550249
                0.83           0.0274144           0.0556034
                0.84           0.0280443           0.0561784
                0.85           0.0286804           0.0567498
                0.86           0.0293227           0.0573175
                0.87           0.0299711           0.0578816
                0.88           0.0306256           0.0584419
                0.89           0.0312861           0.0589985
                 0.9           0.0319526           0.0595512
                0.91            0.032625           0.0601001
                0.92           0.0333033           0.0606451
                0.93           0.0339875           0.0611862
                0.94           0.0346774           0.0617233
                0.95           0.0353732           0.0622564
                0.96           0.0360746           0.0627855
                0.97           0.0367817           0.0633104
                0.98           0.0374944           0.0638312
                0.99           0.0382127           0.0643479
                   1           0.0389365           0.0648603
                1.01           0.0396658           0.0653685
                1.02           0.0404006           0.0658724
                1.03           0.0411407            0.066372
                1.04           0.0418861           0.0668672
                1.05           0.0426368           0.0673581
                1.06           0.0433928           0.0678445
                1.07           0.0441539           0.0683264
                1.08           0.0449202           0.0688038
                1.09           0.0456915           0.0692767
                 1.1           0.0464679            0.069745
                1.11           0.0472492           0.0702087
                1.12           0.0480355           0.0706677
                1.13           0.0488267           0.0711221
                1.14           0.0496227           0.0715717
                1.15           0.0504234           0.0720166
                1.16           0.0512289           0.0724568
                1.17            0.052039           0.0728921
                1.18           0.0528537           0.0733225
                1.19            0.053673           0.0737481
                 1.2           0.0544968           0.0741688
                1.21           0.0553251           0.0745845
                1.22           0.0561578           0.0749953
                1.23           0.0569948            0.075401
                1.24            0.057836           0.0758017
                1.25           0.0586815           0.0761974
                1.26           0.0595312            0.076588
                1.27            0.060385           0.0769734
                1.28           0.0612429           0.0773537
                1.29           0.0621048           0.0777288
                 1.3           0.0629706           0.0780987
                1.31           0.0638403           0.0784634
