TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.04
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         8.07895e-06         0.000470184
                0.02         2.15427e-05         0.000940586
                0.03         4.03909e-05          0.00141117
                0.04         6.46225e-05          0.00188191
                0.05         9.42362e-05          0.00235275
                0.06          0.00012923          0.00282367
                0.07         0.000169603          0.00329464
                0.08         0.000215351          0.00376561
                0.09         0.000266473          0.00423655
                 0.1         0.000322964          0.00470742
                0.11         0.000384821          0.00517819
                0.12          0.00045204          0.00564882
                0.13         0.000524616          0.00611929
                0.14         0.000602544          0.00658954
                0.15          0.00068582          0.00705955
                0.16         0.000774438          0.00752928
                0.17          0.00086839           0.0079987
                0.18         0.000967672          0.00846777
                0.19          0.00107228          0.00893645
                 0.2          0.00118219          0.00940471
                0.21          0.00129742          0.00987252
                0.22          0.00141794           0.0103398
                0.23          0.00154376           0.0108066
                0.24          0.00167486           0.0112728
                0.25          0.00181123           0.0117385
                0.26          0.00195286           0.0122035
                0.27          0.00209975           0.0126678
                0.28          0.00225188           0.0131314
                0.29          0.00240924           0.0135943
                 0.3          0.00257182           0.0140564
                0.31          0.00273961           0.0145177
                0.32           0.0029126           0.0149782
                0.33          0.00309077           0.0154378
                0.34          0.00327412           0.0158964
                0.35          0.00346263           0.0163542
                0.36          0.00365628           0.0168109
                0.37          0.00385507           0.0172666
                0.38          0.00405898           0.0177213
                0.39          0.00426799           0.0181749
                 0.4          0.00448209           0.0186274
                0.41          0.00470126           0.0190787
                0.42           0.0049255           0.0195289
                0.43          0.00515477           0.0199778
                0.44          0.00538908           0.0204254
                0.45          0.00562839           0.0208718
                0.46           0.0058727           0.0213169
                0.47          0.00612198           0.0217606
                0.48          0.00637622           0.0222029
                0.49           0.0066354           0.0226438
                 0.5           0.0068995           0.0230832
                0.51          0.00716851           0.0235211
                0.52           0.0074424           0.0239575
                0.53          0.00772115           0.0243924
                0.54          0.00800475           0.0248257
                0.55          0.00829318           0.0252573
                0.56          0.00858641           0.0256873
                0.57          0.00888442           0.0261156
                0.58           0.0091872           0.0265422
                0.59          0.00949472           0.0269671
                 0.6          0.00980696           0.0273901
                0.61           0.0101239           0.0278114
                0.62           0.0104455           0.0282307
                0.63           0.0107718           0.0286483
                0.64           0.0111027           0.0290639
                0.65           0.0114382           0.0294775
                0.66           0.0117782           0.0298892
                0.67           0.0121229           0.0302989
                0.68           0.0124721           0.0307066
                0.69           0.0128257           0.0311122
                 0.7           0.0131839           0.0315157
                0.71           0.0135465            0.031917
                0.72           0.0139136           0.0323163
                0.73           0.0142851           0.0327133
                0.74           0.0146609           0.0331081
                0.75           0.0150411           0.0335007
                0.76           0.0154257           0.0338909
                0.77           0.0158145           0.0342789
                0.78           0.0162076           0.0346646
                0.79            0.016605           0.0350479
                 0.8           0.0170066           0.0354287
                0.81           0.0174123           0.0358072
                0.82           0.0178223           0.0361832
                0.83           0.0182363           0.0365568
                0.84           0.0186545           0.0369278
                0.85           0.0190768           0.0372963
                0.86            0.019503           0.0376622
                0.87           0.0199334           0.0380256
                0.88           0.0203676           0.0383863
                0.89           0.0208059           0.0387444
                 0.9           0.0212481           0.0390998
                0.91           0.0216941           0.0394525
                0.92           0.0221441           0.0398025
                0.93           0.0225978           0.0401497
                0.94           0.0230554           0.0404942
                0.95           0.0235167           0.0408358
                0.96           0.0239818           0.0411746
                0.97           0.0244506           0.0415106
                0.98            0.024923           0.0418437
                0.99           0.0253991           0.0421739
                   1           0.0258788           0.0425011
                1.01            0.026362           0.0428254
                1.02           0.0268488           0.0431467
                1.03           0.0273391            0.043465
                1.04           0.0278329           0.0437803
                1.05           0.0283301           0.0440925
                1.06           0.0288307           0.0444016
                1.07           0.0293346           0.0447077
                1.08           0.0298419           0.0450106
                1.09           0.0303525           0.0453104
                 1.1           0.0308664            0.045607
                1.11           0.0313834           0.0459004
                1.12           0.0319037           0.0461906
                1.13           0.0324271           0.0464776
                1.14           0.0329536           0.0467613
                1.15           0.0334832           0.0470418
                1.16           0.0340159           0.0473189
                1.17           0.0345516           0.0475927
                1.18           0.0350902           0.0478632
                1.19           0.0356317           0.0481303
                 1.2           0.0361762           0.0483941
                1.21           0.0367235           0.0486544
                1.22           0.0372736           0.0489113
                1.23           0.0378265           0.0491648
                1.24           0.0383822           0.0494148
                1.25           0.0389405           0.0496614
                1.26           0.0395015           0.0499044
                1.27           0.0400652            0.050144
                1.28           0.0406314             0.05038
                1.29           0.0412002           0.0506124
                 1.3           0.0417715           0.0508413
                1.31           0.0423452           0.0510666
