TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          0
                1.31           0.0105127           0.0123257
                1.32           0.0106546           0.0123749
                1.33           0.0107971           0.0124232
                1.34           0.0109401           0.0124706
                1.35           0.0110836           0.0125171
                1.36           0.0112277           0.0125626
                1.37           0.0113722           0.0126071
                1.38           0.0115173           0.0126507
                1.39           0.0116628           0.0126934
                 1.4           0.0118088           0.0127351
                1.41           0.0119553           0.0127758
                1.42           0.0121023           0.0128156
                1.43           0.0122497           0.0128544
                1.44           0.0123975           0.0128922
                1.45           0.0125457            0.012929
                1.46           0.0126944           0.0129649
                1.47           0.0128434           0.0129998
                1.48           0.0129929           0.0130338
                1.49           0.0131427           0.0130667
                 1.5           0.0132929           0.0130987
                1.51           0.0134434           0.0131296
                1.52           0.0135943           0.0131596
                1.53           0.0137455           0.0131886
                1.54           0.0138971           0.0132166
                1.55           0.0140489           0.0132436
                1.56           0.0142011           0.0132696
                1.57           0.0143535           0.0132946
                1.58           0.0145062           0.0133186
                1.59           0.0146592           0.0133416
                 1.6           0.0148124           0.0133635
                1.61           0.0149659           0.0133845
                1.62           0.0151196           0.0134045
                1.63           0.0152736           0.0134234
                1.64           0.0154277           0.0134414
                1.65            0.015582           0.0134583
                1.66           0.0157365           0.0134742
                1.67           0.0158912           0.0134891
                1.68           0.0160461            0.013503
                1.69           0.0162011           0.0135158
                 1.7           0.0163562           0.0135277
                1.71           0.0165115           0.0135385
                1.72           0.0166669           0.0135483
                1.73           0.0168224           0.0135571
                1.74            0.016978           0.0135648
                1.75           0.0171337           0.0135715
                1.76           0.0172894           0.0135772
                1.77           0.0174452           0.0135819
                1.78            0.017601           0.0135856
                1.79           0.0177569           0.0135882
                 1.8           0.0179128           0.0135898
                1.81           0.0180687           0.0135904
                1.82           0.0182247             0.01359
                1.83           0.0183806           0.0135885
                1.84           0.0185365            0.013586
                1.85           0.0186923           0.0135825
                1.86           0.0188481           0.0135779
                1.87           0.0190039           0.0135724
                1.88           0.0191595           0.0135658
                1.89           0.0193151           0.0135581
                 1.9           0.0194706           0.0135495
                1.91            0.019626           0.0135398
                1.92           0.0197813           0.0135292
                1.93           0.0199365           0.0135174
                1.94           0.0200915           0.0135047
                1.95           0.0202464            0.013491
                1.96           0.0204011           0.0134762
                1.97           0.0205557           0.0134604
                1.98             0.02071           0.0134437
                1.99           0.0208642           0.0134258
                   2           0.0210181            0.013407
                2.01           0.0211719           0.0133872
                2.02           0.0213254           0.0133664
                2.03           0.0214786           0.0133445
                2.04           0.0216317           0.0133216
                2.05           0.0217844           0.0132978
                2.06           0.0219369           0.0132729
                2.07           0.0220891           0.0132471
                2.08            0.022241           0.0132202
                2.09           0.0223926           0.0131923
                 2.1           0.0225438           0.0131635
                2.11           0.0226947           0.0131336
                2.12           0.0228453           0.0131028
                2.13           0.0229956            0.013071
                2.14           0.0231454           0.0130381
                2.15           0.0232949           0.0130043
                2.16            0.023444           0.0129696
                2.17           0.0235927           0.0129338
                2.18            0.023741           0.0128971
                2.19           0.0238889           0.0128594
                 2.2           0.0240364           0.0128207
                2.21           0.0241834           0.0127811
                2.22           0.0243299           0.0127405
                2.23            0.024476           0.0126989
                2.24           0.0246216           0.0126564
                2.25           0.0247667           0.0126129
                2.26           0.0249114           0.0125685
                2.27           0.0250555           0.0125231
                2.28           0.0251991           0.0124768
                2.29           0.0253421           0.0124295
                 2.3           0.0254847           0.0123813
                2.31           0.0256267           0.0123322
                2.32           0.0257681           0.0122821
                2.33           0.0259089           0.0122311
                2.34           0.0260492           0.0121792
                2.35           0.0261889           0.0121264
                2.36            0.026328           0.0120727
                2.37           0.0264664            0.012018
                2.38           0.0266042           0.0119625
                2.39           0.0267415            0.011906
                 2.4            0.026878           0.0118487
                2.41           0.0270139           0.0117904
                2.42           0.0271492           0.0117313
                2.43           0.0272837           0.0116713
                2.44           0.0274176           0.0116104
                2.45           0.0275508           0.0115486
                2.46           0.0276833            0.011486
                2.47           0.0278151           0.0114225
                2.48           0.0279461           0.0113581
                2.49           0.0280764           0.0112929
                 2.5            0.028206           0.0112268
                2.51           0.0283348           0.0111599
                2.52           0.0284629           0.0110921
                2.53           0.0285902           0.0110235
                2.54           0.0287167           0.0109541
                2.55           0.0288424           0.0108838
                2.56           0.0289673           0.0108128
                2.57           0.0290914           0.0107409
                2.58           0.0292147           0.0106682
                2.59           0.0293372           0.0105947
                 2.6           0.0294588           0.0105204
                2.61           0.0295796           0.0104453
                2.62           0.0296995           0.0103695
                2.63           0.0298185           0.0102928
                2.64           0.0299367           0.0102154
                2.65            0.030054           0.0101372
                2.66           0.0301704           0.0100583
                2.67           0.0302859          0.00997856
                2.68           0.0304006           0.0098981
                2.69           0.0305142          0.00981689
                 2.7            0.030627          0.00973495
                2.71           0.0307388          0.00965228
                2.72           0.0308497          0.00956888
                2.73           0.0309597          0.00948476
                2.74           0.0310686          0.00939993
                2.75           0.0311767          0.00931439
                2.76           0.0312837          0.00922815
                2.77           0.0313898          0.00914122
                2.78           0.0314948          0.00905361
                2.79           0.0315989          0.00896531
                 2.8            0.031702          0.00887634
                2.81            0.031804           0.0087867
                2.82           0.0319051           0.0086964
                2.83           0.0320051          0.00860545
                2.84            0.032104          0.00851386
                2.85           0.0322019          0.00842162
                2.86           0.0322988          0.00832876
                2.87           0.0323946          0.00823527
                2.88           0.0324894          0.00814116
                2.89           0.0325831          0.00804644
                 2.9           0.0326757          0.00795112
                2.91           0.0327672           0.0078552
                2.92           0.0328576          0.00775869
                2.93           0.0329469           0.0076616
                2.94           0.0330351          0.00756394
                2.95           0.0331222          0.00746571
                2.96           0.0332082          0.00736692
                2.97            0.033293          0.00726758
                2.98           0.0333768           0.0071677
                2.99           0.0334593          0.00706727
                   3           0.0335408          0.00696632
                3.01           0.0336211          0.00686485
                3.02           0.0337002          0.00676287
                3.03           0.0337782          0.00666038
                3.04            0.033855          0.00655739
                3.05           0.0339306          0.00645392
                3.06            0.034005          0.00634996
                3.07           0.0340783          0.00624552
                3.08           0.0341504          0.00614062
                3.09           0.0342212          0.00603527
                 3.1           0.0342909          0.00592946
                3.11           0.0343594          0.00582321
                3.12           0.0344266          0.00571652
                3.13           0.0344926          0.00560941
                3.14           0.0345575          0.00550188
                3.15            0.034621          0.00539394
                3.16           0.0346834          0.00528561
                3.17           0.0347445          0.00517687
                3.18           0.0348044          0.00506776
                3.19            0.034863          0.00495826
                 3.2           0.0349204           0.0048484
                3.21           0.0349765          0.00473818
                3.22           0.0350314           0.0046276
                3.23            0.035085          0.00451669
                3.24           0.0351373          0.00440544
                3.25           0.0351884          0.00429386
                3.26           0.0352382          0.00418196
                3.27           0.0352867          0.00406976
                3.28           0.0353339          0.00395725
                3.29           0.0353799          0.00384446
                 3.3           0.0354245          0.00373138
                3.31           0.0354679          0.00361802
                3.32             0.03551           0.0035044
                3.33           0.0355507          0.00339052
                3.34           0.0355902          0.00327639
                3.35           0.0356284          0.00316202
                3.36           0.0356652          0.00304742
                3.37           0.0357008           0.0029326
                3.38            0.035735          0.00281757
                3.39           0.0357679          0.00270232
                 3.4           0.0357996          0.00258688
                3.41           0.0358298          0.00247126
                3.42           0.0358588          0.00235545
                3.43           0.0358864          0.00223948
                3.44           0.0359127          0.00212334
                3.45           0.0359377          0.00200705
                3.46           0.0359614          0.00189062
                3.47           0.0359837          0.00177405
                3.48           0.0360047          0.00165736
                3.49           0.0360243          0.00154055
                 3.5           0.0360427          0.00142363
                3.51           0.0360596          0.00130661
                3.52           0.0360753          0.00118951
                3.53           0.0360896          0.00107232
                3.54           0.0361025         0.000955057
                3.55           0.0361141         0.000837732
                3.56           0.0361244         0.000720353
                3.57           0.0361333         0.000602927
                3.58           0.0361409         0.000485465
                3.59           0.0361471         0.000367976
                 3.6            0.036152         0.000250467
                3.61           0.0361556         0.000132949
                3.62           0.0361578         1.54297e-05
                3.63           0.0361586        -0.000102082
                3.64           0.0361581        -0.000219576
                3.65           0.0361563        -0.000337044
                3.66           0.0361531        -0.000454478
                3.67           0.0361486        -0.000571868
                3.68           0.0361427        -0.000689205
                3.69           0.0361355         -0.00080648
                 3.7           0.0361269        -0.000923685
                3.71            0.036117         -0.00104081
                3.72           0.0361057         -0.00115785
                3.73           0.0360931         -0.00127479
                3.74           0.0360792         -0.00139162
                3.75           0.0360639         -0.00150834
                3.76           0.0360473         -0.00162493
                3.77           0.0360293         -0.00174139
                3.78             0.03601         -0.00185771
                3.79           0.0359894         -0.00197388
                 3.8           0.0359674         -0.00208989
                3.81           0.0359441         -0.00220573
                3.82           0.0359195          -0.0023214
                3.83           0.0358936         -0.00243688
                3.84           0.0358663         -0.00255216
                3.85           0.0358377         -0.00266724
                3.86           0.0358078         -0.00278211
                3.87           0.0357765         -0.00289676
                3.88            0.035744         -0.00301117
                3.89           0.0357101         -0.00312535
                 3.9           0.0356749         -0.00323928
                3.91           0.0356384         -0.00335296
                3.92           0.0356006         -0.00346637
                3.93           0.0355615         -0.00357951
                3.94           0.0355211         -0.00369237
                3.95           0.0354795         -0.00380493
                3.96           0.0354365          -0.0039172
                3.97           0.0353922         -0.00402916
                3.98           0.0353466         -0.00414081
                3.99           0.0352998         -0.00425213
                   4           0.0352516         -0.00436312
                4.01           0.0352022         -0.00447376
                4.02           0.0351516         -0.00458406
                4.03           0.0350996           -0.004694
                4.04           0.0350464         -0.00480357
                4.05           0.0349919         -0.00491276
                4.06           0.0349362         -0.00502158
                4.07           0.0348792            -0.00513
                4.08            0.034821         -0.00523802
                4.09           0.0347615         -0.00534564
                 4.1           0.0347008         -0.00545284
                4.11           0.0346389         -0.00555961
                4.12           0.0345757         -0.00566595
                4.13           0.0345114         -0.00577185
                4.14           0.0344457         -0.00587731
                4.15           0.0343789          -0.0059823
                4.16           0.0343109         -0.00608684
                4.17           0.0342417          -0.0061909
                4.18           0.0341712         -0.00629447
                4.19           0.0340996         -0.00639756
                 4.2           0.0340268         -0.00650016
                4.21           0.0339528         -0.00660225
                4.22           0.0338776         -0.00670383
                4.23           0.0338013         -0.00680489
                4.24           0.0337238         -0.00690542
                4.25           0.0336451         -0.00700542
                4.26           0.0335653         -0.00710487
                4.27           0.0334844         -0.00720378
                4.28           0.0334023         -0.00730212
                4.29           0.0333191          -0.0073999
                 4.3           0.0332347         -0.00749711
                4.31           0.0331492         -0.00759374
                4.32           0.0330626         -0.00768979
                4.33            0.032975         -0.00778523
                4.34           0.0328862         -0.00788008
                4.35           0.0327963         -0.00797432
                4.36           0.0327053         -0.00806794
                4.37           0.0326133         -0.00816094
                4.38           0.0325201          -0.0082533
                4.39           0.0324259         -0.00834503
                 4.4           0.0323307         -0.00843612
                4.41           0.0322344         -0.00852655
                4.42           0.0321371         -0.00861633
                4.43           0.0320387         -0.00870544
                4.44           0.0319393         -0.00879388
                4.45           0.0318389         -0.00888164
                4.46           0.0317375         -0.00896871
                4.47            0.031635         -0.00905509
                4.48           0.0315316         -0.00914078
                4.49           0.0314272         -0.00922576
                 4.5           0.0313218         -0.00931003
                4.51           0.0312154         -0.00939358
                4.52           0.0311081          -0.0094764
                4.53           0.0309998          -0.0095585
                4.54           0.0308906         -0.00963986
                4.55           0.0307804         -0.00972047
                4.56           0.0306693         -0.00980034
                4.57           0.0305573         -0.00987945
                4.58           0.0304444          -0.0099578
                4.59           0.0303305          -0.0100354
                 4.6           0.0302158          -0.0101122
                4.61           0.0301002          -0.0101882
                4.62           0.0299837          -0.0102635
                4.63           0.0298663          -0.0103379
                4.64           0.0297481          -0.0104116
                4.65            0.029629          -0.0104844
                4.66           0.0295091          -0.0105565
                4.67           0.0293884          -0.0106277
                4.68           0.0292668          -0.0106982
                4.69           0.0291445          -0.0107677
                 4.7           0.0290213          -0.0108365
                4.71           0.0288973          -0.0109044
                4.72           0.0287726          -0.0109715
                4.73           0.0286471          -0.0110378
                4.74           0.0285208          -0.0111032
                4.75           0.0283937          -0.0111677
                4.76           0.0282659          -0.0112314
                4.77           0.0281374          -0.0112942
                4.78           0.0280082          -0.0113562
                4.79           0.0278782          -0.0114173
                 4.8           0.0277476          -0.0114775
                4.81           0.0276162          -0.0115368
                4.82           0.0274842          -0.0115952
                4.83           0.0273515          -0.0116528
                4.84           0.0272181          -0.0117094
                4.85           0.0270841          -0.0117652
                4.86           0.0269494            -0.01182
                4.87           0.0268141          -0.0118739
                4.88           0.0266782          -0.0119269
                4.89           0.0265417           -0.011979
                 4.9           0.0264045          -0.0120302
                4.91           0.0262668          -0.0120805
                4.92           0.0261285          -0.0121298
                4.93           0.0259897          -0.0121782
                4.94           0.0258502          -0.0122256
                4.95           0.0257103          -0.0122722
                4.96           0.0255698          -0.0123177
                4.97           0.0254288          -0.0123624
                4.98           0.0252872           -0.012406
                4.99           0.0251452          -0.0124487
                   5           0.0250026          -0.0124905
                5.01           0.0248596          -0.0125313
                5.02           0.0247162          -0.0125712
                5.03           0.0245722            -0.01261
                5.04           0.0244278          -0.0126479
                5.05            0.024283          -0.0126849
                5.06           0.0241378          -0.0127208
                5.07           0.0239921          -0.0127558
                5.08           0.0238461          -0.0127898
                5.09           0.0236996          -0.0128228
                 5.1           0.0235528          -0.0128549
                5.11           0.0234056          -0.0128859
                5.12           0.0232581           -0.012916
                5.13           0.0231102           -0.012945
                5.14            0.022962          -0.0129731
                5.15           0.0228134          -0.0130002
                5.16           0.0226646          -0.0130263
                5.17           0.0225154          -0.0130513
                5.18            0.022366          -0.0130754
                5.19           0.0222163          -0.0130985
                 5.2           0.0220663          -0.0131205
                5.21           0.0219161          -0.0131416
                5.22           0.0217657          -0.0131616
                5.23            0.021615          -0.0131806
                5.24           0.0214641          -0.0131987
                5.25            0.021313          -0.0132157
                5.26           0.0211617          -0.0132317
                5.27           0.0210102          -0.0132466
                5.28           0.0208585          -0.0132606
                5.29           0.0207067          -0.0132735
                 5.3           0.0205548          -0.0132854
                5.31           0.0204027          -0.0132963
                5.32           0.0202505          -0.0133062
                5.33           0.0200982          -0.0133151
                5.34           0.0199458          -0.0133229
                5.35           0.0197933          -0.0133297
                5.36           0.0196408          -0.0133355
                5.37           0.0194881          -0.0133402
                5.38           0.0193355           -0.013344
                5.39           0.0191828          -0.0133467
                 5.4             0.01903          -0.0133484
                5.41           0.0188773           -0.013349
                5.42           0.0187245          -0.0133487
                5.43           0.0185718          -0.0133473
                5.44           0.0184191          -0.0133449
                5.45           0.0182664          -0.0133414
                5.46           0.0181137          -0.0133369
                5.47           0.0179612          -0.0133315
                5.48           0.0178086          -0.0133249
                5.49           0.0176562          -0.0133174
                 5.5           0.0175039          -0.0133088
                5.51           0.0173516          -0.0132993
                5.52           0.0171995          -0.0132887
                5.53           0.0170475           -0.013277
                5.54           0.0168957          -0.0132644
                5.55            0.016744          -0.0132507
                5.56           0.0165925           -0.013236
                5.57           0.0164411          -0.0132203
                5.58             0.01629          -0.0132036
                5.59            0.016139          -0.0131859
                 5.6           0.0159883          -0.0131671
                5.61           0.0158377          -0.0131474
                5.62           0.0156875          -0.0131266
                5.63           0.0155374          -0.0131049
                5.64           0.0153876          -0.0130821
                5.65           0.0152381          -0.0130583
                5.66           0.0150889          -0.0130335
                5.67             0.01494          -0.0130077
                5.68           0.0147913          -0.0129809
                5.69            0.014643          -0.0129531
                 5.7            0.014495          -0.0129244
                5.71           0.0143474          -0.0128946
                5.72           0.0142001          -0.0128638
                5.73           0.0140532          -0.0128321
                5.74           0.0139066          -0.0127993
                5.75           0.0137605          -0.0127656
                5.76           0.0136147          -0.0127309
                5.77           0.0134693          -0.0126952
                5.78           0.0133244          -0.0126586
                5.79           0.0131799          -0.0126209
                 5.8           0.0130358          -0.0125823
                5.81           0.0128922          -0.0125428
                5.82           0.0127491          -0.0125023
                5.83           0.0126064          -0.0124608
                5.84           0.0124642          -0.0124183
                5.85           0.0123225          -0.0123749
                5.86           0.0121814          -0.0123306
                5.87           0.0120407          -0.0122853
                5.88           0.0119006           -0.012239
                5.89            0.011761          -0.0121918
                 5.9            0.011622          -0.0121437
                5.91           0.0114835          -0.0120946
                5.92           0.0113456          -0.0120446
                5.93           0.0112084          -0.0119937
                5.94           0.0110717          -0.0119419
                5.95           0.0109356          -0.0118891
                5.96           0.0108001          -0.0118355
                5.97           0.0106652          -0.0117809
                5.98            0.010531          -0.0117254
                5.99           0.0103975           -0.011669
                   6           0.0102646          -0.0116117
                6.01           0.0101323          -0.0115536
                6.02           0.0100008          -0.0114945
                6.03          0.00986993          -0.0114345
                6.04          0.00973977          -0.0113737
                6.05          0.00961033           -0.011312
                6.06           0.0094816          -0.0112494
                6.07          0.00935361           -0.011186
                6.08          0.00922635          -0.0111217
                6.09          0.00909985          -0.0110565
                 6.1          0.00897411          -0.0109905
                6.11          0.00884914          -0.0109237
                6.12          0.00872495           -0.010856
                6.13          0.00860155          -0.0107875
                6.14          0.00847895          -0.0107181
                6.15          0.00835716          -0.0106479
                6.16          0.00823618          -0.0105769
                6.17          0.00811604          -0.0105051
                6.18          0.00799673          -0.0104325
                6.19          0.00787827           -0.010359
                 6.2          0.00776066          -0.0102848
                6.21          0.00764392          -0.0102098
                6.22          0.00752806           -0.010134
                6.23          0.00741307          -0.0100574
                6.24          0.00729898         -0.00998002
                6.25          0.00718579         -0.00990188
                6.26          0.00707351         -0.00982299
                6.27          0.00696215         -0.00974334
                6.28          0.00685171         -0.00966293
                6.29          0.00674221         -0.00958179
                 6.3          0.00663366          -0.0094999
                6.31          0.00652606         -0.00941728
                6.32          0.00641941         -0.00933394
                6.33          0.00631374         -0.00924988
                6.34          0.00620904          -0.0091651
                6.35          0.00610533         -0.00907961
                6.36          0.00600262         -0.00899343
                6.37           0.0059009         -0.00890655
                6.38           0.0058002         -0.00881899
                6.39          0.00570051         -0.00873074
                 6.4          0.00560184         -0.00864182
                6.41          0.00550421         -0.00855223
                6.42          0.00540762         -0.00846199
                6.43          0.00531208         -0.00837109
                6.44          0.00521759         -0.00827954
                6.45          0.00512416         -0.00818736
                6.46          0.00503181         -0.00809454
                6.47          0.00494053         -0.00800109
                6.48          0.00485033         -0.00790703
                6.49          0.00476122         -0.00781236
                 6.5          0.00467322         -0.00771708
                6.51          0.00458632         -0.00762121
                6.52          0.00450052         -0.00752474
                6.53          0.00441585          -0.0074277
                6.54           0.0043323         -0.00733008
                6.55          0.00424988         -0.00723189
                6.56           0.0041686         -0.00713315
                6.57          0.00408847         -0.00703385
                6.58          0.00400948         -0.00693401
                6.59          0.00393165         -0.00683363
                 6.6          0.00385498         -0.00673272
                6.61          0.00377948         -0.00663129
                6.62          0.00370515         -0.00652934
                6.63            0.003632         -0.00642689
                6.64          0.00356004         -0.00632394
                6.65          0.00348927          -0.0062205
                6.66          0.00341969         -0.00611658
                6.67          0.00335132         -0.00601218
                6.68          0.00328415         -0.00590731
                6.69           0.0032182         -0.00580199
                 6.7          0.00315346         -0.00569622
                6.71          0.00308994            -0.00559
                6.72          0.00302766         -0.00548335
                6.73           0.0029666         -0.00537627
                6.74          0.00290678         -0.00526877
                6.75           0.0028482         -0.00516086
                6.76          0.00279087         -0.00505256
                6.77          0.00273479         -0.00494385
                6.78          0.00267996         -0.00483476
                6.79          0.00262639          -0.0047253
                 6.8          0.00257409         -0.00461546
                6.81          0.00252305         -0.00450527
                6.82          0.00247328         -0.00439472
                6.83          0.00242479         -0.00428383
                6.84          0.00237757          -0.0041726
                6.85          0.00233164         -0.00406105
                6.86          0.00228699         -0.00394918
                6.87          0.00224364           -0.003837
                6.88          0.00220157         -0.00372452
                6.89           0.0021608         -0.00361174
                 6.9          0.00212133         -0.00349868
                6.91          0.00208317         -0.00338535
                6.92           0.0020463         -0.00327175
                6.93          0.00201075         -0.00315789
                6.94           0.0019765         -0.00304378
                6.95          0.00194357         -0.00292943
                6.96          0.00191196         -0.00281484
                6.97          0.00188166         -0.00270004
                6.98          0.00185269         -0.00258502
                6.99          0.00182503         -0.00246979
                   7          0.00179871         -0.00235437
                7.01           0.0017737         -0.00223876
                7.02          0.00175003         -0.00212296
                7.03          0.00172769           -0.002007
                7.04          0.00170668         -0.00189088
                7.05          0.00168701          -0.0017746
                7.06          0.00166867         -0.00165818
                7.07          0.00165167         -0.00154162
                7.08            0.001636         -0.00142494
                7.09          0.00162168         -0.00130813
                 7.1           0.0016087         -0.00119122
                7.11          0.00159706         -0.00107421
                7.12          0.00158676        -0.000957113
                7.13          0.00157781         -0.00083993
                7.14           0.0015702        -0.000722674
                7.15          0.00156393        -0.000605353
                7.16          0.00155901        -0.000487978
                7.17          0.00155544        -0.000370556
                7.18          0.00155321        -0.000253096
                7.19          0.00155233        -0.000135608
                 7.2           0.0015528        -1.81011e-05
