TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.02
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         4.03963e-06         0.000235056
                0.02         1.07719e-05         0.000470148
                0.03         2.01964e-05         0.000705259
                0.04         3.23126e-05         0.000940372
                0.05         4.71196e-05          0.00117547
                0.06         6.46166e-05          0.00141053
                0.07         8.48023e-05          0.00164554
                0.08         0.000107675          0.00188047
                0.09         0.000133234          0.00211532
                 0.1         0.000161476          0.00235007
                0.11         0.000192401          0.00258469
                0.12         0.000226005          0.00281916
                0.13         0.000262286          0.00305348
                0.14         0.000301243          0.00328762
                0.15          0.00034287          0.00352157
                0.16         0.000387167           0.0037553
                0.17          0.00043413           0.0039888
                0.18         0.000483754          0.00422205
                0.19         0.000536038          0.00445504
                 0.2         0.000590976          0.00468774
                0.21         0.000648564          0.00492014
                0.22           0.0007088          0.00515222
                0.23         0.000771677          0.00538397
                0.24         0.000837192          0.00561536
                0.25          0.00090534          0.00584638
                0.26         0.000976116          0.00607701
                0.27          0.00104951          0.00630723
                0.28          0.00112553          0.00653702
                0.29          0.00120416          0.00676638
                 0.3          0.00128539          0.00699527
                0.31          0.00136922          0.00722369
                0.32          0.00145565          0.00745161
                0.33          0.00154466          0.00767902
                0.34          0.00163626           0.0079059
                0.35          0.00173043          0.00813224
                0.36          0.00182716          0.00835801
                0.37          0.00192646           0.0085832
                0.38          0.00202831           0.0088078
                0.39           0.0021327          0.00903178
                 0.4          0.00223963          0.00925512
                0.41          0.00234909          0.00947782
                0.42          0.00246107          0.00969985
                0.43          0.00257557           0.0099212
                0.44          0.00269257           0.0101419
                0.45          0.00281207           0.0103618
                0.46          0.00293405            0.010581
                0.47          0.00305851           0.0107994
                0.48          0.00318545           0.0110171
                0.49          0.00331484            0.011234
                 0.5          0.00344668           0.0114501
                0.51          0.00358096           0.0116654
                0.52          0.00371768           0.0118799
                0.53          0.00385681           0.0120935
                0.54          0.00399836           0.0123062
                0.55          0.00414231           0.0125181
                0.56          0.00428864           0.0127291
                0.57          0.00443736           0.0129391
                0.58          0.00458844           0.0131482
                0.59          0.00474188           0.0133564
                 0.6          0.00489766           0.0135636
                0.61          0.00505578           0.0137699
                0.62          0.00521623           0.0139751
                0.63          0.00537898           0.0141794
                0.64          0.00554403           0.0143826
                0.65          0.00571137           0.0145848
                0.66          0.00588098           0.0147859
                0.67          0.00605285            0.014986
                0.68          0.00622697           0.0151849
                0.69          0.00640333           0.0153828
                 0.7          0.00658192           0.0155796
                0.71          0.00676271           0.0157752
                0.72           0.0069457           0.0159697
                0.73          0.00713088            0.016163
                0.74          0.00731822           0.0163552
                0.75          0.00750772           0.0165461
                0.76          0.00769936           0.0167359
                0.77          0.00789314           0.0169244
                0.78          0.00808902           0.0171117
                0.79          0.00828701           0.0172978
                 0.8          0.00848708           0.0174826
                0.81          0.00868922           0.0176661
                0.82          0.00889342           0.0178484
                0.83          0.00909966           0.0180293
                0.84          0.00930793            0.018209
                0.85           0.0095182           0.0183873
                0.86          0.00973047           0.0185642
                0.87          0.00994472           0.0187398
                0.88           0.0101609            0.018914
                0.89           0.0103791           0.0190869
                 0.9           0.0105992           0.0192583
                0.91           0.0108212           0.0194284
                0.92           0.0110451            0.019597
                0.93           0.0112709           0.0197642
                0.94           0.0114986           0.0199299
                0.95           0.0117281           0.0200942
                0.96           0.0119594            0.020257
                0.97           0.0121926           0.0204183
                0.98           0.0124276           0.0205781
                0.99           0.0126643           0.0207364
                   1           0.0129028           0.0208932
                1.01           0.0131431           0.0210485
                1.02           0.0133851           0.0212022
                1.03           0.0136288           0.0213543
                1.04           0.0138742           0.0215049
                1.05           0.0141213           0.0216539
                1.06             0.01437           0.0218013
                1.07           0.0146204           0.0219472
                1.08           0.0148724           0.0220914
                1.09            0.015126           0.0222339
                 1.1           0.0153812           0.0223749
                1.11           0.0156379           0.0225142
                1.12           0.0158962           0.0226518
                1.13           0.0161561           0.0227878
                1.14           0.0164174           0.0229221
                1.15           0.0166803           0.0230547
                1.16           0.0169446           0.0231856
                1.17           0.0172103           0.0233148
                1.18           0.0174775           0.0234423
                1.19           0.0177461            0.023568
                 1.2           0.0180162            0.023692
                1.21           0.0182875           0.0238143
                1.22           0.0185603           0.0239348
                1.23           0.0188344           0.0240536
                1.24           0.0191098           0.0241706
                1.25           0.0193864           0.0242857
                1.26           0.0196644           0.0243992
                1.27           0.0199436           0.0245108
                1.28           0.0202241           0.0246206
                1.29           0.0205058           0.0247285
                 1.3           0.0207886           0.0248347
                1.31           0.0210727            0.024939
