TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.07
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         1.41374e-05         0.000823012
                0.02         3.76971e-05          0.00164679
                0.03          7.0679e-05          0.00247127
                0.04         0.000113082          0.00329639
                0.05         0.000164905           0.0041221
                0.06         0.000226146          0.00494832
                0.07         0.000296802            0.005775
                0.08         0.000376869          0.00660208
                0.09         0.000466342          0.00742949
                 0.1         0.000565218          0.00825718
                0.11          0.00067349          0.00908508
                0.12         0.000791152          0.00991313
                0.13         0.000918197           0.0107413
                0.14          0.00105462           0.0115694
                0.15          0.00120041           0.0123976
                0.16          0.00135555           0.0132256
                0.17          0.00152005           0.0140535
                0.18          0.00169388           0.0148812
                0.19          0.00187704           0.0157085
                 0.2          0.00206951           0.0165356
                0.21          0.00227129           0.0173622
                0.22          0.00248236           0.0181884
                0.23          0.00270271           0.0190141
                0.24          0.00293231           0.0198391
                0.25          0.00317117           0.0206636
                0.26          0.00341926           0.0214873
                0.27          0.00367656           0.0223102
                0.28          0.00394306           0.0231323
                0.29          0.00421875           0.0239535
                 0.3           0.0045036           0.0247738
                0.31          0.00479759            0.025593
                0.32          0.00510071           0.0264112
                0.33          0.00541293           0.0272283
                0.34          0.00573424           0.0280441
                0.35          0.00606462           0.0288587
                0.36          0.00640403           0.0296719
                0.37          0.00675247           0.0304838
                0.38           0.0071099           0.0312943
                0.39           0.0074763           0.0321032
                 0.4          0.00785166           0.0329106
                0.41          0.00823593           0.0337164
                0.42          0.00862911           0.0345205
                0.43          0.00903116           0.0353229
                0.44          0.00944205           0.0361235
                0.45          0.00986177           0.0369222
                0.46           0.0102903            0.037719
                0.47           0.0107275           0.0385138
                0.48           0.0111735           0.0393066
                0.49           0.0116282           0.0400973
                 0.5           0.0120916           0.0408858
                0.51           0.0125636           0.0416721
                0.52           0.0130443           0.0424562
                0.53           0.0135335            0.043238
                0.54           0.0140313           0.0440173
                0.55           0.0145375           0.0447942
                0.56           0.0150523           0.0455686
                0.57           0.0155755           0.0463405
                0.58           0.0161071           0.0471098
                0.59           0.0166471           0.0478763
                 0.6           0.0171955           0.0486402
                0.61           0.0177521           0.0494012
                0.62           0.0183171           0.0501595
                0.63           0.0188902           0.0509148
                0.64           0.0194716           0.0516672
                0.65           0.0200611           0.0524165
                0.66           0.0206587           0.0531628
                0.67           0.0212644            0.053906
                0.68           0.0218781            0.054646
                0.69           0.0224999           0.0553828
                 0.7           0.0231296           0.0561163
                0.71           0.0237672           0.0568464
                0.72           0.0244127           0.0575732
                0.73            0.025066           0.0582965
                0.74           0.0257271           0.0590163
                0.75            0.026396           0.0597326
                0.76           0.0270725           0.0604452
                0.77           0.0277568           0.0611542
                0.78           0.0284486           0.0618595
                0.79            0.029148            0.062561
                 0.8           0.0298549           0.0632587
                0.81           0.0305693           0.0639525
                0.82           0.0312912           0.0646424
                0.83           0.0320204           0.0653284
                0.84           0.0327569           0.0660103
                0.85           0.0335008           0.0666882
                0.86           0.0342519           0.0673619
                0.87           0.0350101           0.0680314
                0.88           0.0357755           0.0686968
                0.89            0.036548           0.0693578
                 0.9           0.0373276           0.0700146
                0.91           0.0381141            0.070667
                0.92           0.0389076           0.0713149
                0.93            0.039708           0.0719584
                0.94           0.0405152           0.0725974
                0.95           0.0413292           0.0732318
                0.96           0.0421499           0.0738617
                0.97           0.0429773           0.0744868
                0.98           0.0438113           0.0751073
                0.99           0.0446519            0.075723
                   1            0.045499            0.076334
                1.01           0.0463526           0.0769401
                1.02           0.0472126           0.0775413
                1.03           0.0480789           0.0781376
                1.04           0.0489515           0.0787289
                1.05           0.0498304           0.0793152
                1.06           0.0507155           0.0798964
                1.07           0.0516067           0.0804726
                1.08           0.0525039           0.0810436
                1.09           0.0534072           0.0816094
                 1.1           0.0543164             0.08217
                1.11           0.0552315           0.0827253
                1.12           0.0561525           0.0832754
                1.13           0.0570792             0.08382
                1.14           0.0580116           0.0843593
                1.15           0.0589498           0.0848932
                1.16           0.0598935           0.0854216
                1.17           0.0608427           0.0859444
                1.18           0.0617974           0.0864618
                1.19           0.0627576           0.0869735
                 1.2           0.0637231           0.0874796
                1.21           0.0646939           0.0879801
                1.22           0.0656699           0.0884748
                1.23           0.0666511           0.0889639
                1.24           0.0676374           0.0894471
                1.25           0.0686287           0.0899246
                1.26            0.069625           0.0903962
                1.27           0.0706263           0.0908619
                1.28           0.0716324           0.0913217
                1.29           0.0726433           0.0917756
                 1.3           0.0736589           0.0922235
                1.31           0.0746791           0.0926654
