TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.09
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         1.81759e-05          0.00105832
                0.02         4.84653e-05          0.00211796
                0.03         9.08687e-05          0.00317882
                0.04         0.000145386          0.00424084
                0.05         0.000212015          0.00530394
                0.06         0.000290754          0.00636805
                0.07           0.0003816          0.00743307
                0.08         0.000484549          0.00849894
                0.09         0.000599597          0.00956558
                 0.1         0.000726738           0.0106329
                0.11         0.000865965           0.0117008
                0.12          0.00101727           0.0127693
                0.13          0.00118065           0.0138382
                0.14          0.00135609           0.0149075
                0.15          0.00154358           0.0159771
                0.16          0.00174311            0.017047
                0.17          0.00195467           0.0181169
                0.18          0.00217825            0.019187
                0.19          0.00241384            0.020257
                 0.2          0.00266141           0.0213269
                0.21          0.00292096           0.0223967
                0.22          0.00319248           0.0234662
                0.23          0.00347593           0.0245353
                0.24          0.00377131           0.0256041
                0.25           0.0040786           0.0266724
                0.26          0.00439778           0.0277402
                0.27          0.00472883           0.0288073
                0.28          0.00507173           0.0298736
                0.29          0.00542646           0.0309392
                 0.3            0.005793            0.032004
                0.31          0.00617132           0.0330677
                0.32           0.0065614           0.0341305
                0.33          0.00696321           0.0351921
                0.34          0.00737674           0.0362526
                0.35          0.00780196           0.0373118
                0.36          0.00823883           0.0383696
                0.37          0.00868733           0.0394261
                0.38          0.00914744           0.0404811
                0.39          0.00961912           0.0415345
                 0.4           0.0101023           0.0425862
                0.41           0.0105971           0.0436363
                0.42           0.0111033           0.0446845
                0.43            0.011621           0.0457309
                0.44           0.0121501           0.0467753
                0.45           0.0126906           0.0478177
                0.46           0.0132424            0.048858
                0.47           0.0138056           0.0498961
                0.48             0.01438            0.050932
                0.49           0.0149657           0.0519655
                 0.5           0.0155626           0.0529966
                0.51           0.0161706           0.0540253
                0.52           0.0167899           0.0550514
                0.53           0.0174201           0.0560749
                0.54           0.0180615           0.0570957
                0.55           0.0187139           0.0581136
                0.56           0.0193772           0.0591288
                0.57           0.0200515            0.060141
                0.58           0.0207367           0.0611503
                0.59           0.0214327           0.0621564
                 0.6           0.0221395           0.0631594
                0.61           0.0228571           0.0641592
                0.62           0.0235854           0.0651557
                0.63           0.0243244           0.0661489
                0.64            0.025074           0.0671386
                0.65           0.0258341           0.0681248
                0.66           0.0266048           0.0691074
                0.67            0.027386           0.0700864
                0.68           0.0281777           0.0710616
                0.69           0.0289797           0.0720331
                 0.7            0.029792           0.0730007
                0.71           0.0306146           0.0739644
                0.72           0.0314475            0.074924
                0.73           0.0322905           0.0758796
                0.74           0.0331437           0.0768311
                0.75            0.034007           0.0777783
                0.76           0.0348803           0.0787213
                0.77           0.0357635           0.0796599
                0.78           0.0366567           0.0805941
                0.79           0.0375597           0.0815238
                 0.8           0.0384725            0.082449
                0.81           0.0393951           0.0833695
                0.82           0.0403273           0.0842854
                0.83           0.0412692           0.0851965
                0.84           0.0422207           0.0861028
                0.85           0.0431817           0.0870042
                0.86           0.0441521           0.0879006
                0.87            0.045132           0.0887921
                0.88           0.0461212           0.0896784
                0.89           0.0471196           0.0905596
                 0.9           0.0481273           0.0914357
                0.91           0.0491442           0.0923064
                0.92           0.0501701           0.0931718
                0.93            0.051205           0.0940318
                0.94            0.052249           0.0948864
                0.95           0.0533018           0.0957354
                0.96           0.0543635           0.0965789
                0.97           0.0554339           0.0974167
                0.98            0.056513           0.0982488
                0.99           0.0576008           0.0990751
                   1           0.0586972           0.0998956
                1.01           0.0598021             0.10071
                1.02           0.0609154            0.101519
                1.03           0.0620371            0.102322
                1.04           0.0631671            0.103118
                1.05           0.0643053            0.103909
                1.06           0.0654517            0.104693
                1.07           0.0666062            0.105471
                1.08           0.0677688            0.106243
                1.09           0.0689393            0.107009
                 1.1           0.0701176            0.107768
                1.11           0.0713038             0.10852
                1.12           0.0724978            0.109266
                1.13           0.0736994            0.110006
                1.14           0.0749086            0.110739
                1.15           0.0761254            0.111465
                1.16           0.0773496            0.112185
                1.17           0.0785812            0.112897
                1.18             0.07982            0.113603
                1.19           0.0810662            0.114302
                 1.2           0.0823194            0.114995
                1.21           0.0835798             0.11568
                1.22           0.0848472            0.116358
                1.23           0.0861215            0.117029
                1.24           0.0874026            0.117693
                1.25           0.0886905             0.11835
                1.26           0.0899851            0.118999
                1.27           0.0912864            0.119641
                1.28           0.0925942            0.120276
                1.29           0.0939084            0.120904
                 1.3           0.0952291            0.121524
                1.31            0.096556            0.122137
                1.32           0.0978892            0.122742
                1.33           0.0992285             0.12334
                1.34            0.100574             0.12393
